After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3229, test_acc = 0.1142
After round 2, test_loss = 2.3008, test_acc = 0.167
After round 3, test_loss = 2.2805, test_acc = 0.2481
After round 4, test_loss = 2.2657, test_acc = 0.3124
After round 5, test_loss = 2.254, test_acc = 0.3536
After round 6, test_loss = 2.244, test_acc = 0.3864
After round 7, test_loss = 2.2363, test_acc = 0.4084
After round 8, test_loss = 2.2302, test_acc = 0.4233
After round 9, test_loss = 2.225, test_acc = 0.4347
After round 10, test_loss = 2.2206, test_acc = 0.4411
After round 11, test_loss = 2.2173, test_acc = 0.4483
After round 12, test_loss = 2.2147, test_acc = 0.4525
After round 13, test_loss = 2.2123, test_acc = 0.4553
After round 14, test_loss = 2.2104, test_acc = 0.4575
After round 15, test_loss = 2.2092, test_acc = 0.4605
After round 16, test_loss = 2.2081, test_acc = 0.4629
After round 17, test_loss = 2.207, test_acc = 0.4638
After round 18, test_loss = 2.2076, test_acc = 0.465
After round 19, test_loss = 2.2065, test_acc = 0.4662
After round 20, test_loss = 2.2059, test_acc = 0.4668
After round 21, test_loss = 2.2059, test_acc = 0.4679
After round 22, test_loss = 2.2065, test_acc = 0.4685
After round 23, test_loss = 2.2065, test_acc = 0.4689
After round 24, test_loss = 2.2078, test_acc = 0.4692
After round 25, test_loss = 2.2074, test_acc = 0.4693
After round 26, test_loss = 2.2083, test_acc = 0.4703
After round 27, test_loss = 2.2086, test_acc = 0.4707
After round 28, test_loss = 2.2098, test_acc = 0.4709
After round 29, test_loss = 2.2107, test_acc = 0.472
After round 30, test_loss = 2.211, test_acc = 0.4727
After round 31, test_loss = 2.212, test_acc = 0.4743
After round 32, test_loss = 2.212, test_acc = 0.475
After round 33, test_loss = 2.2143, test_acc = 0.4753
After round 34, test_loss = 2.2154, test_acc = 0.4753
After round 35, test_loss = 2.2166, test_acc = 0.4755
After round 36, test_loss = 2.2185, test_acc = 0.4765
After round 37, test_loss = 2.219, test_acc = 0.4786
After round 38, test_loss = 2.2212, test_acc = 0.4792
After round 39, test_loss = 2.2227, test_acc = 0.4793
After round 40, test_loss = 2.224, test_acc = 0.4808
After round 41, test_loss = 2.2259, test_acc = 0.483
After round 42, test_loss = 2.2275, test_acc = 0.4837
After round 43, test_loss = 2.23, test_acc = 0.4851
After round 44, test_loss = 2.2321, test_acc = 0.4856
After round 45, test_loss = 2.2332, test_acc = 0.4866
After round 46, test_loss = 2.2363, test_acc = 0.487
After round 47, test_loss = 2.2386, test_acc = 0.4883
After round 48, test_loss = 2.2394, test_acc = 0.4901
After round 49, test_loss = 2.2413, test_acc = 0.4908
After round 50, test_loss = 2.2435, test_acc = 0.4917
After round 51, test_loss = 2.2461, test_acc = 0.4921
After round 52, test_loss = 2.249, test_acc = 0.4921
After round 53, test_loss = 2.2513, test_acc = 0.4926
After round 54, test_loss = 2.2538, test_acc = 0.4937
After round 55, test_loss = 2.2555, test_acc = 0.4955
After round 56, test_loss = 2.258, test_acc = 0.4955
After round 57, test_loss = 2.2607, test_acc = 0.496
After round 58, test_loss = 2.2628, test_acc = 0.4969
After round 59, test_loss = 2.2652, test_acc = 0.4978
After round 60, test_loss = 2.2663, test_acc = 0.4994
After round 61, test_loss = 2.2688, test_acc = 0.5002
After round 62, test_loss = 2.2713, test_acc = 0.5011
After round 63, test_loss = 2.2735, test_acc = 0.5025
After round 64, test_loss = 2.2755, test_acc = 0.503
After round 65, test_loss = 2.2779, test_acc = 0.5045
After round 66, test_loss = 2.2797, test_acc = 0.5052
After round 67, test_loss = 2.2817, test_acc = 0.5063
After round 68, test_loss = 2.2845, test_acc = 0.5061
After round 69, test_loss = 2.2866, test_acc = 0.5077
After round 70, test_loss = 2.2895, test_acc = 0.5079
After round 71, test_loss = 2.2917, test_acc = 0.5083
After round 72, test_loss = 2.2928, test_acc = 0.5103
After round 73, test_loss = 2.295, test_acc = 0.511
After round 74, test_loss = 2.2975, test_acc = 0.5116
After round 75, test_loss = 2.3008, test_acc = 0.5112
After round 76, test_loss = 2.3033, test_acc = 0.5116
After round 77, test_loss = 2.3062, test_acc = 0.5122
After round 78, test_loss = 2.3094, test_acc = 0.5126
After round 79, test_loss = 2.3118, test_acc = 0.5128
After round 80, test_loss = 2.3143, test_acc = 0.5129
After round 81, test_loss = 2.3158, test_acc = 0.5139
After round 82, test_loss = 2.3181, test_acc = 0.5141
After round 83, test_loss = 2.32, test_acc = 0.515
After round 84, test_loss = 2.3231, test_acc = 0.5153
After round 85, test_loss = 2.3256, test_acc = 0.5151
After round 86, test_loss = 2.3283, test_acc = 0.5154
After round 87, test_loss = 2.3317, test_acc = 0.5156
After round 88, test_loss = 2.3342, test_acc = 0.5159
After round 89, test_loss = 2.337, test_acc = 0.5157
After round 90, test_loss = 2.3396, test_acc = 0.5153
After round 91, test_loss = 2.3417, test_acc = 0.5155
After round 92, test_loss = 2.3438, test_acc = 0.5167
After round 93, test_loss = 2.3467, test_acc = 0.5163
After round 94, test_loss = 2.3482, test_acc = 0.5176
After round 95, test_loss = 2.3509, test_acc = 0.5177
After round 96, test_loss = 2.3531, test_acc = 0.5181
After round 97, test_loss = 2.3558, test_acc = 0.519
After round 98, test_loss = 2.3578, test_acc = 0.5192
After round 99, test_loss = 2.3598, test_acc = 0.5189
After round 100, test_loss = 2.3615, test_acc = 0.5206
After round 101, test_loss = 2.3636, test_acc = 0.5222
After round 102, test_loss = 2.3651, test_acc = 0.5233
After round 103, test_loss = 2.3672, test_acc = 0.5239
After round 104, test_loss = 2.3694, test_acc = 0.5239
After round 105, test_loss = 2.3717, test_acc = 0.5255
After round 106, test_loss = 2.375, test_acc = 0.5254
After round 107, test_loss = 2.3769, test_acc = 0.5265
After round 108, test_loss = 2.379, test_acc = 0.5266
After round 109, test_loss = 2.3816, test_acc = 0.5266
After round 110, test_loss = 2.3836, test_acc = 0.5267
After round 111, test_loss = 2.3863, test_acc = 0.5267
After round 112, test_loss = 2.3881, test_acc = 0.527
After round 113, test_loss = 2.3906, test_acc = 0.5273
After round 114, test_loss = 2.3925, test_acc = 0.5276
After round 115, test_loss = 2.3953, test_acc = 0.5279
After round 116, test_loss = 2.3978, test_acc = 0.5277
After round 117, test_loss = 2.3986, test_acc = 0.5285
After round 118, test_loss = 2.4013, test_acc = 0.5285
After round 119, test_loss = 2.402, test_acc = 0.5289
After round 120, test_loss = 2.4031, test_acc = 0.5294
After round 121, test_loss = 2.4052, test_acc = 0.5301
After round 122, test_loss = 2.4072, test_acc = 0.5301
After round 123, test_loss = 2.4089, test_acc = 0.5308
After round 124, test_loss = 2.411, test_acc = 0.5307
After round 125, test_loss = 2.4129, test_acc = 0.5312
After round 126, test_loss = 2.415, test_acc = 0.5314
After round 127, test_loss = 2.4178, test_acc = 0.5318
After round 128, test_loss = 2.4201, test_acc = 0.5316
After round 129, test_loss = 2.4223, test_acc = 0.5314
After round 130, test_loss = 2.4239, test_acc = 0.5318
After round 131, test_loss = 2.4255, test_acc = 0.5318
After round 132, test_loss = 2.4275, test_acc = 0.5329
After round 133, test_loss = 2.4296, test_acc = 0.533
After round 134, test_loss = 2.4325, test_acc = 0.5332
After round 135, test_loss = 2.4345, test_acc = 0.5335
After round 136, test_loss = 2.4362, test_acc = 0.5339
After round 137, test_loss = 2.438, test_acc = 0.5341
After round 138, test_loss = 2.4403, test_acc = 0.5344
After round 139, test_loss = 2.4416, test_acc = 0.5345
After round 140, test_loss = 2.4436, test_acc = 0.5348
After round 141, test_loss = 2.446, test_acc = 0.5345
After round 142, test_loss = 2.4481, test_acc = 0.5346
After round 143, test_loss = 2.45, test_acc = 0.5347
After round 144, test_loss = 2.4521, test_acc = 0.535
After round 145, test_loss = 2.4541, test_acc = 0.5349
After round 146, test_loss = 2.4563, test_acc = 0.5347
After round 147, test_loss = 2.4585, test_acc = 0.5349
After round 148, test_loss = 2.4599, test_acc = 0.5346
After round 149, test_loss = 2.4626, test_acc = 0.5343
After round 150, test_loss = 2.4644, test_acc = 0.534
After round 151, test_loss = 2.4657, test_acc = 0.5343
After round 152, test_loss = 2.4677, test_acc = 0.5343
After round 153, test_loss = 2.4702, test_acc = 0.5345
After round 154, test_loss = 2.4721, test_acc = 0.5347
After round 155, test_loss = 2.4737, test_acc = 0.5351
After round 156, test_loss = 2.4751, test_acc = 0.5352
After round 157, test_loss = 2.4763, test_acc = 0.5356
After round 158, test_loss = 2.4789, test_acc = 0.5362
After round 159, test_loss = 2.4805, test_acc = 0.5365
After round 160, test_loss = 2.4819, test_acc = 0.5371
After round 161, test_loss = 2.4846, test_acc = 0.5366
After round 162, test_loss = 2.4869, test_acc = 0.5368
After round 163, test_loss = 2.4893, test_acc = 0.5365
After round 164, test_loss = 2.4908, test_acc = 0.5374
After round 165, test_loss = 2.4927, test_acc = 0.5379
After round 166, test_loss = 2.4945, test_acc = 0.538
After round 167, test_loss = 2.4966, test_acc = 0.5385
After round 168, test_loss = 2.498, test_acc = 0.5384
After round 169, test_loss = 2.5002, test_acc = 0.5386
After round 170, test_loss = 2.5016, test_acc = 0.5386
After round 171, test_loss = 2.5028, test_acc = 0.5387
After round 172, test_loss = 2.5042, test_acc = 0.5388
After round 173, test_loss = 2.5052, test_acc = 0.5385
After round 174, test_loss = 2.5075, test_acc = 0.5388
After round 175, test_loss = 2.51, test_acc = 0.5387
After round 176, test_loss = 2.5112, test_acc = 0.5389
After round 177, test_loss = 2.5122, test_acc = 0.5395
After round 178, test_loss = 2.5135, test_acc = 0.5392
After round 179, test_loss = 2.5156, test_acc = 0.5387
After round 180, test_loss = 2.5169, test_acc = 0.5393
After round 181, test_loss = 2.5182, test_acc = 0.539
After round 182, test_loss = 2.5199, test_acc = 0.5393
After round 183, test_loss = 2.5222, test_acc = 0.5394
After round 184, test_loss = 2.5238, test_acc = 0.5389
After round 185, test_loss = 2.5251, test_acc = 0.5389
After round 186, test_loss = 2.5267, test_acc = 0.5396
After round 187, test_loss = 2.5285, test_acc = 0.5394
After round 188, test_loss = 2.53, test_acc = 0.5397
After round 189, test_loss = 2.5329, test_acc = 0.5395
After round 190, test_loss = 2.5352, test_acc = 0.5395
After round 191, test_loss = 2.5372, test_acc = 0.5398
After round 192, test_loss = 2.5389, test_acc = 0.5394
After round 193, test_loss = 2.5413, test_acc = 0.5394
After round 194, test_loss = 2.5426, test_acc = 0.5402
After round 195, test_loss = 2.5443, test_acc = 0.5404
After round 196, test_loss = 2.5455, test_acc = 0.5401
After round 197, test_loss = 2.5477, test_acc = 0.5403
After round 198, test_loss = 2.5494, test_acc = 0.5403
After round 199, test_loss = 2.5512, test_acc = 0.5407
