After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3168, test_acc = 0.1115
After round 2, test_loss = 2.2939, test_acc = 0.1434
After round 3, test_loss = 2.2726, test_acc = 0.1821
After round 4, test_loss = 2.2525, test_acc = 0.2126
After round 5, test_loss = 2.2308, test_acc = 0.2609
After round 6, test_loss = 2.2104, test_acc = 0.2877
After round 7, test_loss = 2.1901, test_acc = 0.3214
After round 8, test_loss = 2.1697, test_acc = 0.3531
After round 9, test_loss = 2.1499, test_acc = 0.3927
After round 10, test_loss = 2.1306, test_acc = 0.4217
After round 11, test_loss = 2.1113, test_acc = 0.4684
After round 12, test_loss = 2.0917, test_acc = 0.4963
After round 13, test_loss = 2.0727, test_acc = 0.5137
After round 14, test_loss = 2.0546, test_acc = 0.5336
After round 15, test_loss = 2.0368, test_acc = 0.5541
After round 16, test_loss = 2.0193, test_acc = 0.578
After round 17, test_loss = 2.0021, test_acc = 0.6016
After round 18, test_loss = 1.9852, test_acc = 0.6116
After round 19, test_loss = 1.9685, test_acc = 0.626
After round 20, test_loss = 1.952, test_acc = 0.638
After round 21, test_loss = 1.9353, test_acc = 0.651
After round 22, test_loss = 1.9194, test_acc = 0.6575
After round 23, test_loss = 1.9034, test_acc = 0.6665
After round 24, test_loss = 1.8881, test_acc = 0.6744
After round 25, test_loss = 1.8729, test_acc = 0.6784
After round 26, test_loss = 1.8577, test_acc = 0.6853
After round 27, test_loss = 1.8419, test_acc = 0.6898
After round 28, test_loss = 1.8272, test_acc = 0.6987
After round 29, test_loss = 1.8126, test_acc = 0.7003
After round 30, test_loss = 1.7981, test_acc = 0.6989
After round 31, test_loss = 1.7838, test_acc = 0.7022
After round 32, test_loss = 1.7698, test_acc = 0.71
After round 33, test_loss = 1.7558, test_acc = 0.7147
After round 34, test_loss = 1.7423, test_acc = 0.7192
After round 35, test_loss = 1.7291, test_acc = 0.7252
After round 36, test_loss = 1.7161, test_acc = 0.7295
After round 37, test_loss = 1.7032, test_acc = 0.7313
After round 38, test_loss = 1.6909, test_acc = 0.7354
After round 39, test_loss = 1.6786, test_acc = 0.7372
After round 40, test_loss = 1.6662, test_acc = 0.7391
After round 41, test_loss = 1.6544, test_acc = 0.7448
After round 42, test_loss = 1.6422, test_acc = 0.7457
After round 43, test_loss = 1.6305, test_acc = 0.756
After round 44, test_loss = 1.6179, test_acc = 0.755
After round 45, test_loss = 1.6072, test_acc = 0.7541
After round 46, test_loss = 1.5964, test_acc = 0.757
After round 47, test_loss = 1.5851, test_acc = 0.7584
After round 48, test_loss = 1.5742, test_acc = 0.7601
After round 49, test_loss = 1.5631, test_acc = 0.7617
After round 50, test_loss = 1.5527, test_acc = 0.7656
After round 51, test_loss = 1.5425, test_acc = 0.7653
After round 52, test_loss = 1.532, test_acc = 0.7686
After round 53, test_loss = 1.5219, test_acc = 0.7682
After round 54, test_loss = 1.5119, test_acc = 0.7679
After round 55, test_loss = 1.5024, test_acc = 0.7709
After round 56, test_loss = 1.4927, test_acc = 0.7704
After round 57, test_loss = 1.4833, test_acc = 0.7691
After round 58, test_loss = 1.4738, test_acc = 0.7707
After round 59, test_loss = 1.4646, test_acc = 0.7741
After round 60, test_loss = 1.4553, test_acc = 0.7732
After round 61, test_loss = 1.4459, test_acc = 0.7764
After round 62, test_loss = 1.4373, test_acc = 0.778
After round 63, test_loss = 1.4288, test_acc = 0.7782
After round 64, test_loss = 1.4202, test_acc = 0.7776
After round 65, test_loss = 1.4114, test_acc = 0.781
After round 66, test_loss = 1.4029, test_acc = 0.7845
After round 67, test_loss = 1.3946, test_acc = 0.7869
After round 68, test_loss = 1.3867, test_acc = 0.7854
After round 69, test_loss = 1.3786, test_acc = 0.7857
After round 70, test_loss = 1.371, test_acc = 0.7874
After round 71, test_loss = 1.3632, test_acc = 0.7897
After round 72, test_loss = 1.3554, test_acc = 0.7888
After round 73, test_loss = 1.3479, test_acc = 0.7874
After round 74, test_loss = 1.3406, test_acc = 0.7883
After round 75, test_loss = 1.3331, test_acc = 0.7919
After round 76, test_loss = 1.3262, test_acc = 0.7922
After round 77, test_loss = 1.3192, test_acc = 0.7926
After round 78, test_loss = 1.3123, test_acc = 0.7936
After round 79, test_loss = 1.3054, test_acc = 0.7909
After round 80, test_loss = 1.298, test_acc = 0.7935
After round 81, test_loss = 1.2912, test_acc = 0.7949
After round 82, test_loss = 1.2843, test_acc = 0.7989
After round 83, test_loss = 1.2773, test_acc = 0.7995
After round 84, test_loss = 1.2711, test_acc = 0.7991
After round 85, test_loss = 1.2645, test_acc = 0.7994
After round 86, test_loss = 1.2579, test_acc = 0.8004
After round 87, test_loss = 1.252, test_acc = 0.7996
After round 88, test_loss = 1.2458, test_acc = 0.8003
After round 89, test_loss = 1.2395, test_acc = 0.8005
After round 90, test_loss = 1.2336, test_acc = 0.8021
After round 91, test_loss = 1.2277, test_acc = 0.8002
After round 92, test_loss = 1.2218, test_acc = 0.8036
After round 93, test_loss = 1.2162, test_acc = 0.8045
After round 94, test_loss = 1.2106, test_acc = 0.8078
After round 95, test_loss = 1.2048, test_acc = 0.8083
After round 96, test_loss = 1.1992, test_acc = 0.8094
After round 97, test_loss = 1.1937, test_acc = 0.8086
After round 98, test_loss = 1.1882, test_acc = 0.8076
After round 99, test_loss = 1.1826, test_acc = 0.8095
After round 100, test_loss = 1.1774, test_acc = 0.8097
After round 101, test_loss = 1.1721, test_acc = 0.81
After round 102, test_loss = 1.167, test_acc = 0.8098
After round 103, test_loss = 1.1618, test_acc = 0.8125
After round 104, test_loss = 1.1567, test_acc = 0.813
After round 105, test_loss = 1.1519, test_acc = 0.8106
After round 106, test_loss = 1.1471, test_acc = 0.8126
After round 107, test_loss = 1.1421, test_acc = 0.8131
After round 108, test_loss = 1.1375, test_acc = 0.8131
After round 109, test_loss = 1.1328, test_acc = 0.8133
After round 110, test_loss = 1.1281, test_acc = 0.8145
After round 111, test_loss = 1.1235, test_acc = 0.8141
After round 112, test_loss = 1.1189, test_acc = 0.8147
After round 113, test_loss = 1.1143, test_acc = 0.8157
After round 114, test_loss = 1.1097, test_acc = 0.8174
After round 115, test_loss = 1.1054, test_acc = 0.8162
After round 116, test_loss = 1.1009, test_acc = 0.8171
After round 117, test_loss = 1.0968, test_acc = 0.818
After round 118, test_loss = 1.0925, test_acc = 0.8186
After round 119, test_loss = 1.0885, test_acc = 0.8194
After round 120, test_loss = 1.0843, test_acc = 0.8195
After round 121, test_loss = 1.08, test_acc = 0.82
After round 122, test_loss = 1.0758, test_acc = 0.8206
After round 123, test_loss = 1.0717, test_acc = 0.821
After round 124, test_loss = 1.0678, test_acc = 0.821
After round 125, test_loss = 1.0639, test_acc = 0.8201
After round 126, test_loss = 1.0599, test_acc = 0.821
After round 127, test_loss = 1.0562, test_acc = 0.8223
After round 128, test_loss = 1.0524, test_acc = 0.8211
After round 129, test_loss = 1.0485, test_acc = 0.8223
After round 130, test_loss = 1.0447, test_acc = 0.8226
After round 131, test_loss = 1.0411, test_acc = 0.8213
After round 132, test_loss = 1.0375, test_acc = 0.8222
After round 133, test_loss = 1.034, test_acc = 0.8219
After round 134, test_loss = 1.0303, test_acc = 0.8223
After round 135, test_loss = 1.0268, test_acc = 0.8218
