After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.32, test_acc = 0.1372
After round 2, test_loss = 2.3021, test_acc = 0.1944
After round 3, test_loss = 2.2849, test_acc = 0.2223
After round 4, test_loss = 2.2718, test_acc = 0.2292
After round 5, test_loss = 2.2548, test_acc = 0.3043
After round 6, test_loss = 2.2399, test_acc = 0.3685
After round 7, test_loss = 2.2255, test_acc = 0.3989
After round 8, test_loss = 2.2118, test_acc = 0.4256
After round 9, test_loss = 2.1989, test_acc = 0.4583
After round 10, test_loss = 2.1865, test_acc = 0.4765
After round 11, test_loss = 2.1634, test_acc = 0.4785
After round 12, test_loss = 2.1503, test_acc = 0.4842
After round 13, test_loss = 2.15, test_acc = 0.4973
After round 14, test_loss = 2.136, test_acc = 0.5038
After round 15, test_loss = 2.1246, test_acc = 0.499
After round 16, test_loss = 2.1138, test_acc = 0.5081
After round 17, test_loss = 2.0998, test_acc = 0.5047
After round 18, test_loss = 2.0901, test_acc = 0.5225
After round 19, test_loss = 2.0709, test_acc = 0.5233
After round 20, test_loss = 2.0489, test_acc = 0.512
After round 21, test_loss = 2.0361, test_acc = 0.5223
After round 22, test_loss = 2.0261, test_acc = 0.5277
After round 23, test_loss = 2.0199, test_acc = 0.5358
After round 24, test_loss = 1.9979, test_acc = 0.5202
After round 25, test_loss = 1.9925, test_acc = 0.5375
After round 26, test_loss = 1.985, test_acc = 0.5339
After round 27, test_loss = 1.962, test_acc = 0.5287
After round 28, test_loss = 1.9587, test_acc = 0.5487
After round 29, test_loss = 1.9388, test_acc = 0.5562
After round 30, test_loss = 1.9319, test_acc = 0.548
After round 31, test_loss = 1.932, test_acc = 0.5586
After round 32, test_loss = 1.9011, test_acc = 0.566
After round 33, test_loss = 1.9007, test_acc = 0.5657
After round 34, test_loss = 1.8804, test_acc = 0.575
After round 35, test_loss = 1.8818, test_acc = 0.5718
After round 36, test_loss = 1.8772, test_acc = 0.5713
After round 37, test_loss = 1.8524, test_acc = 0.5718
After round 38, test_loss = 1.8491, test_acc = 0.5714
After round 39, test_loss = 1.8429, test_acc = 0.5737
After round 40, test_loss = 1.8336, test_acc = 0.5733
After round 41, test_loss = 1.8278, test_acc = 0.5754
After round 42, test_loss = 1.8225, test_acc = 0.5774
After round 43, test_loss = 1.8176, test_acc = 0.5765
After round 44, test_loss = 1.806, test_acc = 0.5805
After round 45, test_loss = 1.8019, test_acc = 0.582
After round 46, test_loss = 1.7969, test_acc = 0.582
After round 47, test_loss = 1.7845, test_acc = 0.5787
After round 48, test_loss = 1.7713, test_acc = 0.5849
After round 49, test_loss = 1.7455, test_acc = 0.5848
After round 50, test_loss = 1.7379, test_acc = 0.5872
After round 51, test_loss = 1.7409, test_acc = 0.5903
After round 52, test_loss = 1.7215, test_acc = 0.5964
After round 53, test_loss = 1.7268, test_acc = 0.5946
After round 54, test_loss = 1.7054, test_acc = 0.5857
After round 55, test_loss = 1.7131, test_acc = 0.5896
After round 56, test_loss = 1.7129, test_acc = 0.5916
After round 57, test_loss = 1.7042, test_acc = 0.5904
After round 58, test_loss = 1.7037, test_acc = 0.5918
After round 59, test_loss = 1.6789, test_acc = 0.5953
After round 60, test_loss = 1.6696, test_acc = 0.5978
After round 61, test_loss = 1.6645, test_acc = 0.6024
After round 62, test_loss = 1.6745, test_acc = 0.6002
After round 63, test_loss = 1.6549, test_acc = 0.6056
After round 64, test_loss = 1.6621, test_acc = 0.6027
After round 65, test_loss = 1.6546, test_acc = 0.603
After round 66, test_loss = 1.6421, test_acc = 0.6075
After round 67, test_loss = 1.6403, test_acc = 0.6075
