After round 119, test_loss = 0.3357, test_acc = 0.9088
After round 120, test_loss = 0.3353, test_acc = 0.9088
After round 121, test_loss = 0.3349, test_acc = 0.9089
After round 122, test_loss = 0.3344, test_acc = 0.909
After round 123, test_loss = 0.334, test_acc = 0.909
After round 124, test_loss = 0.3337, test_acc = 0.909
After round 125, test_loss = 0.3333, test_acc = 0.9095
After round 126, test_loss = 0.3329, test_acc = 0.9094
After round 127, test_loss = 0.3323, test_acc = 0.9101
After round 128, test_loss = 0.3319, test_acc = 0.91
After round 129, test_loss = 0.3316, test_acc = 0.9103
After round 130, test_loss = 0.3313, test_acc = 0.91
After round 131, test_loss = 0.3309, test_acc = 0.9101
After round 132, test_loss = 0.3306, test_acc = 0.91
After round 133, test_loss = 0.3303, test_acc = 0.9103
After round 134, test_loss = 0.3299, test_acc = 0.9104
After round 135, test_loss = 0.3296, test_acc = 0.9109
After round 136, test_loss = 0.3293, test_acc = 0.9112
After round 137, test_loss = 0.3289, test_acc = 0.9113
After round 138, test_loss = 0.3287, test_acc = 0.9109
After round 139, test_loss = 0.3283, test_acc = 0.911
After round 140, test_loss = 0.328, test_acc = 0.911
After round 141, test_loss = 0.3276, test_acc = 0.9114
After round 142, test_loss = 0.3273, test_acc = 0.9117
After round 143, test_loss = 0.327, test_acc = 0.9114
After round 144, test_loss = 0.3267, test_acc = 0.9114
After round 145, test_loss = 0.3263, test_acc = 0.911
After round 146, test_loss = 0.326, test_acc = 0.9111
After round 147, test_loss = 0.3257, test_acc = 0.9109
After round 148, test_loss = 0.3253, test_acc = 0.9112
After round 149, test_loss = 0.3251, test_acc = 0.9112
After round 150, test_loss = 0.3248, test_acc = 0.9115
After round 151, test_loss = 0.3246, test_acc = 0.9115
After round 152, test_loss = 0.3242, test_acc = 0.9115
After round 153, test_loss = 0.3238, test_acc = 0.9116
After round 154, test_loss = 0.3236, test_acc = 0.9115
After round 155, test_loss = 0.3233, test_acc = 0.9117
After round 156, test_loss = 0.3231, test_acc = 0.9118
After round 157, test_loss = 0.3228, test_acc = 0.9114
After round 158, test_loss = 0.3225, test_acc = 0.9115
After round 159, test_loss = 0.3222, test_acc = 0.9115
After round 160, test_loss = 0.3218, test_acc = 0.9115
After round 161, test_loss = 0.3216, test_acc = 0.9116
After round 162, test_loss = 0.3213, test_acc = 0.9117
After round 163, test_loss = 0.3212, test_acc = 0.9118
After round 164, test_loss = 0.3207, test_acc = 0.912
After round 165, test_loss = 0.3206, test_acc = 0.912
After round 166, test_loss = 0.3203, test_acc = 0.9122
After round 167, test_loss = 0.32, test_acc = 0.9122
After round 168, test_loss = 0.3198, test_acc = 0.9124
After round 169, test_loss = 0.3195, test_acc = 0.9123
After round 170, test_loss = 0.3193, test_acc = 0.9123
After round 171, test_loss = 0.319, test_acc = 0.9122
After round 172, test_loss = 0.3188, test_acc = 0.9123
After round 173, test_loss = 0.3184, test_acc = 0.9123
After round 174, test_loss = 0.3182, test_acc = 0.9123
