After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3173, test_acc = 0.1125
After round 2, test_loss = 2.2943, test_acc = 0.1414
After round 3, test_loss = 2.272, test_acc = 0.1787
After round 4, test_loss = 2.251, test_acc = 0.2153
After round 5, test_loss = 2.2295, test_acc = 0.2557
After round 6, test_loss = 2.2096, test_acc = 0.2879
After round 7, test_loss = 2.1892, test_acc = 0.3218
After round 8, test_loss = 2.1689, test_acc = 0.3449
After round 9, test_loss = 2.1492, test_acc = 0.3853
After round 10, test_loss = 2.1299, test_acc = 0.4266
After round 11, test_loss = 2.1117, test_acc = 0.4612
After round 12, test_loss = 2.0923, test_acc = 0.4922
After round 13, test_loss = 2.0737, test_acc = 0.5097
After round 14, test_loss = 2.0557, test_acc = 0.5377
After round 15, test_loss = 2.0378, test_acc = 0.5621
After round 16, test_loss = 2.0198, test_acc = 0.5834
After round 17, test_loss = 2.0025, test_acc = 0.6055
After round 18, test_loss = 1.985, test_acc = 0.6151
After round 19, test_loss = 1.9681, test_acc = 0.6316
After round 20, test_loss = 1.9513, test_acc = 0.6386
After round 21, test_loss = 1.9349, test_acc = 0.6482
After round 22, test_loss = 1.919, test_acc = 0.655
After round 23, test_loss = 1.9034, test_acc = 0.6623
After round 24, test_loss = 1.8877, test_acc = 0.6761
After round 25, test_loss = 1.8721, test_acc = 0.6792
After round 26, test_loss = 1.857, test_acc = 0.688
After round 27, test_loss = 1.8421, test_acc = 0.6888
After round 28, test_loss = 1.8269, test_acc = 0.6984
After round 29, test_loss = 1.8122, test_acc = 0.7041
After round 30, test_loss = 1.7979, test_acc = 0.7062
After round 31, test_loss = 1.7836, test_acc = 0.71
After round 32, test_loss = 1.7698, test_acc = 0.7126
After round 33, test_loss = 1.7557, test_acc = 0.7154
After round 34, test_loss = 1.7424, test_acc = 0.7233
After round 35, test_loss = 1.7292, test_acc = 0.732
After round 36, test_loss = 1.7161, test_acc = 0.7311
After round 37, test_loss = 1.7032, test_acc = 0.7327
After round 38, test_loss = 1.6906, test_acc = 0.735
After round 39, test_loss = 1.6786, test_acc = 0.739
After round 40, test_loss = 1.6662, test_acc = 0.7412
After round 41, test_loss = 1.6541, test_acc = 0.7464
After round 42, test_loss = 1.6421, test_acc = 0.7491
After round 43, test_loss = 1.6302, test_acc = 0.7532
After round 44, test_loss = 1.618, test_acc = 0.7561
After round 45, test_loss = 1.6069, test_acc = 0.7576
After round 46, test_loss = 1.5963, test_acc = 0.7577
After round 47, test_loss = 1.585, test_acc = 0.7583
After round 48, test_loss = 1.574, test_acc = 0.7601
After round 49, test_loss = 1.5629, test_acc = 0.7585
After round 50, test_loss = 1.553, test_acc = 0.7617
After round 51, test_loss = 1.5428, test_acc = 0.7636
After round 52, test_loss = 1.5323, test_acc = 0.7699
After round 53, test_loss = 1.5221, test_acc = 0.7686
After round 54, test_loss = 1.5122, test_acc = 0.7689
After round 55, test_loss = 1.5026, test_acc = 0.771
After round 56, test_loss = 1.4927, test_acc = 0.7731
After round 57, test_loss = 1.4834, test_acc = 0.7729
After round 58, test_loss = 1.4739, test_acc = 0.7729
After round 59, test_loss = 1.4646, test_acc = 0.774
After round 60, test_loss = 1.455, test_acc = 0.7752
After round 61, test_loss = 1.446, test_acc = 0.7773
After round 62, test_loss = 1.4371, test_acc = 0.7792
After round 63, test_loss = 1.4286, test_acc = 0.7782
After round 64, test_loss = 1.4198, test_acc = 0.7804
After round 65, test_loss = 1.4111, test_acc = 0.7822
After round 66, test_loss = 1.4025, test_acc = 0.785
After round 67, test_loss = 1.3945, test_acc = 0.7888
After round 68, test_loss = 1.3866, test_acc = 0.7883
After round 69, test_loss = 1.3788, test_acc = 0.7876
