Starting: 19:12:28:170797
round_1_start: 19:12:28:170849
round_1_model_trained: 19:12:28:288022
round_1_model_shared: 19:12:28:304354
round_1_received_params_1: 19:12:28:410248
round_1_end: 19:12:28:410528
round_2_start: 19:12:28:410551
round_2_model_trained: 19:12:28:425014
round_2_model_shared: 19:12:28:431820
round_2_received_params_1: 19:12:28:557977
round_2_end: 19:12:28:558170
round_3_start: 19:12:28:558189
round_3_model_trained: 19:12:28:571397
round_3_model_shared: 19:12:28:578200
round_3_received_params_1: 19:12:28:665980
round_3_end: 19:12:28:666167
round_4_start: 19:12:28:666186
round_4_model_trained: 19:12:28:679379
round_4_model_shared: 19:12:28:686161
round_4_received_params_1: 19:12:28:776094
round_4_end: 19:12:28:776281
round_5_start: 19:12:28:776301
round_5_model_trained: 19:12:28:789555
round_5_model_shared: 19:12:28:796316
round_5_received_params_1: 19:12:28:887768
round_5_end: 19:12:28:887954
round_6_start: 19:12:28:887974
round_6_model_trained: 19:12:28:901295
round_6_model_shared: 19:12:28:908037
round_6_received_params_1: 19:12:28:998893
round_6_end: 19:12:28:999080
round_7_start: 19:12:28:999099
round_7_model_trained: 19:12:29:012239
round_7_model_shared: 19:12:29:019003
round_7_received_params_1: 19:12:29:118016
round_7_end: 19:12:29:118205
round_8_start: 19:12:29:118224
round_8_model_trained: 19:12:29:131443
round_8_model_shared: 19:12:29:138255
round_8_received_params_1: 19:12:29:254722
round_8_end: 19:12:29:254911
round_9_start: 19:12:29:254930
round_9_model_trained: 19:12:29:268093
round_9_model_shared: 19:12:29:274929
round_9_received_params_1: 19:12:29:379750
round_9_end: 19:12:29:379938
round_10_start: 19:12:29:379958
round_10_model_trained: 19:12:29:392968
round_10_model_shared: 19:12:29:399717
round_10_received_params_1: 19:12:29:524018
round_10_end: 19:12:29:524205
round_11_start: 19:12:29:524224
round_11_model_trained: 19:12:29:537293
round_11_model_shared: 19:12:29:544050
round_11_received_params_1: 19:12:29:652645
round_11_end: 19:12:29:652834
round_12_start: 19:12:29:652870
round_12_model_trained: 19:12:29:665840
round_12_model_shared: 19:12:29:672610
round_12_received_params_1: 19:12:29:779867
round_12_end: 19:12:29:780055
round_13_start: 19:12:29:780074
round_13_model_trained: 19:12:29:793174
