Starting: 17:53:52:266594
round_1_start: 17:53:52:266663
round_1_received_params: 17:53:53:786418
received_params: 17:53:53:808787
round_1_aggregation: 17:53:53:808805
round_1_end: 17:53:54:285570
round_2_start: 17:53:54:285616
round_2_received_params: 17:53:54:899162
received_params: 17:53:54:918788
received_params: 17:53:54:971134
round_2_aggregation: 17:53:54:971152
round_2_end: 17:53:55:424725
round_3_start: 17:53:55:424774
round_3_received_params: 17:53:56:251035
round_3_aggregation: 17:53:56:251066
round_3_end: 17:53:56:264254
round_4_start: 17:53:56:264296
round_4_received_params: 17:53:56:908999
received_params: 17:53:56:917770
received_params: 17:53:57:007659
round_4_aggregation: 17:53:57:007679
round_4_end: 17:53:57:355261
round_5_start: 17:53:57:355303
round_5_received_params: 17:53:58:059547
received_params: 17:53:58:091528
received_params: 17:53:58:180435
round_5_aggregation: 17:53:58:180465
round_5_end: 17:53:58:616420
round_6_start: 17:53:58:616458
round_6_received_params: 17:53:59:331723
received_params: 17:53:59:430728
round_6_aggregation: 17:53:59:430757
round_6_end: 17:53:59:839269
round_7_start: 17:53:59:839309
round_7_received_params: 17:54:00:582285
received_params: 17:54:00:604746
round_7_aggregation: 17:54:00:604764
round_7_end: 17:54:00:607326
round_8_start: 17:54:00:607350
round_8_received_params: 17:54:01:692276
received_params: 17:54:01:704504
received_params: 17:54:01:745796
round_8_aggregation: 17:54:01:745822
round_8_end: 17:54:02:236510
round_9_start: 17:54:02:236558
round_9_received_params: 17:54:02:973635
received_params: 17:54:02:986477
received_params: 17:54:02:994050
round_9_aggregation: 17:54:02:994074
round_9_end: 17:54:03:288524
round_10_start: 17:54:03:288566
round_10_received_params: 17:54:04:165722
received_params: 17:54:04:182378
received_params: 17:54:04:198442
round_10_aggregation: 17:54:04:198464
round_10_end: 17:54:04:688372
end: 17:54:04:688406
