Starting: 11:12:14:348711
round_1_start: 11:12:14:348748
round_1_received_params: 11:12:15:008539
received_params: 11:12:15:020841
round_1_aggregation: 11:12:15:020858
round_1_end: 11:12:15:024058
round_2_start: 11:12:15:024084
round_2_received_params: 11:12:15:557002
received_params: 11:12:15:563225
round_2_aggregation: 11:12:15:563242
round_2_end: 11:12:15:565789
round_3_start: 11:12:15:565820
round_3_received_params: 11:12:16:098453
received_params: 11:12:16:125832
round_3_aggregation: 11:12:16:125849
round_3_end: 11:12:16:128231
round_4_start: 11:12:16:128257
round_4_received_params: 11:12:16:659898
received_params: 11:12:16:694656
round_4_aggregation: 11:12:16:694673
round_4_end: 11:12:16:697030
round_5_start: 11:12:16:697056
round_5_received_params: 11:12:17:229743
received_params: 11:12:17:261709
round_5_aggregation: 11:12:17:261727
round_5_end: 11:12:17:264053
round_6_start: 11:12:17:264080
round_6_received_params: 11:12:17:795188
received_params: 11:12:17:828783
round_6_aggregation: 11:12:17:828801
round_6_end: 11:12:17:831319
round_7_start: 11:12:17:831347
round_7_received_params: 11:12:18:361900
received_params: 11:12:18:399594
round_7_aggregation: 11:12:18:399612
round_7_end: 11:12:18:401957
round_8_start: 11:12:18:401985
round_8_received_params: 11:12:18:933726
received_params: 11:12:18:969510
round_8_aggregation: 11:12:18:969528
round_8_end: 11:12:18:971895
round_9_start: 11:12:18:971923
round_9_received_params: 11:12:19:503419
received_params: 11:12:19:537801
round_9_aggregation: 11:12:19:537819
round_9_end: 11:12:19:540189
round_10_start: 11:12:19:540217
round_10_received_params: 11:12:20:072216
received_params: 11:12:20:106182
round_10_aggregation: 11:12:20:106200
round_10_end: 11:12:20:108529
round_11_start: 11:12:20:108555
round_11_received_params: 11:12:20:640991
received_params: 11:12:20:678974
round_11_aggregation: 11:12:20:678992
round_11_end: 11:12:20:681520
round_12_start: 11:12:20:681547
round_12_received_params: 11:12:21:214008
received_params: 11:12:21:247176
round_12_aggregation: 11:12:21:247193
round_12_end: 11:12:21:249609
round_13_start: 11:12:21:249636
round_13_received_params: 11:12:21:781530
received_params: 11:12:21:822429
round_13_aggregation: 11:12:21:822447
round_13_end: 11:12:21:824830
round_14_start: 11:12:21:824858
round_14_received_params: 11:12:22:356658
received_params: 11:12:22:390175
round_14_aggregation: 11:12:22:390193
round_14_end: 11:12:22:392562
round_15_start: 11:12:22:392590
round_15_received_params: 11:12:22:924746
received_params: 11:12:22:959673
round_15_aggregation: 11:12:22:959691
round_15_end: 11:12:22:961998
round_16_start: 11:12:22:962025
round_16_received_params: 11:12:23:493555
received_params: 11:12:23:533411
round_16_aggregation: 11:12:23:533429
round_16_end: 11:12:23:535766
round_17_start: 11:12:23:535793
round_17_received_params: 11:12:24:067845
received_params: 11:12:24:107130
round_17_aggregation: 11:12:24:107148
round_17_end: 11:12:24:109427
round_18_start: 11:12:24:109454
round_18_received_params: 11:12:24:641104
received_params: 11:12:24:680404
round_18_aggregation: 11:12:24:680421
round_18_end: 11:12:24:682730
round_19_start: 11:12:24:682757
round_19_received_params: 11:12:25:214338
received_params: 11:12:25:248853
round_19_aggregation: 11:12:25:248872
round_19_end: 11:12:25:251295
round_20_start: 11:12:25:251323
round_20_received_params: 11:12:25:782696
received_params: 11:12:25:823011
round_20_aggregation: 11:12:25:823029
round_20_end: 11:12:25:825370
round_21_start: 11:12:25:825398
round_21_received_params: 11:12:26:356314
received_params: 11:12:26:397179
round_21_aggregation: 11:12:26:397211
round_21_end: 11:12:26:399577
round_22_start: 11:12:26:399605
round_22_received_params: 11:12:26:930844
received_params: 11:12:26:971493
round_22_aggregation: 11:12:26:971511
round_22_end: 11:12:26:973841
round_23_start: 11:12:26:973870
round_23_received_params: 11:12:27:506144
received_params: 11:12:27:544351
round_23_aggregation: 11:12:27:544370
round_23_end: 11:12:27:546738
round_24_start: 11:12:27:546765
round_24_received_params: 11:12:28:078601
received_params: 11:12:28:117494
round_24_aggregation: 11:12:28:117512
round_24_end: 11:12:28:120038
round_25_start: 11:12:28:120066
round_25_received_params: 11:12:28:653819
received_params: 11:12:28:690002
round_25_aggregation: 11:12:28:690020
round_25_end: 11:12:28:692459
round_26_start: 11:12:28:692487
round_26_received_params: 11:12:29:225646
received_params: 11:12:29:261891
round_26_aggregation: 11:12:29:261909
round_26_end: 11:12:29:264406
round_27_start: 11:12:29:264433
round_27_received_params: 11:12:29:796384
received_params: 11:12:29:832706
round_27_aggregation: 11:12:29:832723
round_27_end: 11:12:29:835030
round_28_start: 11:12:29:835057
round_28_received_params: 11:12:30:368400
received_params: 11:12:30:402877
round_28_aggregation: 11:12:30:402896
round_28_end: 11:12:30:405272
round_29_start: 11:12:30:405301
round_29_received_params: 11:12:30:936674
received_params: 11:12:30:967920
round_29_aggregation: 11:12:30:967938
round_29_end: 11:12:30:970253
round_30_start: 11:12:30:970281
round_30_received_params: 11:12:31:502183
received_params: 11:12:31:537281
round_30_aggregation: 11:12:31:537299
round_30_end: 11:12:31:539596
round_31_start: 11:12:31:539623
round_31_received_params: 11:12:32:070894
received_params: 11:12:32:104489
round_31_aggregation: 11:12:32:104507
round_31_end: 11:12:32:106868
round_32_start: 11:12:32:106895
round_32_received_params: 11:12:32:638887
received_params: 11:12:32:671344
round_32_aggregation: 11:12:32:671363
round_32_end: 11:12:32:673852
round_33_start: 11:12:32:673880
round_33_received_params: 11:12:33:205718
received_params: 11:12:33:238868
round_33_aggregation: 11:12:33:238886
round_33_end: 11:12:33:241306
round_34_start: 11:12:33:241334
round_34_received_params: 11:12:33:773489
received_params: 11:12:33:815041
round_34_aggregation: 11:12:33:815059
round_34_end: 11:12:33:817444
round_35_start: 11:12:33:817472
round_35_received_params: 11:12:34:348898
received_params: 11:12:34:386450
round_35_aggregation: 11:12:34:386469
round_35_end: 11:12:34:388852
round_36_start: 11:12:34:388880
round_36_received_params: 11:12:34:919735
received_params: 11:12:34:956501
round_36_aggregation: 11:12:34:956519
round_36_end: 11:12:34:959029
round_37_start: 11:12:34:959057
round_37_received_params: 11:12:35:490546
received_params: 11:12:35:532761
round_37_aggregation: 11:12:35:532779
round_37_end: 11:12:35:535188
round_38_start: 11:12:35:535217
round_38_received_params: 11:12:36:066637
received_params: 11:12:36:101974
round_38_aggregation: 11:12:36:101993
round_38_end: 11:12:36:104355
round_39_start: 11:12:36:104383
round_39_received_params: 11:12:36:635972
received_params: 11:12:36:676302
round_39_aggregation: 11:12:36:676320
round_39_end: 11:12:36:678907
round_40_start: 11:12:36:678936
round_40_received_params: 11:12:37:209698
received_params: 11:12:37:248671
round_40_aggregation: 11:12:37:248689
round_40_end: 11:12:37:251067
round_41_start: 11:12:37:251095
round_41_received_params: 11:12:37:783369
received_params: 11:12:37:819311
round_41_aggregation: 11:12:37:819330
round_41_end: 11:12:37:821705
round_42_start: 11:12:37:821733
round_42_received_params: 11:12:38:352718
received_params: 11:12:38:390611
round_42_aggregation: 11:12:38:390628
round_42_end: 11:12:38:393011
round_43_start: 11:12:38:393039
round_43_received_params: 11:12:38:924338
received_params: 11:12:38:960914
round_43_aggregation: 11:12:38:960932
round_43_end: 11:12:38:963363
round_44_start: 11:12:38:963390
round_44_received_params: 11:12:39:495237
received_params: 11:12:39:532960
round_44_aggregation: 11:12:39:532978
round_44_end: 11:12:39:535359
round_45_start: 11:12:39:535386
round_45_received_params: 11:12:40:066499
