After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3262, test_acc = 0.1112
After round 2, test_loss = 2.3088, test_acc = 0.1291
After round 3, test_loss = 2.2969, test_acc = 0.1411
After round 4, test_loss = 2.2788, test_acc = 0.1741
After round 5, test_loss = 2.2441, test_acc = 0.2627
After round 6, test_loss = 2.2451, test_acc = 0.2285
After round 7, test_loss = 2.237, test_acc = 0.2512
After round 8, test_loss = 2.2195, test_acc = 0.3037
After round 9, test_loss = 2.2077, test_acc = 0.3316
After round 10, test_loss = 2.1989, test_acc = 0.3297
After round 11, test_loss = 2.1757, test_acc = 0.3589
After round 12, test_loss = 2.1708, test_acc = 0.3877
After round 13, test_loss = 2.1649, test_acc = 0.386
After round 14, test_loss = 2.1512, test_acc = 0.4052
After round 15, test_loss = 2.1299, test_acc = 0.4226
After round 16, test_loss = 2.1204, test_acc = 0.4296
After round 17, test_loss = 2.0964, test_acc = 0.4427
After round 18, test_loss = 2.0828, test_acc = 0.4606
After round 19, test_loss = 2.0813, test_acc = 0.4503
After round 20, test_loss = 2.0503, test_acc = 0.4851
After round 21, test_loss = 2.0567, test_acc = 0.4661
After round 22, test_loss = 2.0355, test_acc = 0.5066
After round 23, test_loss = 2.033, test_acc = 0.4936
After round 24, test_loss = 2.0134, test_acc = 0.4777
After round 25, test_loss = 1.9982, test_acc = 0.5049
After round 26, test_loss = 1.9944, test_acc = 0.4941
After round 27, test_loss = 1.9907, test_acc = 0.4881
After round 28, test_loss = 1.9716, test_acc = 0.5276
After round 29, test_loss = 1.9654, test_acc = 0.5145
After round 30, test_loss = 1.9398, test_acc = 0.5291
After round 31, test_loss = 1.9396, test_acc = 0.5061
After round 32, test_loss = 1.9358, test_acc = 0.5023
After round 33, test_loss = 1.9235, test_acc = 0.4996
After round 34, test_loss = 1.8934, test_acc = 0.5605
After round 35, test_loss = 1.8778, test_acc = 0.5689
After round 36, test_loss = 1.8615, test_acc = 0.565
After round 37, test_loss = 1.8572, test_acc = 0.5663
After round 38, test_loss = 1.8277, test_acc = 0.5724
After round 39, test_loss = 1.8258, test_acc = 0.5718
After round 40, test_loss = 1.8216, test_acc = 0.5696
After round 41, test_loss = 1.8152, test_acc = 0.5715
After round 42, test_loss = 1.8105, test_acc = 0.5716
After round 43, test_loss = 1.8002, test_acc = 0.5775
After round 44, test_loss = 1.793, test_acc = 0.5787
After round 45, test_loss = 1.7711, test_acc = 0.5686
After round 46, test_loss = 1.7635, test_acc = 0.5846
After round 47, test_loss = 1.7675, test_acc = 0.584
After round 48, test_loss = 1.7583, test_acc = 0.5896
After round 49, test_loss = 1.7477, test_acc = 0.5788
After round 50, test_loss = 1.7433, test_acc = 0.5847
After round 51, test_loss = 1.74, test_acc = 0.5855
After round 52, test_loss = 1.734, test_acc = 0.5876
After round 53, test_loss = 1.7291, test_acc = 0.5863
After round 54, test_loss = 1.726, test_acc = 0.5894
After round 55, test_loss = 1.7144, test_acc = 0.591
After round 56, test_loss = 1.7016, test_acc = 0.5938
After round 57, test_loss = 1.702, test_acc = 0.5912
After round 58, test_loss = 1.6946, test_acc = 0.5933
After round 59, test_loss = 1.6946, test_acc = 0.5932
After round 60, test_loss = 1.691, test_acc = 0.5986
After round 61, test_loss = 1.6902, test_acc = 0.5983
After round 62, test_loss = 1.6893, test_acc = 0.606
After round 63, test_loss = 1.6865, test_acc = 0.6017
After round 64, test_loss = 1.6785, test_acc = 0.6006
After round 65, test_loss = 1.6664, test_acc = 0.6116
After round 66, test_loss = 1.643, test_acc = 0.6116
After round 67, test_loss = 1.6629, test_acc = 0.6088
After round 68, test_loss = 1.6527, test_acc = 0.6141
After round 69, test_loss = 1.6553, test_acc = 0.6128
After round 70, test_loss = 1.6277, test_acc = 0.6243
After round 71, test_loss = 1.6281, test_acc = 0.6153
After round 72, test_loss = 1.6272, test_acc = 0.6228
After round 73, test_loss = 1.612, test_acc = 0.6229
After round 74, test_loss = 1.5831, test_acc = 0.6264
After round 75, test_loss = 1.6059, test_acc = 0.6167
After round 76, test_loss = 1.6055, test_acc = 0.6216
After round 77, test_loss = 1.5929, test_acc = 0.6239
After round 78, test_loss = 1.5709, test_acc = 0.6149
After round 79, test_loss = 1.5651, test_acc = 0.6197
After round 80, test_loss = 1.5741, test_acc = 0.6159
After round 81, test_loss = 1.57, test_acc = 0.6234
After round 82, test_loss = 1.5635, test_acc = 0.625
After round 83, test_loss = 1.5525, test_acc = 0.6237
After round 84, test_loss = 1.5516, test_acc = 0.6222
After round 85, test_loss = 1.545, test_acc = 0.6308
After round 86, test_loss = 1.5486, test_acc = 0.6223
After round 87, test_loss = 1.5125, test_acc = 0.6195
After round 88, test_loss = 1.5162, test_acc = 0.6195
After round 89, test_loss = 1.5111, test_acc = 0.6248
After round 90, test_loss = 1.4904, test_acc = 0.6249
After round 91, test_loss = 1.4941, test_acc = 0.6208
After round 92, test_loss = 1.5003, test_acc = 0.6179
After round 93, test_loss = 1.4993, test_acc = 0.6205
After round 94, test_loss = 1.4906, test_acc = 0.6226
After round 95, test_loss = 1.4883, test_acc = 0.6336
After round 96, test_loss = 1.4924, test_acc = 0.6243
After round 97, test_loss = 1.4915, test_acc = 0.6309
After round 98, test_loss = 1.4918, test_acc = 0.636
After round 99, test_loss = 1.4912, test_acc = 0.6397
After round 100, test_loss = 1.4859, test_acc = 0.6507
After round 101, test_loss = 1.4802, test_acc = 0.6423
After round 102, test_loss = 1.481, test_acc = 0.6439
After round 103, test_loss = 1.463, test_acc = 0.6425
After round 104, test_loss = 1.4654, test_acc = 0.6472
After round 105, test_loss = 1.4649, test_acc = 0.651
After round 106, test_loss = 1.4655, test_acc = 0.6561
After round 107, test_loss = 1.4574, test_acc = 0.6541
After round 108, test_loss = 1.4517, test_acc = 0.6611
After round 109, test_loss = 1.4496, test_acc = 0.6563
After round 110, test_loss = 1.4469, test_acc = 0.6594
After round 111, test_loss = 1.4464, test_acc = 0.6524
After round 112, test_loss = 1.4445, test_acc = 0.661
After round 113, test_loss = 1.448, test_acc = 0.6551
After round 114, test_loss = 1.4335, test_acc = 0.6479
After round 115, test_loss = 1.4218, test_acc = 0.6474
After round 116, test_loss = 1.4175, test_acc = 0.6532
After round 117, test_loss = 1.4171, test_acc = 0.6534
After round 118, test_loss = 1.4157, test_acc = 0.6438
After round 119, test_loss = 1.4073, test_acc = 0.6562
After round 120, test_loss = 1.3981, test_acc = 0.6584
After round 121, test_loss = 1.4012, test_acc = 0.6665
After round 122, test_loss = 1.4055, test_acc = 0.6675
After round 123, test_loss = 1.4069, test_acc = 0.6715
After round 124, test_loss = 1.4018, test_acc = 0.6733
After round 125, test_loss = 1.4003, test_acc = 0.6732
After round 126, test_loss = 1.3972, test_acc = 0.6752
After round 127, test_loss = 1.399, test_acc = 0.676
After round 128, test_loss = 1.4007, test_acc = 0.6761
After round 129, test_loss = 1.3808, test_acc = 0.6778
After round 130, test_loss = 1.3753, test_acc = 0.6789
After round 131, test_loss = 1.3797, test_acc = 0.6775
After round 132, test_loss = 1.3785, test_acc = 0.6761
After round 133, test_loss = 1.3745, test_acc = 0.6799
After round 134, test_loss = 1.374, test_acc = 0.6772
After round 135, test_loss = 1.3724, test_acc = 0.6803
After round 136, test_loss = 1.3753, test_acc = 0.6784
After round 137, test_loss = 1.3771, test_acc = 0.6806
After round 138, test_loss = 1.3737, test_acc = 0.6826
After round 139, test_loss = 1.377, test_acc = 0.6825
After round 140, test_loss = 1.3774, test_acc = 0.6808
After round 141, test_loss = 1.3749, test_acc = 0.6826
After round 142, test_loss = 1.3788, test_acc = 0.6831
After round 143, test_loss = 1.3704, test_acc = 0.6818
After round 144, test_loss = 1.3451, test_acc = 0.6798
After round 145, test_loss = 1.3609, test_acc = 0.6822
After round 146, test_loss = 1.363, test_acc = 0.6818
After round 147, test_loss = 1.3616, test_acc = 0.6804
After round 148, test_loss = 1.3532, test_acc = 0.6804
After round 149, test_loss = 1.3332, test_acc = 0.6823
After round 150, test_loss = 1.3453, test_acc = 0.6856
After round 151, test_loss = 1.3406, test_acc = 0.6856
After round 152, test_loss = 1.3328, test_acc = 0.6841
After round 153, test_loss = 1.33, test_acc = 0.6855
After round 154, test_loss = 1.3327, test_acc = 0.6834
After round 155, test_loss = 1.3135, test_acc = 0.6858
After round 156, test_loss = 1.331, test_acc = 0.687
After round 157, test_loss = 1.328, test_acc = 0.6853
After round 158, test_loss = 1.3279, test_acc = 0.6874
After round 159, test_loss = 1.3305, test_acc = 0.6861
After round 160, test_loss = 1.3219, test_acc = 0.6846
After round 161, test_loss = 1.3056, test_acc = 0.6856
After round 162, test_loss = 1.3058, test_acc = 0.6812
After round 163, test_loss = 1.3079, test_acc = 0.6815
After round 164, test_loss = 1.3063, test_acc = 0.6812
After round 165, test_loss = 1.3079, test_acc = 0.6818
After round 166, test_loss = 1.2992, test_acc = 0.6801
After round 167, test_loss = 1.2669, test_acc = 0.6827
After round 168, test_loss = 1.2791, test_acc = 0.6831
After round 169, test_loss = 1.2857, test_acc = 0.6808
After round 170, test_loss = 1.2862, test_acc = 0.6797
After round 171, test_loss = 1.2888, test_acc = 0.6761
After round 172, test_loss = 1.2804, test_acc = 0.6758
After round 173, test_loss = 1.2751, test_acc = 0.6768
After round 174, test_loss = 1.2815, test_acc = 0.6785
After round 175, test_loss = 1.278, test_acc = 0.6819
After round 176, test_loss = 1.2803, test_acc = 0.6831
After round 177, test_loss = 1.2783, test_acc = 0.6831
After round 178, test_loss = 1.2689, test_acc = 0.6823
After round 179, test_loss = 1.271, test_acc = 0.6833
After round 180, test_loss = 1.2548, test_acc = 0.6858
After round 181, test_loss = 1.2587, test_acc = 0.6839
After round 182, test_loss = 1.2602, test_acc = 0.6814
After round 183, test_loss = 1.2613, test_acc = 0.6821
After round 184, test_loss = 1.2619, test_acc = 0.6851
After round 185, test_loss = 1.2588, test_acc = 0.6855
After round 186, test_loss = 1.2589, test_acc = 0.6854
After round 187, test_loss = 1.2609, test_acc = 0.6865
After round 188, test_loss = 1.2623, test_acc = 0.6891
After round 189, test_loss = 1.2543, test_acc = 0.6897
After round 190, test_loss = 1.2489, test_acc = 0.6878
After round 191, test_loss = 1.2517, test_acc = 0.6871
After round 192, test_loss = 1.2559, test_acc = 0.6843
After round 193, test_loss = 1.2513, test_acc = 0.6822
After round 194, test_loss = 1.2492, test_acc = 0.6844
After round 195, test_loss = 1.2217, test_acc = 0.6877
After round 196, test_loss = 1.2142, test_acc = 0.6858
After round 197, test_loss = 1.2129, test_acc = 0.685
After round 198, test_loss = 1.2123, test_acc = 0.6828
After round 199, test_loss = 1.2094, test_acc = 0.6853
After round 200, test_loss = 1.1932, test_acc = 0.6915
After round 201, test_loss = 1.1963, test_acc = 0.6876
After round 202, test_loss = 1.1974, test_acc = 0.6894
After round 203, test_loss = 1.1961, test_acc = 0.689
After round 204, test_loss = 1.1973, test_acc = 0.6864
After round 205, test_loss = 1.1977, test_acc = 0.6887
After round 206, test_loss = 1.1878, test_acc = 0.6848
After round 207, test_loss = 1.1889, test_acc = 0.6873
After round 208, test_loss = 1.1902, test_acc = 0.6888
After round 209, test_loss = 1.1915, test_acc = 0.6899
After round 210, test_loss = 1.1937, test_acc = 0.6903
After round 211, test_loss = 1.1894, test_acc = 0.6886
After round 212, test_loss = 1.175, test_acc = 0.6957
After round 213, test_loss = 1.1791, test_acc = 0.6948
After round 214, test_loss = 1.1762, test_acc = 0.6954
After round 215, test_loss = 1.1755, test_acc = 0.6956
After round 216, test_loss = 1.1518, test_acc = 0.6962
After round 217, test_loss = 1.16, test_acc = 0.6935
After round 218, test_loss = 1.1349, test_acc = 0.6937
After round 219, test_loss = 1.1377, test_acc = 0.692
After round 220, test_loss = 1.1396, test_acc = 0.6916
After round 221, test_loss = 1.133, test_acc = 0.6928
After round 222, test_loss = 1.1362, test_acc = 0.6931
After round 223, test_loss = 1.1422, test_acc = 0.6903
After round 224, test_loss = 1.1445, test_acc = 0.6896
After round 225, test_loss = 1.1461, test_acc = 0.6907
After round 226, test_loss = 1.1417, test_acc = 0.6906
After round 227, test_loss = 1.1393, test_acc = 0.6899
After round 228, test_loss = 1.1425, test_acc = 0.6892
After round 229, test_loss = 1.1276, test_acc = 0.691
After round 230, test_loss = 1.1388, test_acc = 0.6886
