Client 3 started! ... 
Client 3 connected to the server!
Client 3 initialized!
Loss = 2.267876386642456, Accuracy = 0.1640625
Loss = 2.240117073059082, Accuracy = 0.1484375
Loss = 2.1931722164154053, Accuracy = 0.2421875
Loss = 2.1413257122039795, Accuracy = 0.2890625
Loss = 2.1255886554718018, Accuracy = 0.3671875
Loss = 2.1284596920013428, Accuracy = 0.3671875
Loss = 2.0569233894348145, Accuracy = 0.4140625
Loss = 2.030587911605835, Accuracy = 0.46875
Loss = 2.060002326965332, Accuracy = 0.3984375
Loss = 2.0456881523132324, Accuracy = 0.34375
Loss = 2.0227394104003906, Accuracy = 0.3828125
Loss = 2.0246191024780273, Accuracy = 0.3828125
Loss = 2.0065598487854004, Accuracy = 0.3671875
Loss = 1.9740519523620605, Accuracy = 0.453125
Loss = 1.9427562952041626, Accuracy = 0.4375
Loss = 1.9845545291900635, Accuracy = 0.328125
Loss = 1.9313921928405762, Accuracy = 0.390625
Loss = 1.8934390544891357, Accuracy = 0.40625
Loss = 1.917757511138916, Accuracy = 0.453125
Loss = 1.915663242340088, Accuracy = 0.4296875
Loss = 1.8838733434677124, Accuracy = 0.4609375
Loss = 1.8582419157028198, Accuracy = 0.453125
Loss = 1.8790268898010254, Accuracy = 0.375
Loss = 1.8337165117263794, Accuracy = 0.4375
Loss = 1.9040374755859375, Accuracy = 0.359375
Loss = 1.8171578645706177, Accuracy = 0.484375
Loss = 1.8463422060012817, Accuracy = 0.375
Loss = 1.8455398082733154, Accuracy = 0.3984375
Loss = 1.7669013738632202, Accuracy = 0.46875
Loss = 1.76192307472229, Accuracy = 0.4453125
Loss = 1.7985684871673584, Accuracy = 0.3828125
Loss = 1.7916842699050903, Accuracy = 0.34375
Loss = 1.739657998085022, Accuracy = 0.4453125
Loss = 1.784934639930725, Accuracy = 0.3359375
Loss = 1.7134870290756226, Accuracy = 0.4609375
Loss = 1.7340185642242432, Accuracy = 0.4765625
Loss = 1.7307804822921753, Accuracy = 0.40625
Loss = 1.633652687072754, Accuracy = 0.5
Loss = 1.6813170909881592, Accuracy = 0.453125
Loss = 1.669140100479126, Accuracy = 0.4609375
Loss = 1.6442137956619263, Accuracy = 0.484375
Loss = 1.6424440145492554, Accuracy = 0.390625
Loss = 1.5886869430541992, Accuracy = 0.46875
Loss = 1.6388596296310425, Accuracy = 0.4140625
Loss = 1.6262942552566528, Accuracy = 0.3984375
Loss = 1.607913851737976, Accuracy = 0.484375
Loss = 1.5713587999343872, Accuracy = 0.4375
Loss = 1.577247977256775, Accuracy = 0.421875
Loss = 1.568933129310608, Accuracy = 0.4375
Loss = 1.588487148284912, Accuracy = 0.4140625
Loss = 1.4846712350845337, Accuracy = 0.515625
Loss = 1.4987080097198486, Accuracy = 0.4921875
Loss = 1.5195634365081787, Accuracy = 0.5
Loss = 1.5148754119873047, Accuracy = 0.5546875
Loss = 1.491266131401062, Accuracy = 0.4921875
Loss = 1.4855718612670898, Accuracy = 0.5234375
Loss = 1.4476852416992188, Accuracy = 0.5078125
Loss = 1.4424889087677002, Accuracy = 0.53125
Loss = 1.4640965461730957, Accuracy = 0.53125
Loss = 1.487789273262024, Accuracy = 0.5078125
Loss = 1.4855616092681885, Accuracy = 0.421875
Loss = 1.4359948635101318, Accuracy = 0.5390625
Loss = 1.437622308731079, Accuracy = 0.4921875
Loss = 1.3929320573806763, Accuracy = 0.5703125
Loss = 1.3863643407821655, Accuracy = 0.484375
Loss = 1.3763000965118408, Accuracy = 0.53125
Loss = 1.3506156206130981, Accuracy = 0.5365853905677795
Loss = 1.3177462816238403, Accuracy = 0.609375
Loss = 1.412658452987671, Accuracy = 0.5546875
Loss = 1.3561031818389893, Accuracy = 0.59375
Loss = 1.3633977174758911, Accuracy = 0.5703125
Loss = 1.3365452289581299, Accuracy = 0.5703125
Loss = 1.3870493173599243, Accuracy = 0.53125
Loss = 1.2733471393585205, Accuracy = 0.6484375
Loss = 1.2939453125, Accuracy = 0.6171875
Loss = 1.3200191259384155, Accuracy = 0.609375
Loss = 1.3502277135849, Accuracy = 0.6015625
Loss = 1.3126415014266968, Accuracy = 0.640625
Loss = 1.296132206916809, Accuracy = 0.59375
Loss = 1.3074009418487549, Accuracy = 0.6015625
