Client 4 started! ... 
Client 4 connected to the server!
Client 4 initialized!
Loss = 2.3367741107940674, Accuracy = 0.0546875
Loss = 2.363955497741699, Accuracy = 0.0234375
Loss = 2.404414653778076, Accuracy = 0.0234375
Loss = 2.439648151397705, Accuracy = 0.0390625
Loss = 2.526914358139038, Accuracy = 0.0
Loss = 2.5321807861328125, Accuracy = 0.03125
Loss = 2.57132887840271, Accuracy = 0.0390625
Loss = 2.602663040161133, Accuracy = 0.03125
Loss = 2.656937837600708, Accuracy = 0.0703125
Loss = 2.6226351261138916, Accuracy = 0.125
Loss = 2.668757677078247, Accuracy = 0.046875
Loss = 2.696122407913208, Accuracy = 0.078125
Loss = 2.7681360244750977, Accuracy = 0.09375
Loss = 2.728358030319214, Accuracy = 0.0859375
Loss = 2.7352359294891357, Accuracy = 0.1171875
Loss = 2.871168613433838, Accuracy = 0.078125
Loss = 2.9022345542907715, Accuracy = 0.0546875
Loss = 2.916027784347534, Accuracy = 0.0703125
Loss = 2.907367706298828, Accuracy = 0.0859375
Loss = 2.90461802482605, Accuracy = 0.0859375
Loss = 2.940154552459717, Accuracy = 0.0859375
Loss = 2.9653778076171875, Accuracy = 0.0625
Loss = 3.07505202293396, Accuracy = 0.0625
Loss = 3.0471513271331787, Accuracy = 0.0546875
Loss = 2.9642555713653564, Accuracy = 0.09375
Loss = 2.9327690601348877, Accuracy = 0.109375
Loss = 3.002415657043457, Accuracy = 0.1171875
Loss = 3.146066904067993, Accuracy = 0.078125
Loss = 3.1393649578094482, Accuracy = 0.0859375
Loss = 3.085550546646118, Accuracy = 0.078125
Loss = 3.110175848007202, Accuracy = 0.0703125
Loss = 3.1916086673736572, Accuracy = 0.1171875
Loss = 3.182888984680176, Accuracy = 0.0546875
Loss = 3.098865032196045, Accuracy = 0.109375
Loss = 3.114521026611328, Accuracy = 0.1171875
Loss = 3.2198314666748047, Accuracy = 0.078125
Loss = 3.1504697799682617, Accuracy = 0.1328125
Loss = 3.43601655960083, Accuracy = 0.078125
Loss = 3.058863401412964, Accuracy = 0.1640625
Loss = 3.220637559890747, Accuracy = 0.1015625
Loss = 3.1410436630249023, Accuracy = 0.1484375
Loss = 3.041703939437866, Accuracy = 0.109375
Loss = 3.047024965286255, Accuracy = 0.140625
Loss = 3.1493279933929443, Accuracy = 0.1328125
Loss = 3.294588088989258, Accuracy = 0.09375
Loss = 3.2279295921325684, Accuracy = 0.1015625
Loss = 3.188051462173462, Accuracy = 0.125
Loss = 3.461102247238159, Accuracy = 0.1015625
Loss = 3.3797011375427246, Accuracy = 0.125
Loss = 3.4958202838897705, Accuracy = 0.125
Loss = 3.3344714641571045, Accuracy = 0.1171875
Loss = 3.3938474655151367, Accuracy = 0.140625
Loss = 3.22481632232666, Accuracy = 0.1484375
Loss = 3.3616461753845215, Accuracy = 0.1484375
Loss = 3.2238950729370117, Accuracy = 0.1875
Loss = 3.4109086990356445, Accuracy = 0.1328125
Loss = 3.60497784614563, Accuracy = 0.1015625
Loss = 3.379873275756836, Accuracy = 0.15625
Loss = 3.319108724594116, Accuracy = 0.140625
Loss = 3.5307505130767822, Accuracy = 0.1328125
Loss = 3.1923396587371826, Accuracy = 0.171875
Loss = 3.495434284210205, Accuracy = 0.1328125
Loss = 3.5239853858947754, Accuracy = 0.1015625
Loss = 3.25022292137146, Accuracy = 0.15625
Loss = 3.555530071258545, Accuracy = 0.140625
Loss = 3.549870252609253, Accuracy = 0.1484375
Loss = 3.4560368061065674, Accuracy = 0.1463414579629898
Loss = 3.4787590503692627, Accuracy = 0.125
Loss = 3.6708879470825195, Accuracy = 0.15625
Loss = 3.7653839588165283, Accuracy = 0.078125
Loss = 3.4129981994628906, Accuracy = 0.1796875
Loss = 3.428424835205078, Accuracy = 0.1796875
Loss = 3.6797759532928467, Accuracy = 0.1640625
Loss = 3.4054322242736816, Accuracy = 0.171875
Loss = 3.431900978088379, Accuracy = 0.1640625
Loss = 3.5642852783203125, Accuracy = 0.171875
Loss = 3.4471912384033203, Accuracy = 0.1796875
Loss = 3.6810522079467773, Accuracy = 0.21875
Loss = 3.3866469860076904, Accuracy = 0.25
Loss = 3.399089813232422, Accuracy = 0.2578125
Loss = 3.5884130001068115, Accuracy = 0.1484375
Loss = 3.5330824851989746, Accuracy = 0.171875
Loss = 3.699216842651367, Accuracy = 0.15625
Loss = 3.8652005195617676, Accuracy = 0.1640625
Loss = 3.6143605709075928, Accuracy = 0.15625
Loss = 3.3320705890655518, Accuracy = 0.28125
Loss = 3.6029391288757324, Accuracy = 0.1640625
Loss = 3.3887977600097656, Accuracy = 0.1875
Loss = 3.4844844341278076, Accuracy = 0.21875
Loss = 3.6742379665374756, Accuracy = 0.1328125
Loss = 3.598107099533081, Accuracy = 0.171875
Loss = 3.372978687286377, Accuracy = 0.265625
Loss = 3.818232536315918, Accuracy = 0.171875
Loss = 3.476625919342041, Accuracy = 0.203125
Loss = 3.4475178718566895, Accuracy = 0.2109375
Loss = 3.557767868041992, Accuracy = 0.203125
Loss = 3.4626967906951904, Accuracy = 0.234375
Loss = 3.3586409091949463, Accuracy = 0.234375
Loss = 3.8151092529296875, Accuracy = 0.171875
Loss = 3.6520040035247803, Accuracy = 0.234375
Loss = 3.4961612224578857, Accuracy = 0.234375
Loss = 3.696995496749878, Accuracy = 0.1796875
Loss = 3.8861453533172607, Accuracy = 0.125
Loss = 3.8916215896606445, Accuracy = 0.1640625
Loss = 3.9054744243621826, Accuracy = 0.1875
Loss = 3.769191265106201, Accuracy = 0.2109375
Loss = 3.708188772201538, Accuracy = 0.2421875
Loss = 3.878314256668091, Accuracy = 0.203125
Loss = 3.858299493789673, Accuracy = 0.203125
Loss = 3.653744697570801, Accuracy = 0.2265625
Loss = 3.6612565517425537, Accuracy = 0.234375
Loss = 3.937912940979004, Accuracy = 0.1796875
Loss = 3.8088560104370117, Accuracy = 0.1875
Loss = 3.8392772674560547, Accuracy = 0.21875
Loss = 3.833209991455078, Accuracy = 0.1875
Loss = 3.8489601612091064, Accuracy = 0.171875
Loss = 3.938650369644165, Accuracy = 0.2109375
Loss = 3.772892951965332, Accuracy = 0.2421875
Loss = 3.7487874031066895, Accuracy = 0.1875
Loss = 3.8097457885742188, Accuracy = 0.203125
Loss = 3.724470615386963, Accuracy = 0.25
Loss = 3.9077675342559814, Accuracy = 0.21875
Loss = 3.6507456302642822, Accuracy = 0.2109375
