After round 119, test_loss = 0.4931, test_acc = 0.8336
After round 120, test_loss = 0.5417, test_acc = 0.806
After round 121, test_loss = 0.543, test_acc = 0.8131
After round 122, test_loss = 0.5734, test_acc = 0.8081
After round 123, test_loss = 0.6055, test_acc = 0.8011
After round 124, test_loss = 0.6428, test_acc = 0.7947
After round 125, test_loss = 0.5172, test_acc = 0.8289
After round 126, test_loss = 0.4568, test_acc = 0.8621
After round 127, test_loss = 0.4736, test_acc = 0.8492
After round 128, test_loss = 0.5056, test_acc = 0.8309
After round 129, test_loss = 0.4777, test_acc = 0.849
After round 130, test_loss = 0.4879, test_acc = 0.8478
After round 131, test_loss = 0.4814, test_acc = 0.8527
After round 132, test_loss = 0.512, test_acc = 0.83
After round 133, test_loss = 0.5097, test_acc = 0.8239
After round 134, test_loss = 0.5006, test_acc = 0.8262
After round 135, test_loss = 0.4444, test_acc = 0.8652
After round 136, test_loss = 0.4857, test_acc = 0.8426
After round 137, test_loss = 0.4814, test_acc = 0.8549
After round 138, test_loss = 0.4517, test_acc = 0.8688
After round 139, test_loss = 0.4537, test_acc = 0.8689
After round 140, test_loss = 0.467, test_acc = 0.8635
After round 141, test_loss = 0.4371, test_acc = 0.8675
After round 142, test_loss = 0.3968, test_acc = 0.8906
After round 143, test_loss = 0.4272, test_acc = 0.8753
After round 144, test_loss = 0.4667, test_acc = 0.856
After round 145, test_loss = 0.4187, test_acc = 0.8771
After round 146, test_loss = 0.3828, test_acc = 0.8938
After round 147, test_loss = 0.4095, test_acc = 0.8797
After round 148, test_loss = 0.4717, test_acc = 0.8407
After round 149, test_loss = 0.4455, test_acc = 0.8621
After round 150, test_loss = 0.4243, test_acc = 0.8698
After round 151, test_loss = 0.4733, test_acc = 0.8442
After round 152, test_loss = 0.5065, test_acc = 0.8199
After round 153, test_loss = 0.3871, test_acc = 0.8945
After round 154, test_loss = 0.4223, test_acc = 0.8689
After round 155, test_loss = 0.399, test_acc = 0.8893
After round 156, test_loss = 0.4527, test_acc = 0.8574
After round 157, test_loss = 0.4654, test_acc = 0.844
After round 158, test_loss = 0.4939, test_acc = 0.8328
After round 159, test_loss = 0.5222, test_acc = 0.8244
After round 160, test_loss = 0.5478, test_acc = 0.8201
After round 161, test_loss = 0.5653, test_acc = 0.8106
After round 162, test_loss = 0.4197, test_acc = 0.8726
After round 163, test_loss = 0.3684, test_acc = 0.9025
After round 164, test_loss = 0.4094, test_acc = 0.877
After round 165, test_loss = 0.4054, test_acc = 0.878
After round 166, test_loss = 0.4178, test_acc = 0.8679
After round 167, test_loss = 0.4723, test_acc = 0.8407
After round 168, test_loss = 0.4859, test_acc = 0.8349
After round 169, test_loss = 0.5193, test_acc = 0.8209
After round 170, test_loss = 0.5346, test_acc = 0.8203
After round 171, test_loss = 0.559, test_acc = 0.8204
After round 172, test_loss = 0.5834, test_acc = 0.818
After round 173, test_loss = 0.4624, test_acc = 0.851
After round 174, test_loss = 0.3755, test_acc = 0.8971
After round 175, test_loss = 0.3838, test_acc = 0.8922
After round 176, test_loss = 0.3618, test_acc = 0.9035
After round 177, test_loss = 0.3819, test_acc = 0.8922
After round 178, test_loss = 0.4003, test_acc = 0.8856
After round 179, test_loss = 0.4136, test_acc = 0.8817
After round 180, test_loss = 0.4026, test_acc = 0.8811
After round 181, test_loss = 0.4051, test_acc = 0.8808
After round 182, test_loss = 0.4302, test_acc = 0.868
After round 183, test_loss = 0.4163, test_acc = 0.8789
After round 184, test_loss = 0.4175, test_acc = 0.8769
After round 185, test_loss = 0.4039, test_acc = 0.8852
After round 186, test_loss = 0.3784, test_acc = 0.8943
After round 187, test_loss = 0.3778, test_acc = 0.8927
After round 188, test_loss = 0.434, test_acc = 0.8589
After round 189, test_loss = 0.4228, test_acc = 0.8658
After round 190, test_loss = 0.3876, test_acc = 0.8874
After round 191, test_loss = 0.3783, test_acc = 0.8962
After round 192, test_loss = 0.3849, test_acc = 0.8905
After round 193, test_loss = 0.3887, test_acc = 0.8892
After round 194, test_loss = 0.3811, test_acc = 0.8938
After round 195, test_loss = 0.3881, test_acc = 0.8909
After round 196, test_loss = 0.3654, test_acc = 0.9034
After round 197, test_loss = 0.3884, test_acc = 0.8893
After round 198, test_loss = 0.4125, test_acc = 0.8743
After round 199, test_loss = 0.4398, test_acc = 0.866
After round 200, test_loss = 0.4343, test_acc = 0.861
