After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.32, test_acc = 0.1372
After round 2, test_loss = 2.3027, test_acc = 0.1851
After round 3, test_loss = 2.286, test_acc = 0.2056
After round 4, test_loss = 2.2733, test_acc = 0.2169
After round 5, test_loss = 2.2593, test_acc = 0.2549
After round 6, test_loss = 2.2473, test_acc = 0.27
After round 7, test_loss = 2.2339, test_acc = 0.3103
After round 8, test_loss = 2.225, test_acc = 0.3296
After round 9, test_loss = 2.2129, test_acc = 0.3475
After round 10, test_loss = 2.1938, test_acc = 0.382
After round 11, test_loss = 2.175, test_acc = 0.3985
After round 12, test_loss = 2.164, test_acc = 0.4127
After round 13, test_loss = 2.1572, test_acc = 0.4124
After round 14, test_loss = 2.1402, test_acc = 0.4394
After round 15, test_loss = 2.1333, test_acc = 0.435
After round 16, test_loss = 2.1186, test_acc = 0.4651
After round 17, test_loss = 2.0914, test_acc = 0.4811
After round 18, test_loss = 2.089, test_acc = 0.4934
After round 19, test_loss = 2.0687, test_acc = 0.4899
After round 20, test_loss = 2.0668, test_acc = 0.505
After round 21, test_loss = 2.0592, test_acc = 0.5034
After round 22, test_loss = 2.0281, test_acc = 0.5235
After round 23, test_loss = 2.0231, test_acc = 0.5356
After round 24, test_loss = 2.0073, test_acc = 0.5283
After round 25, test_loss = 1.9826, test_acc = 0.5429
After round 26, test_loss = 1.9709, test_acc = 0.5451
After round 27, test_loss = 1.9694, test_acc = 0.5409
After round 28, test_loss = 1.9659, test_acc = 0.5286
After round 29, test_loss = 1.9576, test_acc = 0.528
After round 30, test_loss = 1.9455, test_acc = 0.5484
After round 31, test_loss = 1.9389, test_acc = 0.5453
After round 32, test_loss = 1.9331, test_acc = 0.5415
After round 33, test_loss = 1.9093, test_acc = 0.5513
After round 34, test_loss = 1.9083, test_acc = 0.5404
After round 35, test_loss = 1.8976, test_acc = 0.558
After round 36, test_loss = 1.8884, test_acc = 0.567
After round 37, test_loss = 1.8641, test_acc = 0.5807
After round 38, test_loss = 1.8518, test_acc = 0.5821
After round 39, test_loss = 1.8484, test_acc = 0.5757
After round 40, test_loss = 1.8402, test_acc = 0.5768
After round 41, test_loss = 1.8307, test_acc = 0.5798
After round 42, test_loss = 1.8232, test_acc = 0.5767
After round 43, test_loss = 1.8126, test_acc = 0.5834
After round 44, test_loss = 1.8075, test_acc = 0.5876
After round 45, test_loss = 1.7854, test_acc = 0.5936
After round 46, test_loss = 1.7879, test_acc = 0.5884
After round 47, test_loss = 1.7713, test_acc = 0.5949
After round 48, test_loss = 1.7689, test_acc = 0.5961
After round 49, test_loss = 1.7644, test_acc = 0.597
After round 50, test_loss = 1.7611, test_acc = 0.5963
After round 51, test_loss = 1.7562, test_acc = 0.5961
After round 52, test_loss = 1.7413, test_acc = 0.5919
After round 53, test_loss = 1.7333, test_acc = 0.5868
After round 54, test_loss = 1.7299, test_acc = 0.5956
After round 55, test_loss = 1.726, test_acc = 0.5969
After round 56, test_loss = 1.7008, test_acc = 0.5989
After round 57, test_loss = 1.7127, test_acc = 0.5972
After round 58, test_loss = 1.7119, test_acc = 0.6005
After round 59, test_loss = 1.7129, test_acc = 0.5974
After round 60, test_loss = 1.6898, test_acc = 0.6102
After round 61, test_loss = 1.6956, test_acc = 0.5995
After round 62, test_loss = 1.6963, test_acc = 0.5998
After round 63, test_loss = 1.6898, test_acc = 0.5986
After round 64, test_loss = 1.6707, test_acc = 0.6109
After round 65, test_loss = 1.6781, test_acc = 0.605
After round 66, test_loss = 1.6488, test_acc = 0.6081
After round 67, test_loss = 1.6284, test_acc = 0.6091
After round 68, test_loss = 1.6236, test_acc = 0.624
After round 69, test_loss = 1.6031, test_acc = 0.6192
After round 70, test_loss = 1.6186, test_acc = 0.6143
After round 71, test_loss = 1.6011, test_acc = 0.6188
After round 72, test_loss = 1.6094, test_acc = 0.6156
After round 73, test_loss = 1.5814, test_acc = 0.6318
After round 74, test_loss = 1.5986, test_acc = 0.6262
After round 75, test_loss = 1.5751, test_acc = 0.6241
After round 76, test_loss = 1.5885, test_acc = 0.6233
After round 77, test_loss = 1.5849, test_acc = 0.6184
After round 78, test_loss = 1.5833, test_acc = 0.622
After round 79, test_loss = 1.5813, test_acc = 0.617
After round 80, test_loss = 1.5554, test_acc = 0.6232
After round 81, test_loss = 1.5564, test_acc = 0.6219
After round 82, test_loss = 1.5523, test_acc = 0.618
After round 83, test_loss = 1.5275, test_acc = 0.624
After round 84, test_loss = 1.5357, test_acc = 0.6191
After round 85, test_loss = 1.5194, test_acc = 0.6227
After round 86, test_loss = 1.5137, test_acc = 0.6229
After round 87, test_loss = 1.5087, test_acc = 0.6306
After round 88, test_loss = 1.5065, test_acc = 0.629
After round 89, test_loss = 1.5112, test_acc = 0.6232
After round 90, test_loss = 1.4934, test_acc = 0.64
After round 91, test_loss = 1.4926, test_acc = 0.6311
After round 92, test_loss = 1.4777, test_acc = 0.6337
After round 93, test_loss = 1.4873, test_acc = 0.6339
After round 94, test_loss = 1.4903, test_acc = 0.6387
After round 95, test_loss = 1.49, test_acc = 0.63
After round 96, test_loss = 1.4903, test_acc = 0.6336
After round 97, test_loss = 1.4908, test_acc = 0.6304
After round 98, test_loss = 1.4607, test_acc = 0.6378
After round 99, test_loss = 1.463, test_acc = 0.6339
After round 100, test_loss = 1.4637, test_acc = 0.6565
After round 101, test_loss = 1.4663, test_acc = 0.6513
After round 102, test_loss = 1.447, test_acc = 0.6479
After round 103, test_loss = 1.4436, test_acc = 0.6604
After round 104, test_loss = 1.4204, test_acc = 0.6517
After round 105, test_loss = 1.4377, test_acc = 0.652
After round 106, test_loss = 1.4295, test_acc = 0.6434
After round 107, test_loss = 1.4274, test_acc = 0.6515
After round 108, test_loss = 1.415, test_acc = 0.6646
After round 109, test_loss = 1.4174, test_acc = 0.652
After round 110, test_loss = 1.3955, test_acc = 0.6457
After round 111, test_loss = 1.4015, test_acc = 0.6393
After round 112, test_loss = 1.3797, test_acc = 0.6433
After round 113, test_loss = 1.372, test_acc = 0.6388
After round 114, test_loss = 1.366, test_acc = 0.6402
After round 115, test_loss = 1.3734, test_acc = 0.6336
After round 116, test_loss = 1.3524, test_acc = 0.636
After round 117, test_loss = 1.3403, test_acc = 0.6349
After round 118, test_loss = 1.3562, test_acc = 0.6432
After round 119, test_loss = 1.3602, test_acc = 0.6525
After round 120, test_loss = 1.3589, test_acc = 0.6603
After round 121, test_loss = 1.3594, test_acc = 0.6585
After round 122, test_loss = 1.3596, test_acc = 0.6615
After round 123, test_loss = 1.3602, test_acc = 0.6591
After round 124, test_loss = 1.3382, test_acc = 0.6595
After round 125, test_loss = 1.3403, test_acc = 0.6564
After round 126, test_loss = 1.3216, test_acc = 0.6578
After round 127, test_loss = 1.3347, test_acc = 0.6682
After round 128, test_loss = 1.333, test_acc = 0.6576
After round 129, test_loss = 1.3336, test_acc = 0.6597
After round 130, test_loss = 1.3351, test_acc = 0.6555
After round 131, test_loss = 1.3348, test_acc = 0.66
After round 132, test_loss = 1.3344, test_acc = 0.6581
After round 133, test_loss = 1.3358, test_acc = 0.6559
After round 134, test_loss = 1.3366, test_acc = 0.6563
After round 135, test_loss = 1.3344, test_acc = 0.6581
After round 136, test_loss = 1.334, test_acc = 0.6612
After round 137, test_loss = 1.3353, test_acc = 0.6599
After round 138, test_loss = 1.3354, test_acc = 0.6647
After round 139, test_loss = 1.3309, test_acc = 0.6593
After round 140, test_loss = 1.3258, test_acc = 0.6635
After round 141, test_loss = 1.3266, test_acc = 0.6612
After round 142, test_loss = 1.3271, test_acc = 0.6623
After round 143, test_loss = 1.3037, test_acc = 0.6654
After round 144, test_loss = 1.3179, test_acc = 0.6752
After round 145, test_loss = 1.2987, test_acc = 0.6728
After round 146, test_loss = 1.3066, test_acc = 0.6663
After round 147, test_loss = 1.2829, test_acc = 0.6676
After round 148, test_loss = 1.2946, test_acc = 0.6696
After round 149, test_loss = 1.2878, test_acc = 0.6632
After round 150, test_loss = 1.2906, test_acc = 0.6571
After round 151, test_loss = 1.2709, test_acc = 0.661
After round 152, test_loss = 1.2594, test_acc = 0.6568
After round 153, test_loss = 1.2587, test_acc = 0.6516
After round 154, test_loss = 1.2687, test_acc = 0.6501
After round 155, test_loss = 1.2631, test_acc = 0.6441
After round 156, test_loss = 1.2555, test_acc = 0.6433
After round 157, test_loss = 1.2587, test_acc = 0.6398
After round 158, test_loss = 1.2573, test_acc = 0.6392
After round 159, test_loss = 1.2548, test_acc = 0.6465
After round 160, test_loss = 1.2391, test_acc = 0.6415
After round 161, test_loss = 1.2205, test_acc = 0.6413
After round 162, test_loss = 1.2339, test_acc = 0.6476
After round 163, test_loss = 1.2253, test_acc = 0.6413
After round 164, test_loss = 1.2, test_acc = 0.6368
After round 165, test_loss = 1.1962, test_acc = 0.6414
After round 166, test_loss = 1.1959, test_acc = 0.6542
After round 167, test_loss = 1.1832, test_acc = 0.6608
After round 168, test_loss = 1.1877, test_acc = 0.6536
After round 169, test_loss = 1.1882, test_acc = 0.6573
After round 170, test_loss = 1.1912, test_acc = 0.6531
After round 171, test_loss = 1.188, test_acc = 0.6563
After round 172, test_loss = 1.1825, test_acc = 0.6585
After round 173, test_loss = 1.1619, test_acc = 0.6664
After round 174, test_loss = 1.1608, test_acc = 0.6653
After round 175, test_loss = 1.1718, test_acc = 0.6653
After round 176, test_loss = 1.1743, test_acc = 0.6704
After round 177, test_loss = 1.1756, test_acc = 0.673
After round 178, test_loss = 1.1723, test_acc = 0.6794
After round 179, test_loss = 1.1773, test_acc = 0.6692
After round 180, test_loss = 1.1782, test_acc = 0.6691
After round 181, test_loss = 1.1781, test_acc = 0.6742
After round 182, test_loss = 1.1596, test_acc = 0.6785
After round 183, test_loss = 1.152, test_acc = 0.6775
After round 184, test_loss = 1.1517, test_acc = 0.6828
After round 185, test_loss = 1.1578, test_acc = 0.6762
After round 186, test_loss = 1.1593, test_acc = 0.6763
After round 187, test_loss = 1.1617, test_acc = 0.6757
After round 188, test_loss = 1.1629, test_acc = 0.6774
After round 189, test_loss = 1.164, test_acc = 0.6763
After round 190, test_loss = 1.1656, test_acc = 0.6764
After round 191, test_loss = 1.1483, test_acc = 0.6795
After round 192, test_loss = 1.138, test_acc = 0.679
After round 193, test_loss = 1.1468, test_acc = 0.6758
After round 194, test_loss = 1.1504, test_acc = 0.6707
After round 195, test_loss = 1.1512, test_acc = 0.6733
After round 196, test_loss = 1.1461, test_acc = 0.6673
After round 197, test_loss = 1.1317, test_acc = 0.6713
After round 198, test_loss = 1.1438, test_acc = 0.6709
After round 199, test_loss = 1.1213, test_acc = 0.6737
After round 200, test_loss = 1.1381, test_acc = 0.6773
After round 201, test_loss = 1.1183, test_acc = 0.678
After round 202, test_loss = 1.134, test_acc = 0.6869
After round 203, test_loss = 1.1324, test_acc = 0.6807
After round 204, test_loss = 1.136, test_acc = 0.6773
After round 205, test_loss = 1.1104, test_acc = 0.6778
