After round 119, test_loss = 0.4588, test_acc = 0.8661
After round 120, test_loss = 0.4058, test_acc = 0.8908
After round 121, test_loss = 0.4139, test_acc = 0.8901
After round 122, test_loss = 0.4147, test_acc = 0.8867
After round 123, test_loss = 0.441, test_acc = 0.8707
After round 124, test_loss = 0.4139, test_acc = 0.8881
After round 125, test_loss = 0.4533, test_acc = 0.8656
After round 126, test_loss = 0.4235, test_acc = 0.8795
After round 127, test_loss = 0.4349, test_acc = 0.8691
After round 128, test_loss = 0.4656, test_acc = 0.8541
After round 129, test_loss = 0.4776, test_acc = 0.8485
After round 130, test_loss = 0.5014, test_acc = 0.8387
After round 131, test_loss = 0.512, test_acc = 0.8303
After round 132, test_loss = 0.5425, test_acc = 0.8157
After round 133, test_loss = 0.5767, test_acc = 0.8006
After round 134, test_loss = 0.5417, test_acc = 0.8236
After round 135, test_loss = 0.5665, test_acc = 0.8239
After round 136, test_loss = 0.6091, test_acc = 0.8174
After round 137, test_loss = 0.5026, test_acc = 0.8312
After round 138, test_loss = 0.4812, test_acc = 0.8509
After round 139, test_loss = 0.4887, test_acc = 0.8512
After round 140, test_loss = 0.4927, test_acc = 0.8518
After round 141, test_loss = 0.5098, test_acc = 0.8464
After round 142, test_loss = 0.534, test_acc = 0.8364
After round 143, test_loss = 0.4896, test_acc = 0.8383
After round 144, test_loss = 0.4495, test_acc = 0.8587
After round 145, test_loss = 0.4, test_acc = 0.889
After round 146, test_loss = 0.4308, test_acc = 0.8691
After round 147, test_loss = 0.4603, test_acc = 0.8544
After round 148, test_loss = 0.4541, test_acc = 0.8539
After round 149, test_loss = 0.402, test_acc = 0.8886
After round 150, test_loss = 0.4053, test_acc = 0.8809
After round 151, test_loss = 0.3945, test_acc = 0.8926
After round 152, test_loss = 0.4106, test_acc = 0.8886
After round 153, test_loss = 0.4278, test_acc = 0.8776
After round 154, test_loss = 0.4245, test_acc = 0.8793
After round 155, test_loss = 0.4124, test_acc = 0.885
After round 156, test_loss = 0.414, test_acc = 0.8869
After round 157, test_loss = 0.446, test_acc = 0.8646
After round 158, test_loss = 0.3921, test_acc = 0.8906
After round 159, test_loss = 0.4012, test_acc = 0.8854
After round 160, test_loss = 0.4065, test_acc = 0.8852
After round 161, test_loss = 0.412, test_acc = 0.8831
After round 162, test_loss = 0.4479, test_acc = 0.8617
After round 163, test_loss = 0.3801, test_acc = 0.9
After round 164, test_loss = 0.3846, test_acc = 0.8979
After round 165, test_loss = 0.4218, test_acc = 0.8797
After round 166, test_loss = 0.4265, test_acc = 0.8756
After round 167, test_loss = 0.4184, test_acc = 0.8743
