Starting: 17:51:37:930677
round_1_start: 17:51:37:930739
round_1_received_params: 17:51:39:255645
received_params: 17:51:39:293829
received_params: 17:51:39:322268
round_1_aggregation: 17:51:39:322287
round_1_end: 17:51:39:744435
round_2_start: 17:51:39:744474
round_2_received_params: 17:51:40:639500
received_params: 17:51:40:649656
received_params: 17:51:40:686071
round_2_aggregation: 17:51:40:686099
round_2_end: 17:51:40:688605
round_3_start: 17:51:40:688636
round_3_received_params: 17:51:41:500382
received_params: 17:51:41:571110
round_3_aggregation: 17:51:41:571128
round_3_end: 17:51:41:572826
round_4_start: 17:51:41:572856
round_4_received_params: 17:51:42:649047
received_params: 17:51:42:668813
received_params: 17:51:42:729541
round_4_aggregation: 17:51:42:729568
round_4_end: 17:51:42:731385
round_5_start: 17:51:42:731411
round_5_received_params: 17:51:43:642268
received_params: 17:51:43:658960
received_params: 17:51:43:732563
round_5_aggregation: 17:51:43:732587
round_5_end: 17:51:43:735026
round_6_start: 17:51:43:735056
round_6_received_params: 17:51:44:697296
received_params: 17:51:44:770427
received_params: 17:51:44:859311
round_6_aggregation: 17:51:44:859338
round_6_end: 17:51:45:153540
round_7_start: 17:51:45:153592
round_7_received_params: 17:51:45:827530
received_params: 17:51:45:876262
received_params: 17:51:45:911684
round_7_aggregation: 17:51:45:911715
round_7_end: 17:51:46:107225
round_8_start: 17:51:46:107265
round_8_received_params: 17:51:47:065347
received_params: 17:51:47:089974
round_8_aggregation: 17:51:47:089994
round_8_end: 17:51:47:472361
round_9_start: 17:51:47:472400
round_9_received_params: 17:51:48:275243
received_params: 17:51:48:281577
round_9_aggregation: 17:51:48:281597
round_9_end: 17:51:48:768507
round_10_start: 17:51:48:768551
round_10_received_params: 17:51:49:626703
received_params: 17:51:49:632135
round_10_aggregation: 17:51:49:632150
round_10_end: 17:51:49:994075
end: 17:51:49:994110
