After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.317, test_acc = 0.1099
After round 2, test_loss = 2.2946, test_acc = 0.1386
After round 3, test_loss = 2.2722, test_acc = 0.1709
After round 4, test_loss = 2.25, test_acc = 0.2116
After round 5, test_loss = 2.2288, test_acc = 0.252
After round 6, test_loss = 2.2082, test_acc = 0.2853
After round 7, test_loss = 2.187, test_acc = 0.3239
After round 8, test_loss = 2.1668, test_acc = 0.3505
After round 9, test_loss = 2.1471, test_acc = 0.3884
After round 10, test_loss = 2.127, test_acc = 0.4263
After round 11, test_loss = 2.1079, test_acc = 0.4581
After round 12, test_loss = 2.0889, test_acc = 0.4777
After round 13, test_loss = 2.0706, test_acc = 0.5036
After round 14, test_loss = 2.0525, test_acc = 0.5293
After round 15, test_loss = 2.034, test_acc = 0.5612
After round 16, test_loss = 2.0164, test_acc = 0.5813
After round 17, test_loss = 1.9991, test_acc = 0.5979
After round 18, test_loss = 1.982, test_acc = 0.6105
After round 19, test_loss = 1.965, test_acc = 0.6256
After round 20, test_loss = 1.948, test_acc = 0.6403
After round 21, test_loss = 1.9314, test_acc = 0.6503
After round 22, test_loss = 1.915, test_acc = 0.6571
After round 23, test_loss = 1.8992, test_acc = 0.6636
After round 24, test_loss = 1.8837, test_acc = 0.6731
After round 25, test_loss = 1.8685, test_acc = 0.6808
After round 26, test_loss = 1.8535, test_acc = 0.6886
After round 27, test_loss = 1.8388, test_acc = 0.6966
After round 28, test_loss = 1.8243, test_acc = 0.702
After round 29, test_loss = 1.8097, test_acc = 0.705
After round 30, test_loss = 1.7951, test_acc = 0.7075
After round 31, test_loss = 1.7814, test_acc = 0.7136
After round 32, test_loss = 1.7677, test_acc = 0.7168
After round 33, test_loss = 1.7538, test_acc = 0.7213
After round 34, test_loss = 1.7405, test_acc = 0.7242
After round 35, test_loss = 1.7273, test_acc = 0.7253
After round 36, test_loss = 1.7148, test_acc = 0.7263
After round 37, test_loss = 1.7024, test_acc = 0.7319
After round 38, test_loss = 1.6896, test_acc = 0.7336
After round 39, test_loss = 1.6769, test_acc = 0.7383
After round 40, test_loss = 1.6644, test_acc = 0.7416
After round 41, test_loss = 1.6523, test_acc = 0.7421
After round 42, test_loss = 1.6405, test_acc = 0.7437
After round 43, test_loss = 1.6289, test_acc = 0.745
After round 44, test_loss = 1.6175, test_acc = 0.7457
After round 45, test_loss = 1.6059, test_acc = 0.7483
After round 46, test_loss = 1.5948, test_acc = 0.7524
After round 47, test_loss = 1.5837, test_acc = 0.7563
After round 48, test_loss = 1.5728, test_acc = 0.7588
After round 49, test_loss = 1.5624, test_acc = 0.759
After round 50, test_loss = 1.5518, test_acc = 0.7605
