After round 119, test_loss = 2.1272, test_acc = 0.5415
After round 120, test_loss = 2.1271, test_acc = 0.5412
After round 121, test_loss = 2.1273, test_acc = 0.5418
After round 122, test_loss = 2.1282, test_acc = 0.5418
After round 123, test_loss = 2.128, test_acc = 0.5419
After round 124, test_loss = 2.1291, test_acc = 0.5418
After round 125, test_loss = 2.13, test_acc = 0.5418
After round 126, test_loss = 2.1309, test_acc = 0.542
After round 127, test_loss = 2.1315, test_acc = 0.5422
After round 128, test_loss = 2.1322, test_acc = 0.542
After round 129, test_loss = 2.1332, test_acc = 0.5419
After round 130, test_loss = 2.1335, test_acc = 0.5424
After round 131, test_loss = 2.1345, test_acc = 0.5428
After round 132, test_loss = 2.1352, test_acc = 0.5429
After round 133, test_loss = 2.1357, test_acc = 0.5433
After round 134, test_loss = 2.1365, test_acc = 0.5435
After round 135, test_loss = 2.1361, test_acc = 0.5433
After round 136, test_loss = 2.1362, test_acc = 0.5435
After round 137, test_loss = 2.1371, test_acc = 0.5437
After round 138, test_loss = 2.1374, test_acc = 0.5443
After round 139, test_loss = 2.1372, test_acc = 0.5444
After round 140, test_loss = 2.1388, test_acc = 0.5439
After round 141, test_loss = 2.1399, test_acc = 0.5441
After round 142, test_loss = 2.1406, test_acc = 0.5441
After round 143, test_loss = 2.1411, test_acc = 0.5446
After round 144, test_loss = 2.1415, test_acc = 0.5451
After round 145, test_loss = 2.1436, test_acc = 0.5452
After round 146, test_loss = 2.1451, test_acc = 0.5448
After round 147, test_loss = 2.146, test_acc = 0.5456
After round 148, test_loss = 2.1461, test_acc = 0.5461
After round 149, test_loss = 2.1173, test_acc = 0.5511
After round 150, test_loss = 2.1173, test_acc = 0.5514
After round 151, test_loss = 2.1188, test_acc = 0.5514
After round 152, test_loss = 2.1187, test_acc = 0.5526
After round 153, test_loss = 2.1202, test_acc = 0.5526
After round 154, test_loss = 2.1209, test_acc = 0.5538
After round 155, test_loss = 2.1218, test_acc = 0.5544
After round 156, test_loss = 2.1217, test_acc = 0.5552
After round 157, test_loss = 2.1225, test_acc = 0.5559
After round 158, test_loss = 2.123, test_acc = 0.5568
After round 159, test_loss = 2.125, test_acc = 0.5569
After round 160, test_loss = 2.1278, test_acc = 0.5567
After round 161, test_loss = 2.1295, test_acc = 0.5565
After round 162, test_loss = 2.1316, test_acc = 0.5562
After round 163, test_loss = 2.1324, test_acc = 0.5565
After round 164, test_loss = 2.1328, test_acc = 0.5572
After round 165, test_loss = 2.1076, test_acc = 0.5667
After round 166, test_loss = 2.0839, test_acc = 0.5763
After round 167, test_loss = 2.0617, test_acc = 0.5828
After round 168, test_loss = 2.0384, test_acc = 0.5899
After round 169, test_loss = 2.0181, test_acc = 0.5952
After round 170, test_loss = 1.9984, test_acc = 0.5995
After round 171, test_loss = 1.9795, test_acc = 0.603
After round 172, test_loss = 1.9601, test_acc = 0.6057
After round 173, test_loss = 1.9436, test_acc = 0.6085
After round 174, test_loss = 1.9294, test_acc = 0.612
After round 175, test_loss = 1.9149, test_acc = 0.6147
After round 176, test_loss = 1.9009, test_acc = 0.6166
After round 177, test_loss = 1.8848, test_acc = 0.6173
After round 178, test_loss = 1.8712, test_acc = 0.6182
After round 179, test_loss = 1.8601, test_acc = 0.6194
After round 180, test_loss = 1.8118, test_acc = 0.6227
After round 181, test_loss = 1.8018, test_acc = 0.6229
After round 182, test_loss = 1.7925, test_acc = 0.6229
After round 183, test_loss = 1.7849, test_acc = 0.6235
After round 184, test_loss = 1.7758, test_acc = 0.6228
After round 185, test_loss = 1.7686, test_acc = 0.6228
After round 186, test_loss = 1.7605, test_acc = 0.6242
After round 187, test_loss = 1.7541, test_acc = 0.6243
After round 188, test_loss = 1.7474, test_acc = 0.6243
After round 189, test_loss = 1.7429, test_acc = 0.6251
After round 190, test_loss = 1.7377, test_acc = 0.6248
After round 191, test_loss = 1.7323, test_acc = 0.6244
After round 192, test_loss = 1.728, test_acc = 0.6242
After round 193, test_loss = 1.7243, test_acc = 0.6241
After round 194, test_loss = 1.7187, test_acc = 0.6246
After round 195, test_loss = 1.7149, test_acc = 0.6246
After round 196, test_loss = 1.7129, test_acc = 0.6244
After round 197, test_loss = 1.7109, test_acc = 0.6253
After round 198, test_loss = 1.7091, test_acc = 0.6261
After round 199, test_loss = 1.7069, test_acc = 0.6269
After round 200, test_loss = 1.7061, test_acc = 0.6286
After round 201, test_loss = 1.7045, test_acc = 0.6296
After round 202, test_loss = 1.7025, test_acc = 0.6325
After round 203, test_loss = 1.7017, test_acc = 0.634
After round 204, test_loss = 1.7012, test_acc = 0.6355
After round 205, test_loss = 1.7001, test_acc = 0.6392
After round 206, test_loss = 1.6983, test_acc = 0.6431
After round 207, test_loss = 1.6973, test_acc = 0.6466
After round 208, test_loss = 1.6963, test_acc = 0.6499
After round 209, test_loss = 1.6959, test_acc = 0.6523
After round 210, test_loss = 1.6968, test_acc = 0.6549
After round 211, test_loss = 1.6964, test_acc = 0.658
After round 212, test_loss = 1.696, test_acc = 0.6603
After round 213, test_loss = 1.6949, test_acc = 0.6646
After round 214, test_loss = 1.6954, test_acc = 0.6666
After round 215, test_loss = 1.6966, test_acc = 0.6673
After round 216, test_loss = 1.6969, test_acc = 0.6692
After round 217, test_loss = 1.6971, test_acc = 0.671
After round 218, test_loss = 1.698, test_acc = 0.6716
After round 219, test_loss = 1.6989, test_acc = 0.672
After round 220, test_loss = 1.6994, test_acc = 0.6725
After round 221, test_loss = 1.7004, test_acc = 0.6716
After round 222, test_loss = 1.7008, test_acc = 0.6726
After round 223, test_loss = 1.7019, test_acc = 0.6741
After round 224, test_loss = 1.7037, test_acc = 0.6732
After round 225, test_loss = 1.705, test_acc = 0.6722
After round 226, test_loss = 1.7064, test_acc = 0.6716
After round 227, test_loss = 1.708, test_acc = 0.6714
After round 228, test_loss = 1.7094, test_acc = 0.6706
After round 229, test_loss = 1.7108, test_acc = 0.6697
After round 230, test_loss = 1.712, test_acc = 0.6695
After round 231, test_loss = 1.7128, test_acc = 0.6695
After round 232, test_loss = 1.6861, test_acc = 0.67
After round 233, test_loss = 1.6871, test_acc = 0.6703
After round 234, test_loss = 1.6883, test_acc = 0.6701
After round 235, test_loss = 1.6895, test_acc = 0.6707
After round 236, test_loss = 1.6901, test_acc = 0.6731
After round 237, test_loss = 1.692, test_acc = 0.6704
After round 238, test_loss = 1.6936, test_acc = 0.6694
After round 239, test_loss = 1.6948, test_acc = 0.6687
After round 240, test_loss = 1.6963, test_acc = 0.6682
After round 241, test_loss = 1.6974, test_acc = 0.6681
After round 242, test_loss = 1.6984, test_acc = 0.6677
After round 243, test_loss = 1.6997, test_acc = 0.667
After round 244, test_loss = 1.7007, test_acc = 0.6673
After round 245, test_loss = 1.7019, test_acc = 0.6671
After round 246, test_loss = 1.7031, test_acc = 0.6676
After round 247, test_loss = 1.7047, test_acc = 0.667
After round 248, test_loss = 1.7064, test_acc = 0.6665
After round 249, test_loss = 1.7077, test_acc = 0.6653
After round 250, test_loss = 1.7087, test_acc = 0.6646
After round 251, test_loss = 1.7099, test_acc = 0.6644
After round 252, test_loss = 1.7107, test_acc = 0.6645
After round 253, test_loss = 1.7119, test_acc = 0.6637
After round 254, test_loss = 1.7133, test_acc = 0.6631
After round 255, test_loss = 1.7147, test_acc = 0.6626
After round 256, test_loss = 1.7163, test_acc = 0.6617
After round 257, test_loss = 1.7178, test_acc = 0.6613
After round 258, test_loss = 1.7191, test_acc = 0.6609
After round 259, test_loss = 1.7204, test_acc = 0.6601
After round 260, test_loss = 1.7215, test_acc = 0.66
