Starting: 11:16:25:040048
round_1_start: 11:16:25:040075
round_1_received_params: 11:16:50:695838
round_1_aggregation: 11:16:51:062512
round_1_end: 11:16:51:185040
round_2_start: 11:16:51:185089
round_2_received_params: 11:16:51:629378
round_2_aggregation: 11:16:51:825211
round_2_end: 11:16:51:846952
round_3_start: 11:16:51:847021
round_3_received_params: 11:16:52:450492
round_3_aggregation: 11:16:52:728299
round_3_end: 11:16:52:744297
round_4_start: 11:16:52:744336
round_4_received_params: 11:16:53:268972
round_4_aggregation: 11:16:53:456113
round_4_end: 11:16:53:466692
round_5_start: 11:16:53:466726
round_5_received_params: 11:16:53:994737
round_5_aggregation: 11:16:54:010959
round_5_end: 11:16:54:020770
round_6_start: 11:16:54:020830
round_6_received_params: 11:16:54:522210
round_6_aggregation: 11:16:54:556315
round_6_end: 11:16:54:567650
round_7_start: 11:16:54:567698
round_7_received_params: 11:16:55:111787
round_7_aggregation: 11:16:55:181686
round_7_end: 11:16:55:201394
round_8_start: 11:16:55:201478
round_8_received_params: 11:16:55:704842
round_8_aggregation: 11:16:55:720606
round_8_end: 11:16:55:731404
round_9_start: 11:16:55:731450
round_9_received_params: 11:16:56:263519
round_9_aggregation: 11:16:56:278551
round_9_end: 11:16:56:287949
round_10_start: 11:16:56:287996
round_10_received_params: 11:16:56:765926
round_10_aggregation: 11:16:56:783354
round_10_end: 11:16:56:793297
round_11_start: 11:16:56:793328
round_11_received_params: 11:16:57:317683
round_11_aggregation: 11:16:57:332359
round_11_end: 11:16:57:348532
round_12_start: 11:16:57:348571
round_12_received_params: 11:16:57:835033
round_12_aggregation: 11:16:57:852128
round_12_end: 11:16:57:862624
round_13_start: 11:16:57:862657
round_13_received_params: 11:16:58:366377
round_13_aggregation: 11:16:58:385588
round_13_end: 11:16:58:394723
round_14_start: 11:16:58:394770
round_14_received_params: 11:16:58:901095
round_14_aggregation: 11:16:58:915735
round_14_end: 11:16:58:926796
round_15_start: 11:16:58:926830
round_15_received_params: 11:16:59:420342
round_15_aggregation: 11:16:59:434799
round_15_end: 11:16:59:445795
round_16_start: 11:16:59:445842
round_16_received_params: 11:16:59:962344
round_16_aggregation: 11:16:59:976005
round_16_end: 11:16:59:985493
round_17_start: 11:16:59:985530
round_17_received_params: 11:17:00:492175
round_17_aggregation: 11:17:00:506849
round_17_end: 11:17:00:516884
round_18_start: 11:17:00:516917
round_18_received_params: 11:17:01:010771
round_18_aggregation: 11:17:01:026542
round_18_end: 11:17:01:036035
round_19_start: 11:17:01:036080
round_19_received_params: 11:17:01:545218
round_19_aggregation: 11:17:01:559901
round_19_end: 11:17:01:569601
round_20_start: 11:17:01:569631
round_20_received_params: 11:17:02:075321
round_20_aggregation: 11:17:02:092650
round_20_end: 11:17:02:102420
round_21_start: 11:17:02:102455
round_21_received_params: 11:17:02:606117
round_21_aggregation: 11:17:02:620596
round_21_end: 11:17:02:630459
round_22_start: 11:17:02:630506
round_22_received_params: 11:17:03:140558
round_22_aggregation: 11:17:03:154816
round_22_end: 11:17:03:166274
round_23_start: 11:17:03:166325
round_23_received_params: 11:17:03:660951
round_23_aggregation: 11:17:03:676432
round_23_end: 11:17:03:687288
round_24_start: 11:17:03:687319
round_24_received_params: 11:17:04:202010
round_24_aggregation: 11:17:04:216506
round_24_end: 11:17:04:226549
round_25_start: 11:17:04:226594
round_25_received_params: 11:17:04:721323
round_25_aggregation: 11:17:04:735854
round_25_end: 11:17:04:745696
round_26_start: 11:17:04:745730
round_26_received_params: 11:17:05:253680
round_26_aggregation: 11:17:05:267578
round_26_end: 11:17:05:278223
round_27_start: 11:17:05:278271
round_27_received_params: 11:17:05:802792
round_27_aggregation: 11:17:05:823667
round_27_end: 11:17:05:839800
round_28_start: 11:17:05:839846
round_28_received_params: 11:17:06:342409
round_28_aggregation: 11:17:06:360369
round_28_end: 11:17:06:371568
round_29_start: 11:17:06:371601
round_29_received_params: 11:17:06:861417
round_29_aggregation: 11:17:06:910423
round_29_end: 11:17:06:919935
round_30_start: 11:17:06:919984
round_30_received_params: 11:17:07:421317
round_30_aggregation: 11:17:07:436070
round_30_end: 11:17:07:446880
round_31_start: 11:17:07:446916
round_31_received_params: 11:17:07:944017
round_31_aggregation: 11:17:07:959032
round_31_end: 11:17:07:969736
round_32_start: 11:17:07:969779
round_32_received_params: 11:17:08:473503
round_32_aggregation: 11:17:08:489587
round_32_end: 11:17:08:500092
round_33_start: 11:17:08:500138
round_33_received_params: 11:17:09:000684
round_33_aggregation: 11:17:09:015866
round_33_end: 11:17:09:025659
round_34_start: 11:17:09:025708
round_34_received_params: 11:17:09:528986
round_34_aggregation: 11:17:09:546440
round_34_end: 11:17:09:555552
round_35_start: 11:17:09:555583
round_35_received_params: 11:17:10:051048
round_35_aggregation: 11:17:10:074989
round_35_end: 11:17:10:084969
round_36_start: 11:17:10:085004
round_36_received_params: 11:17:10:588852
round_36_aggregation: 11:17:10:624769
round_36_end: 11:17:10:634899
round_37_start: 11:17:10:634946
round_37_received_params: 11:17:11:133487
round_37_aggregation: 11:17:11:154541
round_37_end: 11:17:11:165650
round_38_start: 11:17:11:165694
round_38_received_params: 11:17:11:674764
round_38_aggregation: 11:17:11:688397
round_38_end: 11:17:11:703024
round_39_start: 11:17:11:703063
round_39_received_params: 11:17:12:190920
round_39_aggregation: 11:17:12:206202
round_39_end: 11:17:12:217112
round_40_start: 11:17:12:217157
round_40_received_params: 11:17:12:714558
round_40_aggregation: 11:17:12:730457
round_40_end: 11:17:12:740900
round_41_start: 11:17:12:740944
round_41_received_params: 11:17:13:239378
round_41_aggregation: 11:17:13:255199
round_41_end: 11:17:13:265637
round_42_start: 11:17:13:265683
round_42_received_params: 11:17:13:771359
round_42_aggregation: 11:17:13:786768
round_42_end: 11:17:13:797135
round_43_start: 11:17:13:797181
round_43_received_params: 11:17:14:294441
round_43_aggregation: 11:17:14:309927
round_43_end: 11:17:14:320388
round_44_start: 11:17:14:320434
round_44_received_params: 11:17:14:824803
round_44_aggregation: 11:17:14:839066
round_44_end: 11:17:14:848669
round_45_start: 11:17:14:848715
round_45_received_params: 11:17:15:348184
round_45_aggregation: 11:17:15:362403
round_45_end: 11:17:15:373124
round_46_start: 11:17:15:373154
round_46_received_params: 11:17:15:878762
round_46_aggregation: 11:17:15:892979
round_46_end: 11:17:15:904128
round_47_start: 11:17:15:904161
round_47_received_params: 11:17:16:406494
round_47_aggregation: 11:17:16:421559
round_47_end: 11:17:16:432493
round_48_start: 11:17:16:432541
round_48_received_params: 11:17:16:935081
round_48_aggregation: 11:17:16:950165
round_48_end: 11:17:16:959594
round_49_start: 11:17:16:959641
round_49_received_params: 11:17:17:464605
round_49_aggregation: 11:17:17:495505
round_49_end: 11:17:17:504702
round_50_start: 11:17:17:504733
round_50_received_params: 11:17:18:014567
round_50_aggregation: 11:17:18:029655
round_50_end: 11:17:18:040079
round_51_start: 11:17:18:040110
round_51_received_params: 11:17:18:530067
round_51_aggregation: 11:17:18:545792
round_51_end: 11:17:18:556309
round_52_start: 11:17:18:556338
round_52_received_params: 11:17:19:069199
round_52_aggregation: 11:17:19:093451
round_52_end: 11:17:19:108224
round_53_start: 11:17:19:108292
round_53_received_params: 11:17:19:586306
round_53_aggregation: 11:17:19:601132
round_53_end: 11:17:19:611789
round_54_start: 11:17:19:611835
round_54_received_params: 11:17:20:107293
round_54_aggregation: 11:17:20:121955
round_54_end: 11:17:20:132545
round_55_start: 11:17:20:132586
round_55_received_params: 11:17:20:647646
round_55_aggregation: 11:17:20:661776
round_55_end: 11:17:20:673609
round_56_start: 11:17:20:673650
round_56_received_params: 11:17:21:172297
round_56_aggregation: 11:17:21:186307
round_56_end: 11:17:21:197019
round_57_start: 11:17:21:197057
round_57_received_params: 11:17:21:692204
round_57_aggregation: 11:17:21:707300
round_57_end: 11:17:21:716585
round_58_start: 11:17:21:716614
round_58_received_params: 11:17:22:218908
round_58_aggregation: 11:17:22:233654
round_58_end: 11:17:22:244532
round_59_start: 11:17:22:244576
round_59_received_params: 11:17:22:746774
round_59_aggregation: 11:17:22:761079
round_59_end: 11:17:22:771554
round_60_start: 11:17:22:771592
round_60_received_params: 11:17:23:264593
round_60_aggregation: 11:17:23:278914
round_60_end: 11:17:23:288370
round_61_start: 11:17:23:288448
round_61_received_params: 11:17:23:789725
round_61_aggregation: 11:17:23:804145
round_61_end: 11:17:23:813343
round_62_start: 11:17:23:813386
round_62_received_params: 11:17:24:311147
round_62_aggregation: 11:17:24:332382
round_62_end: 11:17:24:342959
round_63_start: 11:17:24:342990
round_63_received_params: 11:17:24:846171
round_63_aggregation: 11:17:24:860094
round_63_end: 11:17:24:870802
round_64_start: 11:17:24:870848
round_64_received_params: 11:17:25:376379
round_64_aggregation: 11:17:25:389903
round_64_end: 11:17:25:400014
round_65_start: 11:17:25:400046
round_65_received_params: 11:17:25:900126
round_65_aggregation: 11:17:25:914942
round_65_end: 11:17:25:924346
round_66_start: 11:17:25:924376
round_66_received_params: 11:17:26:420377
round_66_aggregation: 11:17:26:437006
round_66_end: 11:17:26:447542
round_67_start: 11:17:26:447578
round_67_received_params: 11:17:26:963473
round_67_aggregation: 11:17:26:978421
round_67_end: 11:17:26:988921
round_68_start: 11:17:26:988961
round_68_received_params: 11:17:27:485752
round_68_aggregation: 11:17:27:499944
round_68_end: 11:17:27:509235
round_69_start: 11:17:27:509266
round_69_received_params: 11:17:28:011877
round_69_aggregation: 11:17:28:025987
round_69_end: 11:17:28:035067
round_70_start: 11:17:28:035095
round_70_received_params: 11:17:28:534953
