Starting: 15:44:57:953116
round_1_start: 15:44:57:953157
round_1_received_params: 15:44:58:625177
round_1_aggregation: 15:44:58:625198
round_1_end: 15:44:58:627455
round_2_start: 15:44:58:627487
round_2_received_params: 15:44:59:175559
round_2_aggregation: 15:44:59:175580
round_2_end: 15:44:59:177474
round_3_start: 15:44:59:177506
round_3_received_params: 15:44:59:717015
received_params: 15:44:59:723148
round_3_aggregation: 15:44:59:723166
round_3_end: 15:44:59:724994
round_4_start: 15:44:59:725024
round_4_received_params: 15:45:00:263684
received_params: 15:45:00:269820
round_4_aggregation: 15:45:00:269837
round_4_end: 15:45:00:271588
round_5_start: 15:45:00:271616
round_5_received_params: 15:45:00:810273
received_params: 15:45:00:821742
round_5_aggregation: 15:45:00:821761
round_5_end: 15:45:00:823565
round_6_start: 15:45:00:823595
round_6_received_params: 15:45:01:362818
received_params: 15:45:01:386011
round_6_aggregation: 15:45:01:386030
round_6_end: 15:45:01:387890
round_7_start: 15:45:01:387921
round_7_received_params: 15:45:01:928030
received_params: 15:45:01:949716
round_7_aggregation: 15:45:01:949736
round_7_end: 15:45:01:951545
round_8_start: 15:45:01:951576
round_8_received_params: 15:45:02:491689
received_params: 15:45:02:514129
round_8_aggregation: 15:45:02:514148
round_8_end: 15:45:02:515918
round_9_start: 15:45:02:515947
round_9_received_params: 15:45:03:055696
received_params: 15:45:03:083860
round_9_aggregation: 15:45:03:083879
round_9_end: 15:45:03:085688
round_10_start: 15:45:03:085718
round_10_received_params: 15:45:03:619622
received_params: 15:45:03:625758
received_params: 15:45:03:651166
round_10_aggregation: 15:45:03:651184
round_10_end: 15:45:03:652986
round_11_start: 15:45:03:653014
round_11_received_params: 15:45:04:193159
received_params: 15:45:04:218473
round_11_aggregation: 15:45:04:218491
round_11_end: 15:45:04:220272
round_12_start: 15:45:04:220301
round_12_received_params: 15:45:04:760516
received_params: 15:45:04:784199
round_12_aggregation: 15:45:04:784217
round_12_end: 15:45:04:786047
round_13_start: 15:45:04:786077
round_13_received_params: 15:45:05:327088
received_params: 15:45:05:352061
round_13_aggregation: 15:45:05:352079
round_13_end: 15:45:05:353899
round_14_start: 15:45:05:353928
round_14_received_params: 15:45:05:888500
received_params: 15:45:05:894668
received_params: 15:45:05:922206
round_14_aggregation: 15:45:05:922225
round_14_end: 15:45:05:924108
round_15_start: 15:45:05:924140
round_15_received_params: 15:45:06:465504
received_params: 15:45:06:487159
round_15_aggregation: 15:45:06:487178
round_15_end: 15:45:06:489015
round_16_start: 15:45:06:489045
round_16_received_params: 15:45:07:029823
received_params: 15:45:07:055311
round_16_aggregation: 15:45:07:055328
round_16_end: 15:45:07:057104
round_17_start: 15:45:07:057133
round_17_received_params: 15:45:07:590253
received_params: 15:45:07:596364
received_params: 15:45:07:622723
round_17_aggregation: 15:45:07:622740
round_17_end: 15:45:07:624556
round_18_start: 15:45:07:624585
round_18_received_params: 15:45:08:166159
received_params: 15:45:08:188764
round_18_aggregation: 15:45:08:188785
round_18_end: 15:45:08:190677
round_19_start: 15:45:08:190707
round_19_received_params: 15:45:08:731931
received_params: 15:45:08:754223
round_19_aggregation: 15:45:08:754242
round_19_end: 15:45:08:756045
round_20_start: 15:45:08:756073
round_20_received_params: 15:45:09:295869
received_params: 15:45:09:322171
round_20_aggregation: 15:45:09:322190
round_20_end: 15:45:09:323950
round_21_start: 15:45:09:323977
round_21_received_params: 15:45:09:864999
received_params: 15:45:09:886738
round_21_aggregation: 15:45:09:886757
round_21_end: 15:45:09:888605
round_22_start: 15:45:09:888635
round_22_received_params: 15:45:10:429069
received_params: 15:45:10:449451
round_22_aggregation: 15:45:10:449469
round_22_end: 15:45:10:451238
round_23_start: 15:45:10:451267
round_23_received_params: 15:45:10:991511
received_params: 15:45:11:021107
round_23_aggregation: 15:45:11:021125
round_23_end: 15:45:11:022918
round_24_start: 15:45:11:022948
round_24_received_params: 15:45:11:557181
received_params: 15:45:11:563345
received_params: 15:45:11:585692
round_24_aggregation: 15:45:11:585712
round_24_end: 15:45:11:587524
round_25_start: 15:45:11:587554
round_25_received_params: 15:45:12:122661
received_params: 15:45:12:128794
received_params: 15:45:12:148155
round_25_aggregation: 15:45:12:148172
round_25_end: 15:45:12:150006
round_26_start: 15:45:12:150034
round_26_received_params: 15:45:12:684647
received_params: 15:45:12:690780
received_params: 15:45:12:708658
round_26_aggregation: 15:45:12:708677
round_26_end: 15:45:12:710487
round_27_start: 15:45:12:710516
round_27_received_params: 15:45:13:251572
received_params: 15:45:13:269747
round_27_aggregation: 15:45:13:269766
round_27_end: 15:45:13:271564
round_28_start: 15:45:13:271592
round_28_received_params: 15:45:13:811858
received_params: 15:45:13:835335
round_28_aggregation: 15:45:13:835354
round_28_end: 15:45:13:837156
round_29_start: 15:45:13:837185
round_29_received_params: 15:45:14:378660
received_params: 15:45:14:399038
round_29_aggregation: 15:45:14:399055
round_29_end: 15:45:14:400854
round_30_start: 15:45:14:400881
round_30_received_params: 15:45:14:941084
received_params: 15:45:14:965238
round_30_aggregation: 15:45:14:965256
round_30_end: 15:45:14:967063
round_31_start: 15:45:14:967091
round_31_received_params: 15:45:15:507943
received_params: 15:45:15:527602
round_31_aggregation: 15:45:15:527621
round_31_end: 15:45:15:529475
round_32_start: 15:45:15:529503
round_32_received_params: 15:45:16:070700
received_params: 15:45:16:095413
round_32_aggregation: 15:45:16:095431
round_32_end: 15:45:16:097232
round_33_start: 15:45:16:097260
round_33_received_params: 15:45:16:636928
received_params: 15:45:16:656982
round_33_aggregation: 15:45:16:657000
round_33_end: 15:45:16:658835
round_34_start: 15:45:16:658865
round_34_received_params: 15:45:17:199391
received_params: 15:45:17:216096
round_34_aggregation: 15:45:17:216114
round_34_end: 15:45:17:217932
round_35_start: 15:45:17:217961
round_35_received_params: 15:45:17:758243
received_params: 15:45:17:774324
round_35_aggregation: 15:45:17:774342
round_35_end: 15:45:17:776120
round_36_start: 15:45:17:776149
round_36_received_params: 15:45:18:317396
received_params: 15:45:18:338084
round_36_aggregation: 15:45:18:338103
round_36_end: 15:45:18:339883
round_37_start: 15:45:18:339911
round_37_received_params: 15:45:18:879834
received_params: 15:45:18:905890
round_37_aggregation: 15:45:18:905909
