Starting: 15:44:57:953783
round_1_start: 15:44:57:953822
round_1_received_params: 15:44:58:593954
received_params: 15:44:58:606031
round_1_aggregation: 15:44:58:606048
round_1_end: 15:44:58:608143
round_2_start: 15:44:58:608170
round_2_received_params: 15:44:59:132211
received_params: 15:44:59:144461
round_2_aggregation: 15:44:59:144477
round_2_end: 15:44:59:146206
round_3_start: 15:44:59:146232
round_3_received_params: 15:44:59:663589
received_params: 15:44:59:669614
received_params: 15:44:59:713274
round_3_aggregation: 15:44:59:713290
round_3_end: 15:44:59:715012
round_4_start: 15:44:59:715038
round_4_received_params: 15:45:00:226438
received_params: 15:45:00:238415
received_params: 15:45:00:280065
round_4_aggregation: 15:45:00:280083
round_4_end: 15:45:00:281824
round_5_start: 15:45:00:281850
round_5_received_params: 15:45:00:792262
received_params: 15:45:00:804252
received_params: 15:45:00:850050
round_5_aggregation: 15:45:00:850067
round_5_end: 15:45:00:851806
round_6_start: 15:45:00:851833
round_6_received_params: 15:45:01:362863
received_params: 15:45:01:374818
received_params: 15:45:01:413866
round_6_aggregation: 15:45:01:413882
round_6_end: 15:45:01:415647
round_7_start: 15:45:01:415674
round_7_received_params: 15:45:01:926202
received_params: 15:45:01:938181
received_params: 15:45:01:977535
round_7_aggregation: 15:45:01:977552
round_7_end: 15:45:01:979325
round_8_start: 15:45:01:979352
round_8_received_params: 15:45:02:490514
received_params: 15:45:02:502502
received_params: 15:45:02:542098
round_8_aggregation: 15:45:02:542115
round_8_end: 15:45:02:543884
round_9_start: 15:45:02:543911
round_9_received_params: 15:45:03:054831
received_params: 15:45:03:066813
received_params: 15:45:03:111855
round_9_aggregation: 15:45:03:111873
round_9_end: 15:45:03:113619
round_10_start: 15:45:03:113646
round_10_received_params: 15:45:03:625440
received_params: 15:45:03:637432
received_params: 15:45:03:679182
round_10_aggregation: 15:45:03:679199
round_10_end: 15:45:03:680944
round_11_start: 15:45:03:680971
round_11_received_params: 15:45:04:193402
received_params: 15:45:04:205357
received_params: 15:45:04:246585
round_11_aggregation: 15:45:04:246602
round_11_end: 15:45:04:248354
round_12_start: 15:45:04:248381
round_12_received_params: 15:45:04:760201
received_params: 15:45:04:772190
received_params: 15:45:04:812244
round_12_aggregation: 15:45:04:812261
round_12_end: 15:45:04:813987
round_13_start: 15:45:04:814013
round_13_received_params: 15:45:05:326370
received_params: 15:45:05:338435
received_params: 15:45:05:380290
round_13_aggregation: 15:45:05:380308
round_13_end: 15:45:05:382060
round_14_start: 15:45:05:382088
round_14_received_params: 15:45:05:894617
received_params: 15:45:05:906600
received_params: 15:45:05:950298
round_14_aggregation: 15:45:05:950315
round_14_end: 15:45:05:952080
round_15_start: 15:45:05:952108
round_15_received_params: 15:45:06:464602
received_params: 15:45:06:476607
received_params: 15:45:06:515272
round_15_aggregation: 15:45:06:515290
round_15_end: 15:45:06:517031
round_16_start: 15:45:06:517058
round_16_received_params: 15:45:07:029286
received_params: 15:45:07:041388
received_params: 15:45:07:083533
round_16_aggregation: 15:45:07:083551
round_16_end: 15:45:07:085308
round_17_start: 15:45:07:085336
round_17_received_params: 15:45:07:598798
received_params: 15:45:07:610811
received_params: 15:45:07:650711
round_17_aggregation: 15:45:07:650729
round_17_end: 15:45:07:652504
round_18_start: 15:45:07:652531
round_18_received_params: 15:45:08:166173
received_params: 15:45:08:178172
received_params: 15:45:08:216813
round_18_aggregation: 15:45:08:216830
round_18_end: 15:45:08:218574
round_19_start: 15:45:08:218601
round_19_received_params: 15:45:08:731316
received_params: 15:45:08:743313
received_params: 15:45:08:782319
round_19_aggregation: 15:45:08:782337
round_19_end: 15:45:08:784102
round_20_start: 15:45:08:784128
round_20_received_params: 15:45:09:297911
received_params: 15:45:09:309910
received_params: 15:45:09:350236
round_20_aggregation: 15:45:09:350253
round_20_end: 15:45:09:352068
round_21_start: 15:45:09:352094
round_21_received_params: 15:45:09:864260
received_params: 15:45:09:876239
received_params: 15:45:09:914873
round_21_aggregation: 15:45:09:914890
round_21_end: 15:45:09:916662
round_22_start: 15:45:09:916690
round_22_received_params: 15:45:10:429308
received_params: 15:45:10:441304
received_params: 15:45:10:477408
round_22_aggregation: 15:45:10:477426
round_22_end: 15:45:10:479173
round_23_start: 15:45:10:479200
round_23_received_params: 15:45:10:992009
received_params: 15:45:11:004031
received_params: 15:45:11:049471
round_23_aggregation: 15:45:11:049489
round_23_end: 15:45:11:051285
round_24_start: 15:45:11:051313
round_24_received_params: 15:45:11:566403
received_params: 15:45:11:578444
received_params: 15:45:11:613768
round_24_aggregation: 15:45:11:613786
round_24_end: 15:45:11:615553
round_25_start: 15:45:11:615580
round_25_received_params: 15:45:12:128934
received_params: 15:45:12:140944
received_params: 15:45:12:176457
round_25_aggregation: 15:45:12:176473
round_25_end: 15:45:12:178211
round_26_start: 15:45:12:178237
round_26_received_params: 15:45:12:690560
received_params: 15:45:12:702554
received_params: 15:45:12:736755
round_26_aggregation: 15:45:12:736772
round_26_end: 15:45:12:738512
round_27_start: 15:45:12:738540
round_27_received_params: 15:45:13:251735
received_params: 15:45:13:263738
received_params: 15:45:13:297777
round_27_aggregation: 15:45:13:297794
round_27_end: 15:45:13:299599
round_28_start: 15:45:13:299626
round_28_received_params: 15:45:13:811861
received_params: 15:45:13:823858
received_params: 15:45:13:863429
round_28_aggregation: 15:45:13:863446
round_28_end: 15:45:13:865207
round_29_start: 15:45:13:865234
round_29_received_params: 15:45:14:377568
received_params: 15:45:14:389562
received_params: 15:45:14:427263
round_29_aggregation: 15:45:14:427281
round_29_end: 15:45:14:429015
round_30_start: 15:45:14:429041
round_30_received_params: 15:45:14:941324
received_params: 15:45:14:953354
received_params: 15:45:14:993351
round_30_aggregation: 15:45:14:993368
round_30_end: 15:45:14:995085
round_31_start: 15:45:14:995111
round_31_received_params: 15:45:15:508790
received_params: 15:45:15:520804
received_params: 15:45:15:555760
round_31_aggregation: 15:45:15:555778
round_31_end: 15:45:15:557530
round_32_start: 15:45:15:557558
round_32_received_params: 15:45:16:069296
received_params: 15:45:16:081362
received_params: 15:45:16:123633
round_32_aggregation: 15:45:16:123650
round_32_end: 15:45:16:125412
round_33_start: 15:45:16:125439
round_33_received_params: 15:45:16:638529
received_params: 15:45:16:650559
received_params: 15:45:16:685118
round_33_aggregation: 15:45:16:685135
round_33_end: 15:45:16:686836
round_34_start: 15:45:16:686863
round_34_received_params: 15:45:17:199835
received_params: 15:45:17:211819
received_params: 15:45:17:244295
round_34_aggregation: 15:45:17:244313
round_34_end: 15:45:17:246138
round_35_start: 15:45:17:246167
round_35_received_params: 15:45:17:759945
received_params: 15:45:17:771950
received_params: 15:45:17:802521
round_35_aggregation: 15:45:17:802538
round_35_end: 15:45:17:804332
round_36_start: 15:45:17:804359
round_36_received_params: 15:45:18:317218
received_params: 15:45:18:329248
received_params: 15:45:18:366218
round_36_aggregation: 15:45:18:366235
round_36_end: 15:45:18:367981
round_37_start: 15:45:18:368009
round_37_received_params: 15:45:18:880243
received_params: 15:45:18:892215
received_params: 15:45:18:933950
round_37_aggregation: 15:45:18:933967
round_37_end: 15:45:18:935777
round_38_start: 15:45:18:935803
round_38_received_params: 15:45:19:448958
received_params: 15:45:19:461004
received_params: 15:45:19:497916
round_38_aggregation: 15:45:19:497933
round_38_end: 15:45:19:499709
round_39_start: 15:45:19:499736
round_39_received_params: 15:45:20:013822
received_params: 15:45:20:025824
received_params: 15:45:20:062712
round_39_aggregation: 15:45:20:062729
round_39_end: 15:45:20:064491
round_40_start: 15:45:20:064519
round_40_received_params: 15:45:20:576373
received_params: 15:45:20:588376
received_params: 15:45:20:629390
round_40_aggregation: 15:45:20:629408
round_40_end: 15:45:20:631136
round_41_start: 15:45:20:631163
round_41_received_params: 15:45:21:143705
received_params: 15:45:21:155706
received_params: 15:45:21:193851
round_41_aggregation: 15:45:21:193869
round_41_end: 15:45:21:195674
round_42_start: 15:45:21:195701
round_42_received_params: 15:45:21:709604
received_params: 15:45:21:721656
received_params: 15:45:21:758888
round_42_aggregation: 15:45:21:758905
round_42_end: 15:45:21:760654
round_43_start: 15:45:21:760681
round_43_received_params: 15:45:22:274702
received_params: 15:45:22:286695
received_params: 15:45:22:323212
round_43_aggregation: 15:45:22:323229
round_43_end: 15:45:22:325001
round_44_start: 15:45:22:325029
round_44_received_params: 15:45:22:838183
received_params: 15:45:22:850208
received_params: 15:45:22:893331
round_44_aggregation: 15:45:22:893349
round_44_end: 15:45:22:895068
round_45_start: 15:45:22:895095
round_45_received_params: 15:45:23:407518
received_params: 15:45:23:419588
received_params: 15:45:23:465549
round_45_aggregation: 15:45:23:465568
round_45_end: 15:45:23:467351
round_46_start: 15:45:23:467378
round_46_received_params: 15:45:23:980481
received_params: 15:45:23:992538
received_params: 15:45:24:037456
round_46_aggregation: 15:45:24:037473
round_46_end: 15:45:24:039187
round_47_start: 15:45:24:039215
round_47_received_params: 15:45:24:553206
received_params: 15:45:24:565224
received_params: 15:45:24:604767
round_47_aggregation: 15:45:24:604786
round_47_end: 15:45:24:606505
round_48_start: 15:45:24:606532
round_48_received_params: 15:45:25:119228
received_params: 15:45:25:131258
received_params: 15:45:25:171608
round_48_aggregation: 15:45:25:171626
round_48_end: 15:45:25:173359
round_49_start: 15:45:25:173386
round_49_received_params: 15:45:25:686634
received_params: 15:45:25:698632
received_params: 15:45:25:736592
round_49_aggregation: 15:45:25:736610
round_49_end: 15:45:25:738364
round_50_start: 15:45:25:738392
round_50_received_params: 15:45:26:251387
received_params: 15:45:26:263387
received_params: 15:45:26:302332
round_50_aggregation: 15:45:26:302349
round_50_end: 15:45:26:304111
round_51_start: 15:45:26:304139
round_51_received_params: 15:45:26:817032
received_params: 15:45:26:829060
received_params: 15:45:26:867489
round_51_aggregation: 15:45:26:867507
round_51_end: 15:45:26:869231
round_52_start: 15:45:26:869259
round_52_received_params: 15:45:27:382500
received_params: 15:45:27:394496
received_params: 15:45:27:434163
round_52_aggregation: 15:45:27:434181
round_52_end: 15:45:27:435984
round_53_start: 15:45:27:436012
round_53_received_params: 15:45:27:951436
received_params: 15:45:27:963521
received_params: 15:45:27:998682
round_53_aggregation: 15:45:27:998699
round_53_end: 15:45:28:000447
round_54_start: 15:45:28:000474
round_54_received_params: 15:45:28:514553
received_params: 15:45:28:526533
received_params: 15:45:28:563294
round_54_aggregation: 15:45:28:563312
round_54_end: 15:45:28:565056
round_55_start: 15:45:28:565083
round_55_received_params: 15:45:29:077868
received_params: 15:45:29:089870
received_params: 15:45:29:128084
round_55_aggregation: 15:45:29:128102
round_55_end: 15:45:29:129827
round_56_start: 15:45:29:129854
round_56_received_params: 15:45:29:643022
received_params: 15:45:29:655023
received_params: 15:45:29:695884
round_56_aggregation: 15:45:29:695902
round_56_end: 15:45:29:697672
round_57_start: 15:45:29:697699
round_57_received_params: 15:45:30:210083
received_params: 15:45:30:222088
received_params: 15:45:30:260252
round_57_aggregation: 15:45:30:260269
round_57_end: 15:45:30:262012
round_58_start: 15:45:30:262038
round_58_received_params: 15:45:30:774538
received_params: 15:45:30:786548
received_params: 15:45:30:829699
round_58_aggregation: 15:45:30:829717
round_58_end: 15:45:30:831463
round_59_start: 15:45:30:831490
round_59_received_params: 15:45:31:344531
received_params: 15:45:31:356565
received_params: 15:45:31:395373
round_59_aggregation: 15:45:31:395394
round_59_end: 15:45:31:397234
round_60_start: 15:45:31:397264
round_60_received_params: 15:45:31:912345
received_params: 15:45:31:924408
received_params: 15:45:31:963506
round_60_aggregation: 15:45:31:963525
round_60_end: 15:45:31:965263
round_61_start: 15:45:31:965291
round_61_received_params: 15:45:32:480686
received_params: 15:45:32:492726
received_params: 15:45:32:529638
round_61_aggregation: 15:45:32:529656
round_61_end: 15:45:32:531397
round_62_start: 15:45:32:531424
round_62_received_params: 15:45:33:045967
received_params: 15:45:33:057990
received_params: 15:45:33:098596
round_62_aggregation: 15:45:33:098613
round_62_end: 15:45:33:100385
round_63_start: 15:45:33:100412
round_63_received_params: 15:45:33:614399
received_params: 15:45:33:626463
received_params: 15:45:33:663704
round_63_aggregation: 15:45:33:663722
round_63_end: 15:45:33:665468
round_64_start: 15:45:33:665495
round_64_received_params: 15:45:34:179840
received_params: 15:45:34:191863
received_params: 15:45:34:226809
round_64_aggregation: 15:45:34:226826
round_64_end: 15:45:34:228567
round_65_start: 15:45:34:228595
round_65_received_params: 15:45:34:741634
received_params: 15:45:34:753626
received_params: 15:45:34:795766
round_65_aggregation: 15:45:34:795784
round_65_end: 15:45:34:797522
round_66_start: 15:45:34:797549
round_66_received_params: 15:45:35:311017
received_params: 15:45:35:323022
received_params: 15:45:35:364964
round_66_aggregation: 15:45:35:364982
