After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3229, test_acc = 0.1142
After round 2, test_loss = 2.3081, test_acc = 0.1498
After round 3, test_loss = 2.2957, test_acc = 0.2098
After round 4, test_loss = 2.2753, test_acc = 0.2592
After round 5, test_loss = 2.259, test_acc = 0.296
After round 6, test_loss = 2.2451, test_acc = 0.3282
After round 7, test_loss = 2.2339, test_acc = 0.3596
After round 8, test_loss = 2.2254, test_acc = 0.3911
After round 9, test_loss = 2.2179, test_acc = 0.417
After round 10, test_loss = 2.2114, test_acc = 0.4357
After round 11, test_loss = 2.2067, test_acc = 0.445
After round 12, test_loss = 2.2031, test_acc = 0.4512
After round 13, test_loss = 2.2, test_acc = 0.4563
After round 14, test_loss = 2.1974, test_acc = 0.4582
After round 15, test_loss = 2.1957, test_acc = 0.4615
After round 16, test_loss = 2.1944, test_acc = 0.4635
After round 17, test_loss = 2.1928, test_acc = 0.4645
After round 18, test_loss = 2.1931, test_acc = 0.4655
After round 19, test_loss = 2.1919, test_acc = 0.4661
After round 20, test_loss = 2.1912, test_acc = 0.4666
After round 21, test_loss = 2.191, test_acc = 0.4676
After round 22, test_loss = 2.1917, test_acc = 0.4691
After round 23, test_loss = 2.1916, test_acc = 0.4694
After round 24, test_loss = 2.1929, test_acc = 0.4698
After round 25, test_loss = 2.1925, test_acc = 0.4703
After round 26, test_loss = 2.1934, test_acc = 0.4708
After round 27, test_loss = 2.1937, test_acc = 0.4711
After round 28, test_loss = 2.195, test_acc = 0.4716
After round 29, test_loss = 2.1959, test_acc = 0.4729
After round 30, test_loss = 2.1962, test_acc = 0.4735
After round 31, test_loss = 2.1972, test_acc = 0.4756
After round 32, test_loss = 2.1973, test_acc = 0.4758
After round 33, test_loss = 2.1996, test_acc = 0.476
After round 34, test_loss = 2.2007, test_acc = 0.476
After round 35, test_loss = 2.202, test_acc = 0.4761
After round 36, test_loss = 2.2039, test_acc = 0.4775
After round 37, test_loss = 2.2044, test_acc = 0.4797
After round 38, test_loss = 2.2067, test_acc = 0.4797
After round 39, test_loss = 2.2082, test_acc = 0.4809
After round 40, test_loss = 2.2095, test_acc = 0.4813
After round 41, test_loss = 2.2115, test_acc = 0.4834
After round 42, test_loss = 2.2131, test_acc = 0.4843
After round 43, test_loss = 2.2156, test_acc = 0.4857
After round 44, test_loss = 2.2177, test_acc = 0.4859
After round 45, test_loss = 2.2189, test_acc = 0.4868
After round 46, test_loss = 2.1959, test_acc = 0.4868
After round 47, test_loss = 2.1985, test_acc = 0.4888
After round 48, test_loss = 2.1997, test_acc = 0.4901
After round 49, test_loss = 2.202, test_acc = 0.4909
After round 50, test_loss = 2.2045, test_acc = 0.492
After round 51, test_loss = 2.2075, test_acc = 0.4921
After round 52, test_loss = 2.2107, test_acc = 0.4922
After round 53, test_loss = 2.2133, test_acc = 0.4929
After round 54, test_loss = 2.216, test_acc = 0.4942
After round 55, test_loss = 2.2181, test_acc = 0.4955
After round 56, test_loss = 2.2209, test_acc = 0.4958
After round 57, test_loss = 2.2238, test_acc = 0.4962
After round 58, test_loss = 2.2262, test_acc = 0.4974
After round 59, test_loss = 2.2289, test_acc = 0.498
After round 60, test_loss = 2.2303, test_acc = 0.4994
After round 61, test_loss = 2.233, test_acc = 0.5001
After round 62, test_loss = 2.2357, test_acc = 0.5016
After round 63, test_loss = 2.2381, test_acc = 0.5024
After round 64, test_loss = 2.2404, test_acc = 0.503
After round 65, test_loss = 2.2429, test_acc = 0.5044
After round 66, test_loss = 2.245, test_acc = 0.5052
After round 67, test_loss = 2.2472, test_acc = 0.5064
After round 68, test_loss = 2.2501, test_acc = 0.5063
After round 69, test_loss = 2.2525, test_acc = 0.5073
After round 70, test_loss = 2.2555, test_acc = 0.5075
After round 71, test_loss = 2.2579, test_acc = 0.5083
After round 72, test_loss = 2.2592, test_acc = 0.5104
After round 73, test_loss = 2.2616, test_acc = 0.5111
After round 74, test_loss = 2.2642, test_acc = 0.5118
After round 75, test_loss = 2.2676, test_acc = 0.5114
After round 76, test_loss = 2.2704, test_acc = 0.5113
After round 77, test_loss = 2.2734, test_acc = 0.5123
After round 78, test_loss = 2.2767, test_acc = 0.5128
After round 79, test_loss = 2.2793, test_acc = 0.5128
After round 80, test_loss = 2.2819, test_acc = 0.5131
After round 81, test_loss = 2.2835, test_acc = 0.5142
