After round 119, test_loss = 1.0892, test_acc = 0.8196
After round 120, test_loss = 1.085, test_acc = 0.8202
After round 121, test_loss = 1.0808, test_acc = 0.8189
After round 122, test_loss = 1.0767, test_acc = 0.8208
After round 123, test_loss = 1.0726, test_acc = 0.8214
After round 124, test_loss = 1.0687, test_acc = 0.8218
After round 125, test_loss = 1.0647, test_acc = 0.8209
After round 126, test_loss = 1.0608, test_acc = 0.8221
After round 127, test_loss = 1.057, test_acc = 0.8236
After round 128, test_loss = 1.0532, test_acc = 0.8229
After round 129, test_loss = 1.0494, test_acc = 0.8215
After round 130, test_loss = 1.0457, test_acc = 0.8227
After round 131, test_loss = 1.0421, test_acc = 0.8224
After round 132, test_loss = 1.0385, test_acc = 0.822
After round 133, test_loss = 1.0347, test_acc = 0.8225
After round 134, test_loss = 1.0312, test_acc = 0.8243
After round 135, test_loss = 1.0279, test_acc = 0.8251
After round 136, test_loss = 1.0245, test_acc = 0.8251
After round 137, test_loss = 1.0209, test_acc = 0.8252
After round 138, test_loss = 1.0175, test_acc = 0.8248
After round 139, test_loss = 1.0141, test_acc = 0.8247
After round 140, test_loss = 1.0108, test_acc = 0.8251
After round 141, test_loss = 1.0076, test_acc = 0.8238
After round 142, test_loss = 1.0045, test_acc = 0.8234
After round 143, test_loss = 1.0015, test_acc = 0.8229
After round 144, test_loss = 0.998, test_acc = 0.8233
After round 145, test_loss = 0.9948, test_acc = 0.8242
After round 146, test_loss = 0.9916, test_acc = 0.8248
After round 147, test_loss = 0.9887, test_acc = 0.8237
After round 148, test_loss = 0.9856, test_acc = 0.8244
After round 149, test_loss = 0.9825, test_acc = 0.8248
After round 150, test_loss = 0.9795, test_acc = 0.8242
After round 151, test_loss = 0.9764, test_acc = 0.8247
After round 152, test_loss = 0.9734, test_acc = 0.8258
After round 153, test_loss = 0.9703, test_acc = 0.8256
After round 154, test_loss = 0.9673, test_acc = 0.8275
After round 155, test_loss = 0.9643, test_acc = 0.8275
After round 156, test_loss = 0.9613, test_acc = 0.8286
After round 157, test_loss = 0.9584, test_acc = 0.8292
After round 158, test_loss = 0.9554, test_acc = 0.8287
After round 159, test_loss = 0.9526, test_acc = 0.8303
After round 160, test_loss = 0.9497, test_acc = 0.8311
After round 161, test_loss = 0.9467, test_acc = 0.8316
After round 162, test_loss = 0.9438, test_acc = 0.8318
After round 163, test_loss = 0.9411, test_acc = 0.8329
After round 164, test_loss = 0.9386, test_acc = 0.8333
After round 165, test_loss = 0.9359, test_acc = 0.8338
After round 166, test_loss = 0.9335, test_acc = 0.8336
After round 167, test_loss = 0.9309, test_acc = 0.8338
After round 168, test_loss = 0.9284, test_acc = 0.8337
After round 169, test_loss = 0.9259, test_acc = 0.8344
After round 170, test_loss = 0.9234, test_acc = 0.8356
After round 171, test_loss = 0.9209, test_acc = 0.8356
After round 172, test_loss = 0.9184, test_acc = 0.8354
After round 173, test_loss = 0.916, test_acc = 0.8361
After round 174, test_loss = 0.9136, test_acc = 0.8359
After round 175, test_loss = 0.9111, test_acc = 0.8352
After round 176, test_loss = 0.9088, test_acc = 0.8353
After round 177, test_loss = 0.9064, test_acc = 0.8359
After round 178, test_loss = 0.9041, test_acc = 0.836
After round 179, test_loss = 0.9019, test_acc = 0.836
After round 180, test_loss = 0.8995, test_acc = 0.8362
After round 181, test_loss = 0.8973, test_acc = 0.8355
After round 182, test_loss = 0.8951, test_acc = 0.8362
After round 183, test_loss = 0.8929, test_acc = 0.8366
After round 184, test_loss = 0.8907, test_acc = 0.8381
After round 185, test_loss = 0.8885, test_acc = 0.8378
After round 186, test_loss = 0.8863, test_acc = 0.8368
After round 187, test_loss = 0.8844, test_acc = 0.8357
After round 188, test_loss = 0.8823, test_acc = 0.8366
After round 189, test_loss = 0.8799, test_acc = 0.8368
After round 190, test_loss = 0.8779, test_acc = 0.8382
After round 191, test_loss = 0.8755, test_acc = 0.8373
After round 192, test_loss = 0.8734, test_acc = 0.8378
After round 193, test_loss = 0.8714, test_acc = 0.8378
After round 194, test_loss = 0.8692, test_acc = 0.838
After round 195, test_loss = 0.8672, test_acc = 0.8385
After round 196, test_loss = 0.8651, test_acc = 0.839
After round 197, test_loss = 0.8631, test_acc = 0.8387
After round 198, test_loss = 0.8611, test_acc = 0.8394
After round 199, test_loss = 0.8591, test_acc = 0.8395
After round 200, test_loss = 0.8573, test_acc = 0.8394
After round 201, test_loss = 0.8553, test_acc = 0.8394
After round 202, test_loss = 0.8535, test_acc = 0.8399
After round 203, test_loss = 0.8517, test_acc = 0.8398
After round 204, test_loss = 0.8499, test_acc = 0.8397
After round 205, test_loss = 0.8481, test_acc = 0.8404
After round 206, test_loss = 0.8464, test_acc = 0.84
After round 207, test_loss = 0.8445, test_acc = 0.8404
After round 208, test_loss = 0.8428, test_acc = 0.8405
After round 209, test_loss = 0.8408, test_acc = 0.8407
After round 210, test_loss = 0.839, test_acc = 0.8413
After round 211, test_loss = 0.8371, test_acc = 0.8409
After round 212, test_loss = 0.8353, test_acc = 0.8412
After round 213, test_loss = 0.8335, test_acc = 0.8412
After round 214, test_loss = 0.8318, test_acc = 0.8418
After round 215, test_loss = 0.8301, test_acc = 0.8419
After round 216, test_loss = 0.8285, test_acc = 0.8427
After round 217, test_loss = 0.8267, test_acc = 0.8434
After round 218, test_loss = 0.8249, test_acc = 0.8436
After round 219, test_loss = 0.823, test_acc = 0.8442
After round 220, test_loss = 0.8214, test_acc = 0.844
After round 221, test_loss = 0.8197, test_acc = 0.8445
After round 222, test_loss = 0.818, test_acc = 0.843
After round 223, test_loss = 0.8164, test_acc = 0.843
After round 224, test_loss = 0.8147, test_acc = 0.8428
After round 225, test_loss = 0.8131, test_acc = 0.8438
After round 226, test_loss = 0.8116, test_acc = 0.8434
After round 227, test_loss = 0.81, test_acc = 0.844
After round 228, test_loss = 0.8084, test_acc = 0.8442
After round 229, test_loss = 0.8069, test_acc = 0.8447
After round 230, test_loss = 0.8053, test_acc = 0.8456
After round 231, test_loss = 0.8039, test_acc = 0.8444
After round 232, test_loss = 0.8022, test_acc = 0.846
After round 233, test_loss = 0.8008, test_acc = 0.8465
After round 234, test_loss = 0.7993, test_acc = 0.8465
After round 235, test_loss = 0.7977, test_acc = 0.8466
After round 236, test_loss = 0.7962, test_acc = 0.8463
After round 237, test_loss = 0.7947, test_acc = 0.8463
After round 238, test_loss = 0.7932, test_acc = 0.8473
After round 239, test_loss = 0.7918, test_acc = 0.8468
After round 240, test_loss = 0.7903, test_acc = 0.8477
After round 241, test_loss = 0.7888, test_acc = 0.8477
After round 242, test_loss = 0.7874, test_acc = 0.8487
After round 243, test_loss = 0.786, test_acc = 0.8486
After round 244, test_loss = 0.7844, test_acc = 0.8484
After round 245, test_loss = 0.783, test_acc = 0.849
After round 246, test_loss = 0.7816, test_acc = 0.8483
After round 247, test_loss = 0.7801, test_acc = 0.8483
After round 248, test_loss = 0.7787, test_acc = 0.848
After round 249, test_loss = 0.7774, test_acc = 0.8481
After round 250, test_loss = 0.7759, test_acc = 0.8479
After round 251, test_loss = 0.7745, test_acc = 0.8484
After round 252, test_loss = 0.7731, test_acc = 0.8487
After round 253, test_loss = 0.7717, test_acc = 0.8486
After round 254, test_loss = 0.7703, test_acc = 0.849
After round 255, test_loss = 0.7691, test_acc = 0.8493
After round 256, test_loss = 0.7678, test_acc = 0.8489
After round 257, test_loss = 0.7664, test_acc = 0.8497
After round 258, test_loss = 0.7652, test_acc = 0.8491
After round 259, test_loss = 0.7639, test_acc = 0.8498
After round 260, test_loss = 0.7626, test_acc = 0.85
