Starting: 18:47:29:442314
round_36_model_shared: 18:47:34:146263
round_36_received_params_1: 18:47:34:262239
round_36_end: 18:47:34:262426
round_37_start: 18:47:34:262445
round_37_model_trained: 18:47:34:275284
round_37_model_shared: 18:47:34:282136
round_37_received_params_1: 18:47:34:386141
round_37_end: 18:47:34:386324
round_38_start: 18:47:34:386344
round_38_model_trained: 18:47:34:399073
round_38_model_shared: 18:47:34:405930
round_38_received_params_1: 18:47:34:536461
round_38_end: 18:47:34:536643
round_39_start: 18:47:34:536662
round_39_model_trained: 18:47:34:549549
round_39_model_shared: 18:47:34:556403
round_39_received_params_1: 18:47:34:670331
round_39_end: 18:47:34:670514
round_40_start: 18:47:34:670533
round_40_model_trained: 18:47:34:683476
round_40_model_shared: 18:47:34:690344
round_40_received_params_1: 18:47:34:794163
round_40_end: 18:47:34:794347
round_41_start: 18:47:34:794367
round_41_model_trained: 18:47:34:807198
round_41_model_shared: 18:47:34:814047
round_41_received_params_1: 18:47:34:930279
round_41_end: 18:47:34:930463
round_42_start: 18:47:34:930482
round_42_model_trained: 18:47:34:943253
round_42_model_shared: 18:47:34:950112
round_42_received_params_1: 18:47:35:076939
round_42_end: 18:47:35:077133
round_43_start: 18:47:35:077154
round_43_model_trained: 18:47:35:090038
round_43_model_shared: 18:47:35:096881
round_43_received_params_1: 18:47:35:204651
round_43_end: 18:47:35:204835
round_44_start: 18:47:35:204855
round_44_model_trained: 18:47:35:217716
round_44_model_shared: 18:47:35:224574
round_44_received_params_1: 18:47:35:351441
round_44_end: 18:47:35:351625
round_45_start: 18:47:35:351644
round_45_model_trained: 18:47:35:364423
round_45_model_shared: 18:47:35:371283
round_45_received_params_1: 18:47:35:486413
round_45_end: 18:47:35:486596
round_46_start: 18:47:35:486616
round_46_model_trained: 18:47:35:499415
round_46_model_shared: 18:47:35:506291
round_46_received_params_1: 18:47:35:613668
round_46_end: 18:47:35:613869
round_47_start: 18:47:35:613890
round_47_model_trained: 18:47:35:625573
round_47_model_shared: 18:47:35:632428
round_47_received_params_1: 18:47:35:762536
round_47_end: 18:47:35:762718
round_48_start: 18:47:35:762737
round_48_model_trained: 18:47:35:775948
round_48_model_shared: 18:47:35:782809
round_48_received_params_1: 18:47:35:892310
round_48_end: 18:47:35:892492
round_49_start: 18:47:35:892512
round_49_model_trained: 18:47:35:905385
round_49_model_shared: 18:47:35:912226
round_49_received_params_1: 18:47:36:020498
round_49_end: 18:47:36:020680
round_50_start: 18:47:36:020700
round_50_model_trained: 18:47:36:033588
round_50_model_shared: 18:47:36:040447
round_50_received_params_1: 18:47:36:167700
round_50_end: 18:47:36:167882
round_51_start: 18:47:36:167902
round_51_model_trained: 18:47:36:180859
round_51_model_shared: 18:47:36:187711
round_51_received_params_1: 18:47:36:286169
round_51_end: 18:47:36:286352
round_52_start: 18:47:36:286372
round_52_model_trained: 18:47:36:299164
round_52_model_shared: 18:47:36:306021
round_52_received_params_1: 18:47:36:430598
round_52_end: 18:47:36:430782
round_53_start: 18:47:36:430802
round_53_model_trained: 18:47:36:443603
round_53_model_shared: 18:47:36:450479
round_53_received_params_1: 18:47:36:562659
round_53_end: 18:47:36:562840
round_54_start: 18:47:36:562860
round_54_model_trained: 18:47:36:575786
round_54_model_shared: 18:47:36:582664
round_54_received_params_1: 18:47:36:691900
round_54_end: 18:47:36:692083
round_55_start: 18:47:36:692103
round_55_model_trained: 18:47:36:704902
round_55_model_shared: 18:47:36:711761
round_55_received_params_1: 18:47:36:848799
round_55_end: 18:47:36:848980
round_56_start: 18:47:36:849000
round_56_model_trained: 18:47:36:861859
round_56_model_shared: 18:47:36:868784
round_56_received_params_1: 18:47:36:975506
round_56_end: 18:47:36:975687
round_57_start: 18:47:36:975707
round_57_model_trained: 18:47:36:988513
round_57_model_shared: 18:47:36:995409
round_57_received_params_1: 18:47:37:110391
round_57_end: 18:47:37:110575
round_58_start: 18:47:37:110595
round_58_model_trained: 18:47:37:123469
round_58_model_shared: 18:47:37:130349
round_58_received_params_1: 18:47:37:248944
round_58_end: 18:47:37:249136
round_59_start: 18:47:37:249157
round_59_model_trained: 18:47:37:262012
round_59_model_shared: 18:47:37:268853
round_59_received_params_1: 18:47:37:389004
round_59_end: 18:47:37:389195
round_60_start: 18:47:37:389216
round_60_model_trained: 18:47:37:402093
round_60_model_shared: 18:47:37:408938
round_60_received_params_1: 18:47:37:530441
round_60_end: 18:47:37:530708
round_61_start: 18:47:37:530738
round_61_model_trained: 18:47:37:550264
round_61_model_shared: 18:47:37:557132
round_61_received_params_1: 18:47:37:667266
round_61_end: 18:47:37:667451
round_62_start: 18:47:37:667472
round_62_model_trained: 18:47:37:680272
round_62_model_shared: 18:47:37:687130
round_62_received_params_1: 18:47:37:800320
round_62_end: 18:47:37:800503
round_63_start: 18:47:37:800523
round_63_model_trained: 18:47:37:813332
round_63_model_shared: 18:47:37:820184
round_63_received_params_1: 18:47:37:927934
round_63_end: 18:47:37:928117
round_64_start: 18:47:37:928137
round_64_model_trained: 18:47:37:941041
round_64_model_shared: 18:47:37:947888
round_64_received_params_1: 18:47:38:058098
round_64_end: 18:47:38:058283
round_65_start: 18:47:38:058304
round_65_model_trained: 18:47:38:071280
round_65_model_shared: 18:47:38:078153
round_65_received_params_1: 18:47:38:187083
round_65_end: 18:47:38:187266
round_66_start: 18:47:38:187286
round_66_model_trained: 18:47:38:200125
round_66_model_shared: 18:47:38:206992
round_66_received_params_1: 18:47:38:315219
round_66_end: 18:47:38:315405
round_67_start: 18:47:38:315426
round_67_model_trained: 18:47:38:328222
round_67_model_shared: 18:47:38:335089
round_67_received_params_1: 18:47:38:456407
round_67_end: 18:47:38:456592
round_68_start: 18:47:38:456612
round_68_model_trained: 18:47:38:469466
round_68_model_shared: 18:47:38:476314
round_68_received_params_1: 18:47:38:588487
round_68_end: 18:47:38:588672
round_69_start: 18:47:38:588693
round_69_model_trained: 18:47:38:601554
round_69_model_shared: 18:47:38:608389
round_69_received_params_1: 18:47:38:741037
round_69_end: 18:47:38:741230
round_70_start: 18:47:38:741250
round_70_model_trained: 18:47:38:754087
round_70_model_shared: 18:47:38:760906
round_70_received_params_1: 18:47:38:887091
round_70_end: 18:47:38:887275
round_71_start: 18:47:38:887294
round_71_model_trained: 18:47:38:900119
round_71_model_shared: 18:47:38:907026
round_71_received_params_1: 18:47:39:020667
round_71_end: 18:47:39:020858
round_72_start: 18:47:39:020879
round_72_model_trained: 18:47:39:033733
round_72_model_shared: 18:47:39:040600
round_72_received_params_1: 18:47:39:163743
round_72_end: 18:47:39:163951
round_73_start: 18:47:39:163972
round_73_model_trained: 18:47:39:176940
round_73_model_shared: 18:47:39:183798
round_73_received_params_1: 18:47:39:301211
round_73_end: 18:47:39:301401
round_74_start: 18:47:39:301422
round_74_model_trained: 18:47:39:314296
round_74_model_shared: 18:47:39:321153
round_74_received_params_1: 18:47:39:433072
round_74_end: 18:47:39:433256
round_75_start: 18:47:39:433277
round_75_model_trained: 18:47:39:446096
round_75_model_shared: 18:47:39:452929
round_75_received_params_1: 18:47:39:572924
round_75_end: 18:47:39:573122
round_76_start: 18:47:39:573143
round_76_model_trained: 18:47:39:586047
round_76_model_shared: 18:47:39:592886
round_76_received_params_1: 18:47:39:718202
round_76_end: 18:47:39:718385
round_77_start: 18:47:39:718405
round_77_model_trained: 18:47:39:731185
round_77_model_shared: 18:47:39:738057
round_77_received_params_1: 18:47:39:841370
round_77_end: 18:47:39:841553
round_78_start: 18:47:39:841573
round_78_model_trained: 18:47:39:854341
round_78_model_shared: 18:47:39:861176
round_78_received_params_1: 18:47:39:991175
round_78_end: 18:47:39:991359
round_79_start: 18:47:39:991380
round_79_model_trained: 18:47:40:004151
round_79_model_shared: 18:47:40:011020
round_79_received_params_1: 18:47:40:136974
round_79_end: 18:47:40:137169
round_80_start: 18:47:40:137189
round_80_model_trained: 18:47:40:150043
round_80_model_shared: 18:47:40:156882
round_80_received_params_1: 18:47:40:261084
round_80_end: 18:47:40:261267
round_81_start: 18:47:40:261288
round_81_model_trained: 18:47:40:274113
round_81_model_shared: 18:47:40:280943
round_81_received_params_1: 18:47:40:406913
round_81_end: 18:47:40:407097
round_82_start: 18:47:40:407117
round_82_model_trained: 18:47:40:419951
round_82_model_shared: 18:47:40:426813
round_82_received_params_1: 18:47:40:544757
round_82_end: 18:47:40:544944
round_83_start: 18:47:40:544965
round_83_model_trained: 18:47:40:557757
round_83_model_shared: 18:47:40:564612
round_83_received_params_1: 18:47:40:683517
round_83_end: 18:47:40:683701
round_84_start: 18:47:40:683721
round_84_model_trained: 18:47:40:696560
round_84_model_shared: 18:47:40:703413
round_84_received_params_1: 18:47:40:811665
round_84_end: 18:47:40:811852
round_85_start: 18:47:40:811873
round_85_model_trained: 18:47:40:824683
round_85_model_shared: 18:47:40:831551
round_85_received_params_1: 18:47:40:952945
round_85_end: 18:47:40:953139
round_86_start: 18:47:40:953161
round_86_model_trained: 18:47:40:966026
round_86_model_shared: 18:47:40:972856
round_86_received_params_1: 18:47:41:092008
round_86_end: 18:47:41:092194
round_87_start: 18:47:41:092215
round_87_model_trained: 18:47:41:105003
round_87_model_shared: 18:47:41:111859
round_87_received_params_1: 18:47:41:236170
round_87_end: 18:47:41:236356
round_88_start: 18:47:41:236377
round_88_model_trained: 18:47:41:249191
round_88_model_shared: 18:47:41:256042
round_88_received_params_1: 18:47:41:388018
round_88_end: 18:47:41:388204
round_89_start: 18:47:41:388224
round_89_model_trained: 18:47:41:401018
round_89_model_shared: 18:47:41:407864
round_89_received_params_1: 18:47:41:523332
round_89_end: 18:47:41:523520
round_90_start: 18:47:41:523539
round_90_model_trained: 18:47:41:536332
round_90_model_shared: 18:47:41:543196
round_90_received_params_1: 18:47:41:651162
round_90_end: 18:47:41:651349
round_91_start: 18:47:41:651369
round_91_model_trained: 18:47:41:664253
round_91_model_shared: 18:47:41:671111
round_91_received_params_1: 18:47:41:783719
round_91_end: 18:47:41:783903
round_92_start: 18:47:41:783923
round_92_model_trained: 18:47:41:796733
round_92_model_shared: 18:47:41:803594
round_92_received_params_1: 18:47:41:910573
round_92_end: 18:47:41:910757
round_93_start: 18:47:41:910777
round_93_model_trained: 18:47:41:923736
round_93_model_shared: 18:47:41:930601
