Starting: 11:10:06:075153
round_1_start: 11:10:06:075195
round_1_received_params: 11:10:06:720970
round_1_aggregation: 11:10:06:720987
round_1_end: 11:10:06:990845
round_2_start: 11:10:06:990880
round_2_received_params: 11:10:07:519521
round_2_aggregation: 11:10:07:519539
round_2_end: 11:10:07:522411
round_3_start: 11:10:07:522438
round_3_received_params: 11:10:08:050326
round_3_aggregation: 11:10:08:050343
round_3_end: 11:10:08:052933
round_4_start: 11:10:08:052959
round_4_received_params: 11:10:08:580283
round_4_aggregation: 11:10:08:580301
round_4_end: 11:10:08:582968
round_5_start: 11:10:08:582995
round_5_received_params: 11:10:09:097527
received_params: 11:10:09:103514
received_params: 11:10:09:109692
round_5_aggregation: 11:10:09:109709
round_5_end: 11:10:09:112393
round_6_start: 11:10:09:112420
round_6_received_params: 11:10:09:626986
received_params: 11:10:09:632956
received_params: 11:10:09:675928
round_6_aggregation: 11:10:09:675944
round_6_end: 11:10:09:678546
round_7_start: 11:10:09:678572
round_7_received_params: 11:10:10:199547
received_params: 11:10:10:237842
round_7_aggregation: 11:10:10:237859
round_7_end: 11:10:10:240521
round_8_start: 11:10:10:240546
round_8_received_params: 11:10:10:761567
received_params: 11:10:10:796406
round_8_aggregation: 11:10:10:796422
round_8_end: 11:10:10:799080
round_9_start: 11:10:10:799106
round_9_received_params: 11:10:11:319667
received_params: 11:10:11:359792
round_9_aggregation: 11:10:11:359809
round_9_end: 11:10:11:362434
round_10_start: 11:10:11:362460
round_10_received_params: 11:10:11:883998
received_params: 11:10:11:925256
round_10_aggregation: 11:10:11:925273
round_10_end: 11:10:11:927983
round_11_start: 11:10:11:928009
round_11_received_params: 11:10:12:451310
received_params: 11:10:12:489968
round_11_aggregation: 11:10:12:489987
round_11_end: 11:10:12:492726
round_12_start: 11:10:12:492752
round_12_received_params: 11:10:13:015035
received_params: 11:10:13:054400
round_12_aggregation: 11:10:13:054417
round_12_end: 11:10:13:057088
round_13_start: 11:10:13:057115
round_13_received_params: 11:10:13:578765
received_params: 11:10:13:623470
round_13_aggregation: 11:10:13:623489
round_13_end: 11:10:13:626117
round_14_start: 11:10:13:626143
round_14_received_params: 11:10:14:146142
received_params: 11:10:14:191614
round_14_aggregation: 11:10:14:191631
round_14_end: 11:10:14:194254
round_15_start: 11:10:14:194281
round_15_received_params: 11:10:14:715851
received_params: 11:10:14:757568
round_15_aggregation: 11:10:14:757585
round_15_end: 11:10:14:760249
round_16_start: 11:10:14:760276
round_16_received_params: 11:10:15:281305
received_params: 11:10:15:324265
round_16_aggregation: 11:10:15:324282
round_16_end: 11:10:15:326910
round_17_start: 11:10:15:326936
round_17_received_params: 11:10:15:847546
received_params: 11:10:15:891619
round_17_aggregation: 11:10:15:891636
round_17_end: 11:10:15:894237
round_18_start: 11:10:15:894264
round_18_received_params: 11:10:16:415119
received_params: 11:10:16:459703
round_18_aggregation: 11:10:16:459720
round_18_end: 11:10:16:462337
round_19_start: 11:10:16:462363
round_19_received_params: 11:10:16:983549
received_params: 11:10:17:029184
round_19_aggregation: 11:10:17:029202
round_19_end: 11:10:17:031878
round_20_start: 11:10:17:031905
round_20_received_params: 11:10:17:556527
received_params: 11:10:17:597724
round_20_aggregation: 11:10:17:597741
round_20_end: 11:10:17:600540
round_21_start: 11:10:17:600567
round_21_received_params: 11:10:18:122393
received_params: 11:10:18:162644
round_21_aggregation: 11:10:18:162662
round_21_end: 11:10:18:165293
round_22_start: 11:10:18:165319
round_22_received_params: 11:10:18:686841
received_params: 11:10:18:727261
round_22_aggregation: 11:10:18:727279
round_22_end: 11:10:18:729999
round_23_start: 11:10:18:730026
round_23_received_params: 11:10:19:251888
received_params: 11:10:19:292354
round_23_aggregation: 11:10:19:292372
round_23_end: 11:10:19:295009
round_24_start: 11:10:19:295036
round_24_received_params: 11:10:19:818013
received_params: 11:10:19:858497
round_24_aggregation: 11:10:19:858516
round_24_end: 11:10:19:861126
round_25_start: 11:10:19:861152
round_25_received_params: 11:10:20:385083
received_params: 11:10:20:422741
round_25_aggregation: 11:10:20:422759
round_25_end: 11:10:20:425316
round_26_start: 11:10:20:425342
round_26_received_params: 11:10:20:948187
received_params: 11:10:20:988578
round_26_aggregation: 11:10:20:988595
round_26_end: 11:10:20:991273
round_27_start: 11:10:20:991299
round_27_received_params: 11:10:21:513847
received_params: 11:10:21:558788
round_27_aggregation: 11:10:21:558806
round_27_end: 11:10:21:561359
