After round 119, test_loss = 0.3375, test_acc = 0.907
After round 120, test_loss = 0.3372, test_acc = 0.9069
After round 121, test_loss = 0.3367, test_acc = 0.9073
After round 122, test_loss = 0.3364, test_acc = 0.9072
After round 123, test_loss = 0.3359, test_acc = 0.9075
After round 124, test_loss = 0.3355, test_acc = 0.9072
After round 125, test_loss = 0.3351, test_acc = 0.9071
After round 126, test_loss = 0.3347, test_acc = 0.9074
After round 127, test_loss = 0.3343, test_acc = 0.9074
After round 128, test_loss = 0.334, test_acc = 0.9077
After round 129, test_loss = 0.3337, test_acc = 0.9076
After round 130, test_loss = 0.3333, test_acc = 0.9076
After round 131, test_loss = 0.3329, test_acc = 0.9078
After round 132, test_loss = 0.3325, test_acc = 0.9082
After round 133, test_loss = 0.3322, test_acc = 0.9084
After round 134, test_loss = 0.3318, test_acc = 0.9084
After round 135, test_loss = 0.3315, test_acc = 0.9083
After round 136, test_loss = 0.3312, test_acc = 0.9087
After round 137, test_loss = 0.3307, test_acc = 0.9083
After round 138, test_loss = 0.3305, test_acc = 0.9086
After round 139, test_loss = 0.3301, test_acc = 0.9085
After round 140, test_loss = 0.3297, test_acc = 0.9089
After round 141, test_loss = 0.3294, test_acc = 0.9088
After round 142, test_loss = 0.3291, test_acc = 0.9091
After round 143, test_loss = 0.3287, test_acc = 0.9093
After round 144, test_loss = 0.3283, test_acc = 0.909
After round 145, test_loss = 0.328, test_acc = 0.9093
After round 146, test_loss = 0.3277, test_acc = 0.9091
After round 147, test_loss = 0.3273, test_acc = 0.9092
After round 148, test_loss = 0.327, test_acc = 0.9096
After round 149, test_loss = 0.3268, test_acc = 0.9093
After round 150, test_loss = 0.3265, test_acc = 0.9091
After round 151, test_loss = 0.3262, test_acc = 0.9093
After round 152, test_loss = 0.326, test_acc = 0.9097
After round 153, test_loss = 0.3257, test_acc = 0.9097
After round 154, test_loss = 0.3253, test_acc = 0.9095
After round 155, test_loss = 0.325, test_acc = 0.9098
After round 156, test_loss = 0.3248, test_acc = 0.9099
After round 157, test_loss = 0.3244, test_acc = 0.9105
After round 158, test_loss = 0.3241, test_acc = 0.9104
After round 159, test_loss = 0.3238, test_acc = 0.9109
After round 160, test_loss = 0.3235, test_acc = 0.91
After round 161, test_loss = 0.3232, test_acc = 0.9101
After round 162, test_loss = 0.323, test_acc = 0.9101
After round 163, test_loss = 0.3228, test_acc = 0.9103
After round 164, test_loss = 0.3225, test_acc = 0.9108
After round 165, test_loss = 0.3223, test_acc = 0.9111
After round 166, test_loss = 0.322, test_acc = 0.911
After round 167, test_loss = 0.3218, test_acc = 0.9109
After round 168, test_loss = 0.3215, test_acc = 0.9113
After round 169, test_loss = 0.3212, test_acc = 0.9108
After round 170, test_loss = 0.3211, test_acc = 0.9114
After round 171, test_loss = 0.3209, test_acc = 0.9113
After round 172, test_loss = 0.3207, test_acc = 0.9111
After round 173, test_loss = 0.3204, test_acc = 0.9114
After round 174, test_loss = 0.3201, test_acc = 0.912
After round 175, test_loss = 0.3199, test_acc = 0.9117
After round 176, test_loss = 0.3196, test_acc = 0.9115
After round 177, test_loss = 0.3194, test_acc = 0.9122
After round 178, test_loss = 0.3193, test_acc = 0.9124
After round 179, test_loss = 0.3191, test_acc = 0.9124
After round 180, test_loss = 0.3188, test_acc = 0.9124
After round 181, test_loss = 0.3186, test_acc = 0.913
After round 182, test_loss = 0.3184, test_acc = 0.9126
After round 183, test_loss = 0.3182, test_acc = 0.9122
After round 184, test_loss = 0.318, test_acc = 0.912
After round 185, test_loss = 0.3178, test_acc = 0.9123
After round 186, test_loss = 0.3176, test_acc = 0.9124
After round 187, test_loss = 0.3174, test_acc = 0.9122
After round 188, test_loss = 0.3173, test_acc = 0.9122
After round 189, test_loss = 0.317, test_acc = 0.9124
After round 190, test_loss = 0.3168, test_acc = 0.9124
After round 191, test_loss = 0.3166, test_acc = 0.9124
After round 192, test_loss = 0.3164, test_acc = 0.9124
After round 193, test_loss = 0.3163, test_acc = 0.9122
After round 194, test_loss = 0.3161, test_acc = 0.9122
After round 195, test_loss = 0.3159, test_acc = 0.9122
After round 196, test_loss = 0.3158, test_acc = 0.9123
After round 197, test_loss = 0.3155, test_acc = 0.9125
After round 198, test_loss = 0.3153, test_acc = 0.9126
After round 199, test_loss = 0.3151, test_acc = 0.9126
After round 200, test_loss = 0.3149, test_acc = 0.9129
