Starting: 09:16:35:071674
round_1_start: 09:16:35:071728
round_1_received_params: 09:16:36:482473
round_1_aggregation: 09:16:36:482490
round_1_end: 09:16:36:627760
round_2_start: 09:16:36:627798
round_2_received_params: 09:16:37:383949
received_params: 09:16:37:410374
round_2_aggregation: 09:16:37:410389
round_2_end: 09:16:37:412035
round_3_start: 09:16:37:412057
round_3_received_params: 09:16:38:253893
received_params: 09:16:38:259080
received_params: 09:16:38:289565
round_3_aggregation: 09:16:38:289579
round_3_end: 09:16:38:291187
round_4_start: 09:16:38:291208
round_4_received_params: 09:16:39:083530
received_params: 09:16:39:100935
received_params: 09:16:39:162163
round_4_aggregation: 09:16:39:162180
round_4_end: 09:16:39:163956
round_5_start: 09:16:39:163981
round_5_received_params: 09:16:40:045400
received_params: 09:16:40:054235
received_params: 09:16:40:059601
received_params: 09:16:40:146241
round_5_aggregation: 09:16:40:146257
round_5_end: 09:16:40:148014
round_6_start: 09:16:40:148035
round_6_received_params: 09:16:40:982198
received_params: 09:16:40:990845
received_params: 09:16:41:060402
round_6_aggregation: 09:16:41:060426
round_6_end: 09:16:41:062649
round_7_start: 09:16:41:062679
round_7_received_params: 09:16:41:906740
received_params: 09:16:41:915597
received_params: 09:16:41:928629
received_params: 09:16:41:952021
round_7_aggregation: 09:16:41:952041
round_7_end: 09:16:41:953876
round_8_start: 09:16:41:953921
round_8_received_params: 09:16:42:893732
received_params: 09:16:42:902390
round_8_aggregation: 09:16:42:902416
round_8_end: 09:16:43:020404
round_9_start: 09:16:43:020440
round_9_received_params: 09:16:43:824733
received_params: 09:16:43:837876
received_params: 09:16:43:846479
round_9_aggregation: 09:16:43:846503
round_9_end: 09:16:43:982126
round_10_start: 09:16:43:982162
round_10_received_params: 09:16:44:845798
received_params: 09:16:44:854437
received_params: 09:16:44:863103
round_10_aggregation: 09:16:44:863131
round_10_end: 09:16:44:865502
end: 09:16:44:865528
