Starting: 15:30:57:955084
round_1_start: 15:30:57:955126
round_1_model_trained: 15:31:01:901632
round_1_model_shared: 15:31:01:909314
round_1_received_params_1: 15:31:13:636207
round_1_end: 15:31:13:636555
round_2_start: 15:31:13:636580
round_2_model_trained: 15:31:14:071619
round_2_model_shared: 15:31:14:078726
round_2_received_params_1: 15:31:14:154402
round_2_end: 15:31:14:154583
round_3_start: 15:31:14:154601
round_3_model_trained: 15:31:14:587724
round_3_model_shared: 15:31:14:594814
round_3_received_params_1: 15:31:14:676419
round_3_end: 15:31:14:676589
round_4_start: 15:31:14:676607
round_4_model_trained: 15:31:15:108554
round_4_model_shared: 15:31:15:115591
round_4_received_params_1: 15:31:15:198049
round_4_end: 15:31:15:198214
round_5_start: 15:31:15:198231
round_5_model_trained: 15:31:15:629055
round_5_model_shared: 15:31:15:636062
round_5_received_params_1: 15:31:15:724287
round_5_end: 15:31:15:724450
round_6_start: 15:31:15:724466
round_6_model_trained: 15:31:16:155694
round_6_model_shared: 15:31:16:162733
round_6_received_params_1: 15:31:16:256883
round_6_end: 15:31:16:257052
round_7_start: 15:31:16:257070
round_7_model_trained: 15:31:16:689444
round_7_model_shared: 15:31:16:696484
round_7_received_params_1: 15:31:16:784290
round_7_end: 15:31:16:784454
round_8_start: 15:31:16:784472
round_8_model_trained: 15:31:17:216006
round_8_model_shared: 15:31:17:223090
round_8_received_params_1: 15:31:17:314789
round_8_end: 15:31:17:314992
round_9_start: 15:31:17:315011
round_9_model_trained: 15:31:17:747539
round_9_model_shared: 15:31:17:754712
round_9_received_params_1: 15:31:17:837716
round_9_end: 15:31:17:837886
round_10_start: 15:31:17:837905
round_10_model_trained: 15:31:18:272138
round_10_model_shared: 15:31:18:279286
round_10_received_params_1: 15:31:18:363804
round_10_end: 15:31:18:363985
round_11_start: 15:31:18:364004
round_11_model_trained: 15:31:18:797416
round_11_model_shared: 15:31:18:804568
round_11_received_params_1: 15:31:18:885348
round_11_end: 15:31:18:885526
round_12_start: 15:31:18:885545
round_12_model_trained: 15:31:19:318146
round_12_model_shared: 15:31:19:325307
round_12_received_params_1: 15:31:19:410997
round_12_end: 15:31:19:411263
round_13_start: 15:31:19:411285
round_13_model_trained: 15:31:19:846588
round_13_model_shared: 15:31:19:853753
round_13_received_params_1: 15:31:19:945484
round_13_end: 15:31:19:945652
round_14_start: 15:31:19:945670
round_14_model_trained: 15:31:20:377785
round_14_model_shared: 15:31:20:384950
round_14_received_params_1: 15:31:20:470850
round_14_end: 15:31:20:471035
round_15_start: 15:31:20:471054
round_15_model_trained: 15:31:20:907039
round_15_model_shared: 15:31:20:914190
round_15_received_params_1: 15:31:20:997160
round_15_end: 15:31:20:997376
round_16_start: 15:31:20:997396
