Starting: 16:24:12:488539
round_1_start: 16:24:12:488579
round_1_model_trained: 16:24:17:190705
round_1_model_shared: 16:24:17:198746
round_1_received_params_1: 16:24:36:720746
round_1_end: 16:24:36:721109
round_2_start: 16:24:36:721137
round_2_model_trained: 16:24:37:172689
round_2_model_shared: 16:24:37:180137
round_2_received_params_1: 16:24:37:223940
round_2_end: 16:24:37:224202
round_3_start: 16:24:37:224226
round_3_model_trained: 16:24:37:672567
round_3_model_shared: 16:24:37:680026
round_3_received_params_1: 16:24:37:724835
round_3_end: 16:24:37:725088
round_4_start: 16:24:37:725109
round_4_model_trained: 16:24:38:170314
round_4_model_shared: 16:24:38:177764
round_4_received_params_1: 16:24:38:225411
round_4_end: 16:24:38:225675
round_5_start: 16:24:38:225698
round_5_model_trained: 16:24:38:669513
round_5_model_shared: 16:24:38:676980
round_5_received_params_1: 16:24:38:725364
round_5_end: 16:24:38:725595
round_6_start: 16:24:38:725616
round_6_model_trained: 16:24:39:169563
round_6_model_shared: 16:24:39:176993
round_6_received_params_1: 16:24:39:225164
round_6_end: 16:24:39:225379
round_7_start: 16:24:39:225401
round_7_model_trained: 16:24:39:672656
round_7_model_shared: 16:24:39:680168
round_7_received_params_1: 16:24:39:727588
round_7_end: 16:24:39:727870
round_8_start: 16:24:39:727894
round_8_model_trained: 16:24:40:177652
round_8_model_shared: 16:24:40:185080
round_8_received_params_1: 16:24:40:228722
round_8_end: 16:24:40:228951
round_9_start: 16:24:40:228973
round_9_model_trained: 16:24:40:671162
round_9_model_shared: 16:24:40:678711
round_9_received_params_1: 16:24:40:728666
round_9_end: 16:24:40:728921
round_10_start: 16:24:40:728944
round_10_model_trained: 16:24:41:169858
round_10_model_shared: 16:24:41:177325
round_10_received_params_1: 16:24:41:236897
round_10_end: 16:24:41:237102
round_11_start: 16:24:41:237123
round_11_model_trained: 16:24:41:689336
round_11_model_shared: 16:24:41:696779
round_11_received_params_1: 16:24:41:736479
round_11_end: 16:24:41:736755
round_12_start: 16:24:41:736778
round_12_model_trained: 16:24:42:182877
round_12_model_shared: 16:24:42:190317
round_12_received_params_1: 16:24:42:235208
round_12_end: 16:24:42:235417
round_13_start: 16:24:42:235438
round_13_model_trained: 16:24:42:679185
round_13_model_shared: 16:24:42:686615
round_13_received_params_1: 16:24:42:742339
round_13_end: 16:24:42:742558
round_14_start: 16:24:42:742581
round_14_model_trained: 16:24:43:187978
round_14_model_shared: 16:24:43:195424
round_14_received_params_1: 16:24:43:246165
round_14_end: 16:24:43:246423
round_15_start: 16:24:43:246445
round_15_model_trained: 16:24:43:693640
round_15_model_shared: 16:24:43:701150
round_15_received_params_1: 16:24:43:747438
round_15_end: 16:24:43:747700
round_16_start: 16:24:43:747723
round_16_model_trained: 16:24:44:198038
round_16_model_shared: 16:24:44:205468
round_16_received_params_1: 16:24:44:250306
round_16_end: 16:24:44:250561
round_17_start: 16:24:44:250584
round_17_model_trained: 16:24:44:697739
round_17_model_shared: 16:24:44:705206
round_17_received_params_1: 16:24:44:752593
round_17_end: 16:24:44:752835
round_18_start: 16:24:44:752859
round_18_model_trained: 16:24:45:200045
round_18_model_shared: 16:24:45:207476
round_18_received_params_1: 16:24:45:260622
round_18_end: 16:24:45:260894
round_19_start: 16:24:45:260918
