After round 119, test_loss = 0.3358, test_acc = 0.9086
After round 120, test_loss = 0.3355, test_acc = 0.9087
After round 121, test_loss = 0.335, test_acc = 0.9086
After round 122, test_loss = 0.3346, test_acc = 0.9087
After round 123, test_loss = 0.3341, test_acc = 0.9086
After round 124, test_loss = 0.3337, test_acc = 0.909
After round 125, test_loss = 0.3334, test_acc = 0.9087
After round 126, test_loss = 0.3331, test_acc = 0.9089
After round 127, test_loss = 0.3326, test_acc = 0.9095
After round 128, test_loss = 0.3323, test_acc = 0.9095
After round 129, test_loss = 0.3319, test_acc = 0.9096
After round 130, test_loss = 0.3314, test_acc = 0.9093
After round 131, test_loss = 0.331, test_acc = 0.9097
After round 132, test_loss = 0.3307, test_acc = 0.9096
After round 133, test_loss = 0.3304, test_acc = 0.9095
After round 134, test_loss = 0.3299, test_acc = 0.91
After round 135, test_loss = 0.3295, test_acc = 0.9098
After round 136, test_loss = 0.3292, test_acc = 0.9096
After round 137, test_loss = 0.3289, test_acc = 0.9095
After round 138, test_loss = 0.3286, test_acc = 0.9098
After round 139, test_loss = 0.3283, test_acc = 0.9101
After round 140, test_loss = 0.3279, test_acc = 0.9102
After round 141, test_loss = 0.3276, test_acc = 0.9102
After round 142, test_loss = 0.3274, test_acc = 0.9104
After round 143, test_loss = 0.327, test_acc = 0.9108
After round 144, test_loss = 0.3267, test_acc = 0.9109
After round 145, test_loss = 0.3264, test_acc = 0.9111
After round 146, test_loss = 0.3262, test_acc = 0.9108
After round 147, test_loss = 0.3258, test_acc = 0.9108
After round 148, test_loss = 0.3254, test_acc = 0.9107
After round 149, test_loss = 0.325, test_acc = 0.9105
After round 150, test_loss = 0.3246, test_acc = 0.9106
After round 151, test_loss = 0.3244, test_acc = 0.9107
After round 152, test_loss = 0.3242, test_acc = 0.9112
After round 153, test_loss = 0.3239, test_acc = 0.9112
After round 154, test_loss = 0.3236, test_acc = 0.9111
After round 155, test_loss = 0.3233, test_acc = 0.911
After round 156, test_loss = 0.323, test_acc = 0.9113
After round 157, test_loss = 0.3226, test_acc = 0.9115
After round 158, test_loss = 0.3225, test_acc = 0.9115
After round 159, test_loss = 0.3222, test_acc = 0.9116
After round 160, test_loss = 0.3219, test_acc = 0.9117
After round 161, test_loss = 0.3215, test_acc = 0.9121
After round 162, test_loss = 0.3212, test_acc = 0.9122
After round 163, test_loss = 0.3211, test_acc = 0.912
After round 164, test_loss = 0.3208, test_acc = 0.9122
After round 165, test_loss = 0.3204, test_acc = 0.9122
After round 166, test_loss = 0.3202, test_acc = 0.9124
After round 167, test_loss = 0.32, test_acc = 0.9125
After round 168, test_loss = 0.3197, test_acc = 0.9125
After round 169, test_loss = 0.3195, test_acc = 0.9127
After round 170, test_loss = 0.3192, test_acc = 0.913
After round 171, test_loss = 0.319, test_acc = 0.9129
After round 172, test_loss = 0.3188, test_acc = 0.9132
After round 173, test_loss = 0.3185, test_acc = 0.9131
After round 174, test_loss = 0.3182, test_acc = 0.9131
After round 175, test_loss = 0.318, test_acc = 0.913
After round 176, test_loss = 0.3177, test_acc = 0.9131
