After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 1.6752, test_acc = 0.7327
After round 2, test_loss = 1.3105, test_acc = 0.7883
After round 3, test_loss = 1.097, test_acc = 0.812
After round 4, test_loss = 0.9614, test_acc = 0.8236
After round 5, test_loss = 0.8677, test_acc = 0.8343
After round 6, test_loss = 0.7999, test_acc = 0.8427
After round 7, test_loss = 0.7478, test_acc = 0.8493
After round 8, test_loss = 0.707, test_acc = 0.854
After round 9, test_loss = 0.6736, test_acc = 0.8578
After round 10, test_loss = 0.6458, test_acc = 0.8613
After round 11, test_loss = 0.6223, test_acc = 0.8626
After round 12, test_loss = 0.6024, test_acc = 0.8649
After round 13, test_loss = 0.5849, test_acc = 0.8669
After round 14, test_loss = 0.5694, test_acc = 0.8684
After round 15, test_loss = 0.5558, test_acc = 0.8702
After round 16, test_loss = 0.5437, test_acc = 0.8712
After round 17, test_loss = 0.5328, test_acc = 0.8734
After round 18, test_loss = 0.5228, test_acc = 0.8742
After round 19, test_loss = 0.5136, test_acc = 0.8756
After round 20, test_loss = 0.5053, test_acc = 0.876
After round 21, test_loss = 0.4977, test_acc = 0.8768
After round 22, test_loss = 0.4906, test_acc = 0.8775
After round 23, test_loss = 0.4842, test_acc = 0.8781
After round 24, test_loss = 0.4781, test_acc = 0.8792
After round 25, test_loss = 0.4724, test_acc = 0.8798
After round 26, test_loss = 0.467, test_acc = 0.8806
After round 27, test_loss = 0.4621, test_acc = 0.8808
After round 28, test_loss = 0.4574, test_acc = 0.8826
After round 29, test_loss = 0.453, test_acc = 0.8833
After round 30, test_loss = 0.4488, test_acc = 0.884
After round 31, test_loss = 0.4448, test_acc = 0.8845
After round 32, test_loss = 0.4411, test_acc = 0.8851
After round 33, test_loss = 0.4376, test_acc = 0.8848
After round 34, test_loss = 0.4342, test_acc = 0.8854
After round 35, test_loss = 0.431, test_acc = 0.8866
After round 36, test_loss = 0.4279, test_acc = 0.8872
After round 37, test_loss = 0.4249, test_acc = 0.8876
After round 38, test_loss = 0.4221, test_acc = 0.8883
After round 39, test_loss = 0.4195, test_acc = 0.8886
After round 40, test_loss = 0.4169, test_acc = 0.8896
After round 41, test_loss = 0.4144, test_acc = 0.8903
After round 42, test_loss = 0.4121, test_acc = 0.8913
After round 43, test_loss = 0.4097, test_acc = 0.8921
After round 44, test_loss = 0.4076, test_acc = 0.8927
After round 45, test_loss = 0.4055, test_acc = 0.8934
After round 46, test_loss = 0.4034, test_acc = 0.8942
After round 47, test_loss = 0.4015, test_acc = 0.8947
After round 48, test_loss = 0.3996, test_acc = 0.8949
After round 49, test_loss = 0.3978, test_acc = 0.8952
After round 50, test_loss = 0.396, test_acc = 0.8953
After round 51, test_loss = 0.3943, test_acc = 0.8954
After round 52, test_loss = 0.3925, test_acc = 0.8957
After round 53, test_loss = 0.391, test_acc = 0.8963
After round 54, test_loss = 0.3895, test_acc = 0.8966
After round 55, test_loss = 0.3879, test_acc = 0.8969
After round 56, test_loss = 0.3864, test_acc = 0.8973
After round 57, test_loss = 0.385, test_acc = 0.8973
After round 58, test_loss = 0.3836, test_acc = 0.8978
After round 59, test_loss = 0.3822, test_acc = 0.8978
After round 60, test_loss = 0.3809, test_acc = 0.8983
After round 61, test_loss = 0.3796, test_acc = 0.8991
After round 62, test_loss = 0.3784, test_acc = 0.8989
After round 63, test_loss = 0.3772, test_acc = 0.8992
After round 64, test_loss = 0.376, test_acc = 0.8993
After round 65, test_loss = 0.3748, test_acc = 0.8999
After round 66, test_loss = 0.3737, test_acc = 0.9001
After round 67, test_loss = 0.3725, test_acc = 0.9
After round 68, test_loss = 0.3715, test_acc = 0.9016
After round 69, test_loss = 0.3704, test_acc = 0.9007
After round 70, test_loss = 0.3694, test_acc = 0.901
After round 71, test_loss = 0.3683, test_acc = 0.9012
After round 72, test_loss = 0.3673, test_acc = 0.9014
After round 73, test_loss = 0.3663, test_acc = 0.902
After round 74, test_loss = 0.3653, test_acc = 0.9019
After round 75, test_loss = 0.3644, test_acc = 0.9021
After round 76, test_loss = 0.3635, test_acc = 0.9022
After round 77, test_loss = 0.3626, test_acc = 0.9023
After round 78, test_loss = 0.3616, test_acc = 0.9033
After round 79, test_loss = 0.3608, test_acc = 0.9035
After round 80, test_loss = 0.3599, test_acc = 0.9038
After round 81, test_loss = 0.359, test_acc = 0.9038
After round 82, test_loss = 0.3582, test_acc = 0.9035
After round 83, test_loss = 0.3574, test_acc = 0.9042
After round 84, test_loss = 0.3566, test_acc = 0.9043
After round 85, test_loss = 0.3559, test_acc = 0.9048
After round 86, test_loss = 0.3552, test_acc = 0.905
After round 87, test_loss = 0.3545, test_acc = 0.9052
After round 88, test_loss = 0.3538, test_acc = 0.9052
After round 89, test_loss = 0.3532, test_acc = 0.9049
After round 90, test_loss = 0.3525, test_acc = 0.9049
After round 91, test_loss = 0.3518, test_acc = 0.9052
After round 92, test_loss = 0.3512, test_acc = 0.9051
After round 93, test_loss = 0.3506, test_acc = 0.9054
After round 94, test_loss = 0.3499, test_acc = 0.9056
After round 95, test_loss = 0.3494, test_acc = 0.9056
After round 96, test_loss = 0.3487, test_acc = 0.9059
After round 97, test_loss = 0.3481, test_acc = 0.9056
After round 98, test_loss = 0.3476, test_acc = 0.9058
After round 99, test_loss = 0.3471, test_acc = 0.9062
After round 100, test_loss = 0.3466, test_acc = 0.9063
After round 101, test_loss = 0.3458, test_acc = 0.9071
After round 102, test_loss = 0.3452, test_acc = 0.907
After round 103, test_loss = 0.3446, test_acc = 0.9072
After round 104, test_loss = 0.3439, test_acc = 0.9076
After round 105, test_loss = 0.3434, test_acc = 0.9077
After round 106, test_loss = 0.3428, test_acc = 0.9073
After round 107, test_loss = 0.3421, test_acc = 0.9076
After round 108, test_loss = 0.3415, test_acc = 0.9074
After round 109, test_loss = 0.341, test_acc = 0.9071
After round 110, test_loss = 0.3404, test_acc = 0.9077
After round 111, test_loss = 0.3399, test_acc = 0.9084
After round 112, test_loss = 0.3394, test_acc = 0.9084
After round 113, test_loss = 0.3388, test_acc = 0.9084
After round 114, test_loss = 0.3383, test_acc = 0.9087
After round 115, test_loss = 0.3378, test_acc = 0.9089
After round 116, test_loss = 0.3373, test_acc = 0.909
After round 117, test_loss = 0.3368, test_acc = 0.9094
After round 118, test_loss = 0.3363, test_acc = 0.9093
After round 119, test_loss = 0.3359, test_acc = 0.9094
After round 120, test_loss = 0.3355, test_acc = 0.9095
