After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3169, test_acc = 0.1139
After round 2, test_loss = 2.2951, test_acc = 0.1436
After round 3, test_loss = 2.2738, test_acc = 0.18
After round 4, test_loss = 2.2522, test_acc = 0.2236
After round 5, test_loss = 2.2302, test_acc = 0.2569
After round 6, test_loss = 2.2101, test_acc = 0.2916
After round 7, test_loss = 2.19, test_acc = 0.3303
After round 8, test_loss = 2.1692, test_acc = 0.359
After round 9, test_loss = 2.1491, test_acc = 0.3928
After round 10, test_loss = 2.1292, test_acc = 0.4262
After round 11, test_loss = 2.1101, test_acc = 0.4581
After round 12, test_loss = 2.0905, test_acc = 0.4861
After round 13, test_loss = 2.0717, test_acc = 0.5176
After round 14, test_loss = 2.0535, test_acc = 0.5313
After round 15, test_loss = 2.0365, test_acc = 0.5516
After round 16, test_loss = 2.0188, test_acc = 0.5695
After round 17, test_loss = 2.0013, test_acc = 0.5925
After round 18, test_loss = 1.9846, test_acc = 0.6015
After round 19, test_loss = 1.9677, test_acc = 0.6162
After round 20, test_loss = 1.9516, test_acc = 0.6338
After round 21, test_loss = 1.9354, test_acc = 0.6446
After round 22, test_loss = 1.9193, test_acc = 0.6537
After round 23, test_loss = 1.9036, test_acc = 0.6608
After round 24, test_loss = 1.8879, test_acc = 0.6702
After round 25, test_loss = 1.8722, test_acc = 0.6793
After round 26, test_loss = 1.8568, test_acc = 0.6824
After round 27, test_loss = 1.8419, test_acc = 0.6865
After round 28, test_loss = 1.827, test_acc = 0.6934
After round 29, test_loss = 1.8121, test_acc = 0.6974
After round 30, test_loss = 1.7976, test_acc = 0.6987
After round 31, test_loss = 1.7833, test_acc = 0.6978
After round 32, test_loss = 1.7694, test_acc = 0.7033
After round 33, test_loss = 1.7554, test_acc = 0.7117
After round 34, test_loss = 1.7422, test_acc = 0.7156
After round 35, test_loss = 1.7292, test_acc = 0.721
After round 36, test_loss = 1.7159, test_acc = 0.7271
After round 37, test_loss = 1.7029, test_acc = 0.7299
After round 38, test_loss = 1.6906, test_acc = 0.7336
After round 39, test_loss = 1.6784, test_acc = 0.7349
After round 40, test_loss = 1.6661, test_acc = 0.7372
After round 41, test_loss = 1.6542, test_acc = 0.7426
After round 42, test_loss = 1.6418, test_acc = 0.7448
After round 43, test_loss = 1.6302, test_acc = 0.747
After round 44, test_loss = 1.6187, test_acc = 0.7516
After round 45, test_loss = 1.6073, test_acc = 0.7548
After round 46, test_loss = 1.5964, test_acc = 0.7539
After round 47, test_loss = 1.585, test_acc = 0.7578
After round 48, test_loss = 1.574, test_acc = 0.7597
After round 49, test_loss = 1.5633, test_acc = 0.7617
After round 50, test_loss = 1.5531, test_acc = 0.7612
After round 51, test_loss = 1.5425, test_acc = 0.7634
After round 52, test_loss = 1.5323, test_acc = 0.7664
After round 53, test_loss = 1.5222, test_acc = 0.7655
After round 54, test_loss = 1.5125, test_acc = 0.7674
After round 55, test_loss = 1.5029, test_acc = 0.7669
After round 56, test_loss = 1.4932, test_acc = 0.7677
After round 57, test_loss = 1.4836, test_acc = 0.7698
After round 58, test_loss = 1.4741, test_acc = 0.7709
After round 59, test_loss = 1.4649, test_acc = 0.7744
After round 60, test_loss = 1.4557, test_acc = 0.7728
After round 61, test_loss = 1.4466, test_acc = 0.7765
After round 62, test_loss = 1.4374, test_acc = 0.7774
After round 63, test_loss = 1.4292, test_acc = 0.7788
After round 64, test_loss = 1.4206, test_acc = 0.7784
After round 65, test_loss = 1.4121, test_acc = 0.7818
After round 66, test_loss = 1.4033, test_acc = 0.7838
After round 67, test_loss = 1.3952, test_acc = 0.7872
After round 68, test_loss = 1.3871, test_acc = 0.7834
After round 69, test_loss = 1.3792, test_acc = 0.7854
After round 70, test_loss = 1.3715, test_acc = 0.7864
After round 71, test_loss = 1.3638, test_acc = 0.7887
After round 72, test_loss = 1.356, test_acc = 0.7871
After round 73, test_loss = 1.3485, test_acc = 0.7894
After round 74, test_loss = 1.3412, test_acc = 0.7884
After round 75, test_loss = 1.3338, test_acc = 0.7914
After round 76, test_loss = 1.3266, test_acc = 0.7934
After round 77, test_loss = 1.3197, test_acc = 0.7946
After round 78, test_loss = 1.3127, test_acc = 0.7952
After round 79, test_loss = 1.3058, test_acc = 0.7932
After round 80, test_loss = 1.2988, test_acc = 0.7936
After round 81, test_loss = 1.2917, test_acc = 0.7957
After round 82, test_loss = 1.2848, test_acc = 0.7968
After round 83, test_loss = 1.2781, test_acc = 0.798
After round 84, test_loss = 1.2719, test_acc = 0.7988
After round 85, test_loss = 1.2653, test_acc = 0.7986
After round 86, test_loss = 1.2588, test_acc = 0.7998
After round 87, test_loss = 1.2526, test_acc = 0.7993
After round 88, test_loss = 1.2465, test_acc = 0.7993
After round 89, test_loss = 1.2402, test_acc = 0.8007
After round 90, test_loss = 1.2342, test_acc = 0.8013
After round 91, test_loss = 1.2285, test_acc = 0.8019
After round 92, test_loss = 1.2226, test_acc = 0.8021
After round 93, test_loss = 1.217, test_acc = 0.8038
After round 94, test_loss = 1.2112, test_acc = 0.8061
After round 95, test_loss = 1.2055, test_acc = 0.8062
After round 96, test_loss = 1.1999, test_acc = 0.8071
After round 97, test_loss = 1.1942, test_acc = 0.8079
After round 98, test_loss = 1.1886, test_acc = 0.8079
After round 99, test_loss = 1.1833, test_acc = 0.8098
After round 100, test_loss = 1.178, test_acc = 0.808
After round 101, test_loss = 1.1728, test_acc = 0.808
